Tube Name:,Time,Medium,All Events ,P1 Events,V1L Events,V1R Events,P2 Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P3 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,P2 % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P3 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,P2 % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,H2-UR % Parent,H2-UL % Parent,H2-LL % Parent,H2-LR % Parent,P3 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P2 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P3 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P2 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P3 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P2 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P3 Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,V1L Mean SSC-A,V1R Mean SSC-A,P2 Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,H2-UR Mean SSC-A,H2-UL Mean SSC-A,H2-LL Mean SSC-A,H2-LR Mean SSC-A,P3 Mean SSC-A,All Events  Mean PE-A,P1 Mean PE-A,V1L Mean PE-A,V1R Mean PE-A,P2 Mean PE-A,H1-UR Mean PE-A,H1-UL Mean PE-A,H1-LL Mean PE-A,H1-LR Mean PE-A,H2-UR Mean PE-A,H2-UL Mean PE-A,H2-LL Mean PE-A,H2-LR Mean PE-A,P3 Mean PE-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,V1L Mean FSC-Width,V1R Mean FSC-Width,P2 Mean FSC-Width,H1-UR Mean FSC-Width,H1-UL Mean FSC-Width,H1-LL Mean FSC-Width,H1-LR Mean FSC-Width,H2-UR Mean FSC-Width,H2-UL Mean FSC-Width,H2-LL Mean FSC-Width,H2-LR Mean FSC-Width,P3 Mean FSC-Width,All Events  Mean Time,P1 Mean Time,V1L Mean Time,V1R Mean Time,P2 Mean Time,H1-UR Mean Time,H1-UL Mean Time,H1-LL Mean Time,H1-LR Mean Time,H2-UR Mean Time,H2-UL Mean Time,H2-LL Mean Time,H2-LR Mean Time,P3 Mean Time
B3,4:09:00,#3,373834,200000,72773,127227,369614,2619,60687,1802,105090,379,101547,92375,175313,170198,100.00%,53.50%,19.47%,34.03%,98.87%,0.70%,16.23%,0.48%,28.11%,0.10%,27.16%,24.71%,46.90%,45.53%,100.00%,53.50%,36.39%,63.61%,98.87%,1.54%,35.66%,1.06%,61.75%,0.10%,27.47%,24.99%,47.43%,85.10%,20141.7,32533.9,87.1,51093.2,20176.2,35761.6,83.8,133,43592.9,20423.3,159.9,2.5,42399.6,27498.4,5400.1,8767.3,20764.8,1904.8,5411.4,20248.5,21430.4,353.3,801.5,31230.5,17458.1,-11.3,1235.1,8451.6,21401.8,34338.5,27356.5,38332.1,21431.2,46804.6,27041.3,28801,34189.8,50023.5,22996.7,2372.1,30505.1,31778,16130,25546.6,20863.6,28225.2,16162.8,37333,21061.7,20409.9,25131.6,39840.6,18296.5,1588.6,22555,23818.1,1984.5,3205.3,7591.1,696.6,1988.8,7402.7,7827.6,132.3,291,11581.7,6417.7,-4.9,453.1,3086.1,483.4,781.4,747.1,801,483.9,845.6,741.1,748.3,767.4,936,581.6,210.5,570.3,759,581823.9,581661.8,581358.6,581835.3,588357.9,578917.9,581521.1,579085,581646.9,592751.4,588392.7,591028,586921.4,581532.9
B4,4:10:11,#4,500621,148130,62831,85299,496317,248,56516,1546,69587,112,89645,281177,125383,127897,100.00%,29.59%,12.55%,17.04%,99.14%,0.05%,11.29%,0.31%,13.90%,0.02%,17.91%,56.17%,25.05%,25.55%,100.00%,29.59%,42.42%,57.58%,99.14%,0.19%,44.19%,1.21%,54.41%,0.02%,18.06%,56.65%,25.26%,86.34%,12721.3,40264.3,87.8,69858.2,12724.3,33397.3,96,118.9,55477.1,27048.7,122.9,3.6,50247.9,30292.9,5502.1,17552.8,36866.3,3326.5,5501.3,35516.3,36560.8,367.8,2315.3,43823.9,27454.6,-4.4,2118,17488.8,12649.4,34741.4,28733.2,39167,12648.5,43392.4,28357.7,30021.8,35248.4,306158.5,24888.3,2244.6,26966.6,32156.1,11829.9,31759.8,25548.4,36335,11824.4,43961.8,25146.3,29153.2,31990.9,533263.5,25016.8,929.6,26358.8,28955.3,2040.3,6437.7,13517.1,1223,2040.2,13311.2,13403,252.1,851.1,18081.8,10188.3,-1.1,778,6414.6,354.5,753.6,734.6,767.6,354.5,842.2,734.1,757.4,757.7,929.3,501.1,256.4,469,747.5,1495344.9,1499098.3,1501526.9,1497309.3,1499251.8,1530800,1502021.6,1522894.1,1499656.8,1552429.1,1502850.8,1498042.9,1499341.8,1501043.1
B5,4:11:03,#3,458215,114238,45975,68263,454444,249,40064,1351,63591,69,68108,286638,99629,105255,100.00%,24.93%,10.03%,14.90%,99.18%,0.05%,8.74%,0.29%,13.88%,0.02%,14.86%,62.56%,21.74%,22.97%,100.00%,24.93%,40.24%,59.76%,99.18%,0.24%,38.06%,1.28%,60.42%,0.02%,14.99%,63.07%,21.92%,92.14%,12340.5,46209.6,81,77277.1,12354.6,42233.1,84.5,111.2,74328.4,35187.3,128.3,3.9,56230.5,45039.8,5483.2,20372.4,44952.8,3817.6,5495.2,46682.5,47431.1,359.9,3195.9,59262.3,33005.8,-5.1,2475.9,20099.9,9998.8,30629.2,23866.5,35183.8,9996.7,39243.1,23454.2,31794.2,34064.9,213018.1,21167.5,2246,24518.8,30009.2,8924.1,26654,20297.4,30935.1,8919.8,36886.6,20186.5,32084.2,29946.2,227818.7,22367.3,891.5,22673.2,26275.1,2036.3,7432.2,16393.6,1396.7,2039.7,17195.5,17275.4,276.9,1170.1,22589.3,12265.3,-1.5,907.8,7326.8,342.6,748.9,722.3,766.7,342.8,802.1,714.8,765,758.1,926.1,505.9,255.1,483,741.8,1497210.3,1509213.4,1504452,1512420.3,1500121.4,1664714,1499685.9,1567068.8,1510456.1,1470905.9,1504234.9,1495130,1511690,1507448.1
B6,4:34:26,#3,500644,152647,61160,91487,496274,393,52602,932,82437,71,79469,286839,129895,136364,100.00%,30.49%,12.22%,18.27%,99.13%,0.08%,10.51%,0.19%,16.47%,0.01%,15.87%,57.29%,25.95%,27.24%,100.00%,30.49%,40.07%,59.93%,99.13%,0.29%,38.57%,0.68%,60.45%,0.01%,16.01%,57.80%,26.17%,89.33%,11627.3,33678.7,86.8,56135.2,11625,39198.4,106.9,139,50777.2,22826.3,104.1,3.8,44329.7,30851.8,3475.4,10056.9,23128.5,1318.4,3474.6,20130.3,24221.7,118.3,908.6,35185.4,20198.7,-0.1,898.6,9951.6,12716.1,33817.3,27739.5,37880.4,12718.8,52345,27836.3,28721.5,35673.8,78795,24616.6,2074.3,28909.3,32651,9204.5,25746.7,21770.8,28404.5,9205.7,41766.5,22503.5,19296.7,26849.2,92388.3,19311.2,744.2,21662.5,25164.3,1265.6,3654.4,8380.9,494.6,1265.4,7334.8,8773.7,2.8,344.6,13846,7336.2,0,338.9,3613.9,378.8,779.2,756.3,794.5,378.8,862.5,749.9,753.2,775.6,872.8,631,231,550.6,765.8,1491341.4,1482359.6,1480880.6,1483348.3,1495423.3,1381983.5,1477057.8,1467489,1485484.1,1499374.6,1492711.9,1501844.9,1482899.3,1481812.4
B7,4:44:28,#4,319865,8512,3860,4652,317078,0,3607,65,4098,1,6921,303117,7039,7770,100.00%,2.66%,1.21%,1.45%,99.13%,0.00%,1.13%,0.02%,1.28%,0.00%,2.16%,94.76%,2.20%,2.43%,100.00%,2.66%,45.35%,54.65%,99.13%,0.00%,46.42%,0.84%,52.74%,0.00%,2.18%,95.60%,2.22%,91.28%,1440.1,50522.4,110.2,92351.9,1435.9,####,110.4,132.8,68838.3,4642.2,74,4.5,64414.6,36358.6,609,21322.6,43097.8,3254.6,607,####,43412.5,211.1,2347.4,6279.6,25814.9,-0.7,1990.2,21392.8,3108,36503.7,29937.8,41951.8,3106.2,####,29282.5,30048.4,37067.1,30425.1,20736.3,2115.1,28450.5,33394.6,1659,34117.2,27870.1,39300.8,1657.7,####,27375.5,28077.9,33818.8,21764.5,21453.6,605,27522.8,30779.6,228.4,7895.8,15937.6,1223.1,227.8,####,16004.4,57,888.7,2944,9641.6,0.6,751.6,7898.8,260.4,756.6,736.1,773.6,260.5,####,732.1,774.2,755.7,747.2,478.3,250.5,477,744.9,1491004.1,1515017.6,1518065.9,1512488.4,1495310,####,1517853.3,1487811.5,1510504.6,788916,1518039.3,1494454.9,1509885.9,1513726.3
B8,4:47:05,#5,352771,25855,11317,14538,349953,1,10197,173,12401,3,15315,312632,22003,22772,100.00%,7.33%,3.21%,4.12%,99.20%,0.00%,2.89%,0.05%,3.52%,0.00%,4.34%,88.62%,6.24%,6.46%,100.00%,7.33%,43.77%,56.23%,99.20%,0.00%,44.78%,0.76%,54.46%,0.00%,4.38%,89.34%,6.29%,88.08%,5094.1,63361.5,94.8,112611,5098.1,1309.4,105.7,146.7,87331.6,33933.1,121.4,4.2,80934.1,47606.9,2022.5,25512.1,53244.6,3924,2025.8,206.9,53275.6,212.1,3051,49564.9,42552.1,-0.4,2601.4,25519.2,4657.8,32639.5,24341.6,39099,4662.3,39033.3,24219,23859.6,34572.8,53421.1,23018.3,2200.2,26862.6,29855.3,3166.1,29212.3,21318.8,35357,3171.1,22251.6,21367.9,23004.1,30095.4,54275.3,23262.7,632.9,25243.7,26133.1,746.6,9353.7,19501.6,1454.2,747.9,332.4,19524.6,40.4,1132.8,18827.5,15686.5,0.8,962.5,9360,271.1,758.4,725.4,784,271.1,804.7,722.8,732.9,764.9,1084.6,596.1,239.9,487.7,745.8,1505126.9,1503183,1505855,1501102.9,1508865,1781693,1507495.9,1487288.3,1497844.5,952938,1519242.4,1508634.1,1504999.4,1502098.5
C1,4:51:33,#1,388440,25766,9148,16618,385228,1,8634,176,15928,12,18889,336407,29920,24739,100.00%,6.63%,2.36%,4.28%,99.17%,0.00%,2.22%,0.05%,4.10%,0.00%,4.86%,86.60%,7.70%,6.37%,100.00%,6.63%,35.50%,64.50%,99.17%,0.00%,34.90%,0.71%,64.38%,0.00%,4.90%,87.33%,7.77%,96.01%,874.7,9330.2,178.9,14367.9,877.6,3507.8,179.3,208.4,14089.6,4207.3,126.3,5.2,11160.3,9135.7,423.2,4808,12376.5,641.6,423.1,2014.1,12499.3,259.7,614.1,5926.8,7948.9,-3.8,469.5,4759.6,7510.9,62342.6,58777,64305.3,7525,70251.4,59026,44286.9,63378.7,111412,40095.3,2104.8,47864.5,61724.1,5100.5,48047.5,44654.4,49915.4,5107.1,44406.4,44632.5,34325.5,48865.6,143174.5,31006.6,805,37071.8,47284.6,165.7,1827.5,4637.5,280.6,165.5,1255.6,4653.7,8.3,269.4,2789.8,3005.6,2.4,205.1,1797.7,286.1,819.1,815.9,820.8,286.1,787.7,816.9,773.6,818.5,1097.9,572.3,250,510.6,817.6,1500220.6,1510836.6,1497801.4,1518012.3,1503872.1,2751625,1498193.9,1516024,1516483.1,1447230.9,1502401.3,1502652.1,1518541.1,1510146.8
C2,5:03:47,#2,317980,6928,2624,4304,315132,0,1821,576,4041,3,4734,303829,6566,6438,100.00%,2.18%,0.83%,1.35%,99.10%,0.00%,0.57%,0.18%,1.27%,0.00%,1.49%,95.55%,2.06%,2.02%,100.00%,2.18%,37.88%,62.12%,99.10%,0.00%,28.29%,8.95%,62.77%,0.00%,1.50%,96.41%,2.08%,92.93%,469.9,18869,188,30258.2,469.7,####,152.1,290.8,28831.3,633,109.4,4.6,22254.2,18165.8,168.3,6999.2,17134.5,820.1,168.6,####,22074,535,792.8,663.7,10483.2,-0.9,575.5,6789.2,3311.4,52203.2,48843.8,54251.2,3311.9,####,50249.2,44347.9,53200,35569.1,30320.7,2142.1,37955.2,51573.4,1515.2,37228.7,32648.1,40021.4,1515.5,####,34909.4,27777.6,39436.9,22051.3,22463.9,604.1,28575.8,37113.1,64.2,2613.5,6346.3,337.7,64.3,####,8095.9,400,327.7,599.5,3889.2,0.9,238.3,2531.4,260.6,790.5,785.7,793.5,260.5,####,785.3,771.4,788.6,714.5,517.3,251.2,504.8,786.1,1497342.8,1499473.5,1517769.8,1488319,1501593.6,####,1505730.4,1528852.4,1489413.1,1097468.6,1519946.9,1501367.5,1499007.4,1497557
C3,5:59:39,#1,357390,37389,12793,24596,354258,3,12200,82,23607,13,16105,301909,36231,35892,100.00%,10.46%,3.58%,6.88%,99.12%,0.00%,3.41%,0.02%,6.61%,0.00%,4.51%,84.48%,10.14%,10.04%,100.00%,10.46%,34.22%,65.78%,99.12%,0.01%,33.99%,0.23%,65.77%,0.00%,4.55%,85.22%,10.23%,96.00%,1210.9,10834.8,152.6,16390.8,1210.6,5691,154.8,249.6,15824.7,16920.4,131.9,4.3,11736,10462,443.8,3989.4,10302.1,706,444,4299.5,10318.1,301,657.3,33558,8675.9,-0.5,477.3,3940.6,8018.4,57366.4,54588.5,58811.2,8019.1,67466.7,54412.7,45227.3,56861.2,535654.7,45943.7,2095.2,40335.2,56003.3,5326.7,43423.8,40227.9,45086,5327.4,51875.7,40335.5,32411.3,43519.8,1061745,33697.9,605.6,31683.5,42412.7,163.8,1469,3743,286.2,163.9,2109.9,3748.9,27.2,267.4,20585.8,3146.7,0.4,193.9,1450.4,291.9,803.1,799.9,804.7,291.9,802.9,798.3,762.6,796.6,1191.1,673.7,245.9,505,797.1,1498656.3,1520772.4,1511714,1525484,1503237.8,1823048.6,1511948.1,1459294.1,1526237.8,1836014.9,1517600.5,1499444.4,1528343.4,1521252.5
C4,6:01:20,#2,344291,24501,9070,15431,341332,1,6935,1299,13655,6,13019,304888,23419,21890,100.00%,7.12%,2.63%,4.48%,99.14%,0.00%,2.01%,0.38%,3.97%,0.00%,3.78%,88.56%,6.80%,6.36%,100.00%,7.12%,37.02%,62.98%,99.14%,0.00%,31.68%,5.93%,62.38%,0.00%,3.81%,89.32%,6.86%,89.34%,1526.8,18756.1,116.9,29711.7,1524.4,15697.1,97.3,227.8,27370.4,20126.7,92.8,4.6,22102.4,17118.7,586.9,7018.4,17541.7,833,585.9,70679.3,20627.4,468,764.5,30567.1,14299.8,-0.4,587.2,7042.9,5755.9,48843.9,46312.3,50332,5753,83149.2,46858,43253.4,48227.4,93806,35214.3,2172.9,35960.9,47500,3229.3,34241.2,30662,36345,3226.8,59602.4,31741.2,25929.5,34484.5,38073.7,22961.6,643.4,25880.3,33108.9,217.1,2590,6431.3,332.2,216.8,24440.1,7526,338.5,305.1,11107.9,5238.9,0.8,234.3,2595.8,281.2,793.5,789.7,795.7,281.1,900.5,789.8,776.1,791.2,1002.8,601,248.9,522.7,789.9,1495620.9,1470888.6,1461328.8,1476507.6,1499830.4,2049447,1463879.6,1449204,1480108.5,1737968.4,1477492.9,1502172.5,1481695.3,1473159.1
C5,6:03:33,#3,379401,20604,9612,10992,376228,0,7634,422,8404,18,20035,340088,16087,16460,100.00%,5.43%,2.53%,2.90%,99.16%,0.00%,2.01%,0.11%,2.22%,0.00%,5.28%,89.64%,4.24%,4.34%,100.00%,5.43%,46.65%,53.35%,99.16%,0.00%,46.38%,2.56%,51.06%,0.00%,5.33%,90.39%,4.28%,79.89%,3734.6,57679.5,184,107956.8,3745.4,####,170.7,272.8,81794.4,5495.4,117.2,5.3,87331.3,41848.1,1752.3,28894.2,59190.6,2401.4,1755,####,60642.3,379.1,1567.1,8202,31787.2,-3.9,1528.6,28935.2,5245.2,53769.1,43719.7,62556.8,5252.1,####,41171.6,39954.7,49598.9,72262.3,24562.8,2125.7,47221.1,45443.1,3305.3,37126.2,28705.6,44489.6,3309.1,####,28245.2,25293,35245.9,50269.7,19746.6,845.6,34865,31743.9,651.3,10594.3,21667.3,911.4,652.3,####,22195.1,241.2,606.4,3230.8,11720.8,3.1,589,10609.7,281.4,876.1,842.4,905.5,281.5,####,815.6,806.6,837.1,959.4,518.7,251,630.5,826.4,1496369.5,1496731.8,1489287.5,1503241.4,1499348.4,####,1485575,1518311.8,1501151.5,1190108,1485494.4,1500361,1495539.1,1494367.3
C6,6:04:56,#4,408477,76496,40431,36065,405203,88,32086,563,26540,43,58705,292292,54163,59277,100.00%,18.73%,9.90%,8.83%,99.20%,0.02%,7.86%,0.14%,6.50%,0.01%,14.37%,71.56%,13.26%,14.51%,100.00%,18.73%,52.85%,47.15%,99.20%,0.15%,54.13%,0.95%,44.77%,0.01%,14.49%,72.13%,13.37%,77.49%,10518.4,51602.4,109.8,109328.6,10540.6,31936.1,107.5,204,64126,47361.6,102.6,4.1,78684.7,28818.6,6855.3,34203.3,61418.9,3692.9,6865,53764,61439.2,331.9,2177.5,74953.7,45185,-2.2,2336.2,34314.3,9246.5,39181.8,31440.8,47859.8,9260.6,44987.4,31662.3,30950.4,37830.9,56884,22814.4,2161.5,32842.4,34437.2,7436.6,34720.5,25358.8,45215.6,7448.8,40062.8,26128.7,22232.2,33426.6,50844.2,18730.7,618.8,32044.8,29379.8,2480.3,12379.1,22204.6,1364.1,2483.8,19506.9,22231.2,187.1,805.5,27673.5,16331.3,-0.6,862.5,12424.9,317.2,769.1,745.8,795.2,317.2,800.9,742.2,724.5,758.7,938.1,503,247.5,491.8,749.5,1505849.1,1527024,1524797,1529520.6,1509369.5,1537851.5,1514241.6,1498333.8,1534626.6,1532162.9,1528759,1500725.6,1534983.1,1523252.5
C7,6:05:35,#5,352963,40136,21255,18881,349882,10,14978,163,11835,11,30857,292051,26963,26986,100.00%,11.37%,6.02%,5.35%,99.13%,0.00%,4.24%,0.05%,3.35%,0.00%,8.74%,82.74%,7.64%,7.65%,100.00%,11.37%,52.96%,47.04%,99.13%,0.04%,55.50%,0.60%,43.86%,0.00%,8.82%,83.47%,7.71%,67.24%,7584.4,63258.8,108.8,134348.9,7584.1,15903,107.8,237.3,69750.8,40062.9,103,4,98236.3,30657.1,5487.2,45178.8,81163.1,4669.9,5483.7,59857.5,79725.9,506.2,2553.7,67520.3,59553.4,-2.2,3000.7,45395.3,5725,33396.3,24813.9,43057.7,5722.3,31746.2,25047.3,26463,31644.8,45584.2,18400.1,2108.5,30340,27951.7,3897.9,27939.2,18513.5,38550.1,3897,26216.5,19090.1,21095.2,25465.2,41262.5,14397.7,563.7,27969.4,21900.7,1987.2,16345,29329.4,1728,1986,21520.6,28877,265.1,948,24609.6,21543.3,-0.4,1111.1,16452.9,297.4,767.8,733.6,806.3,297.3,780.7,727.5,735.5,757.5,880.2,516.7,253,526.5,740.7,1497227.6,1496005.5,1489958.8,1502812.4,1501730.1,1554802.3,1479992.8,1468624,1508221,1559985.6,1487949,1502678.1,1507208.8,1492331.6
C8,7:59:56,#4,540632,171091,68389,102702,535970,635,47581,777,84758,166,87915,297146,150743,133751,100.00%,31.65%,12.65%,19.00%,99.14%,0.12%,8.80%,0.14%,15.68%,0.03%,16.26%,54.96%,27.88%,24.74%,100.00%,31.65%,39.97%,60.03%,99.14%,0.47%,35.57%,0.58%,63.37%,0.03%,16.40%,55.44%,28.13%,78.18%,5982,17415.8,137.7,28921.3,5982.2,14501.7,143.9,160.5,29148.1,41997.8,141.9,4.4,21132.2,18592.1,2309.3,6433.7,13880.6,1474.8,2309.6,10715.1,15209,285.8,1261.8,83582.1,12240.1,-0.1,981.4,6262.6,12465.9,33317.3,29678.5,35740.3,12467,45749.4,30767.8,28367.8,35208.6,206189.5,26002,2054.7,24884.7,33639.1,9565.2,26547.5,23369.6,28663.6,9565.9,36122.7,25498.8,20750,28447.3,472054.4,19796.7,735.8,20496.1,27390.1,846.9,2330.8,5011.3,545.9,847.1,3934.6,5489.2,83.7,467.9,66384.6,4421.3,-1.1,362.4,2268.4,349.9,740.7,738.5,742.1,349.9,786.6,732.6,709.4,732.1,904.5,614.2,215.1,460.8,732.4,1515883.4,1547852.8,1545289,1549560,1520315.8,1590539.9,1541215.1,1551698,1548228.9,1582204,1548281.6,1496814.9,1550262.4,1545954.9
D1,8:02:04,#5,330103,18795,12936,5859,327330,3,8767,77,3224,5,18932,299636,8757,12071,100.00%,5.69%,3.92%,1.77%,99.16%,0.00%,2.66%,0.02%,0.98%,0.00%,5.74%,90.77%,2.65%,3.66%,100.00%,5.69%,68.83%,31.17%,99.16%,0.02%,72.63%,0.64%,26.71%,0.00%,5.78%,91.54%,2.68%,64.22%,4080.8,59778.4,120.2,191496.9,4090.6,24986.2,122.9,62.4,83160.3,77103.3,95.8,4.4,152499.8,22306.8,4015.6,63942.5,89365.6,7811.2,4025.8,50697.5,86032.7,237.4,2398.2,143080.7,67995,-1.5,3451.8,63139,4032.1,32888.8,24423.3,51579.6,4037.3,36517.7,24158.5,25657.5,33873.1,64471.7,17616.9,2195.3,37673.6,26765.8,2383.6,27579.2,18829.3,46898.2,2387.4,31518.3,19098.4,19164.9,27509.9,53723.2,14967.9,611.1,35937.3,21348.5,1444.5,22968.4,32091.3,2826,1448.2,17319.5,30964.8,22,895.4,51827.2,24417.7,0.7,1290.5,22732.9,271.1,764.8,719.6,864.5,271.2,807.8,717.1,704.2,766.3,1004.8,493.7,248.2,574.6,730.2,1495965.3,1567124.9,1567359,1566607.9,1499942.1,1547854,1562508.5,1364018.9,1585556.5,1509328.3,1543495.4,1495985.4,1541165.3,1567394.5
D2,8:05:11,#2,370526,46874,20900,25974,367406,14,14589,350,22184,14,30260,298016,39116,37137,100.00%,12.65%,5.64%,7.01%,99.16%,0.00%,3.94%,0.09%,5.99%,0.00%,8.17%,80.43%,10.56%,10.02%,100.00%,12.65%,44.59%,55.41%,99.16%,0.04%,39.28%,0.94%,59.74%,0.00%,8.24%,81.11%,10.65%,79.23%,3853.9,27761.7,123.9,50000.4,3858.7,2030.7,129.9,95.8,47624,14687.7,96.1,4.8,36127.6,28501.1,1793,12306.6,26010.1,1280.1,1796.5,3408.1,29249.1,158,1136.4,23566.9,20695,-1.1,863.9,12171.9,7250.1,39908.5,35986.8,43064,7258.5,43214,37858.6,30387.8,42505.6,54991,26808.5,2254.1,30244.8,40566.1,4422,28404.7,24654.1,31422.6,4427.2,26391.9,27025.7,20244.3,31018.5,37882.4,18280.1,679.2,22253.6,29346.7,657.6,4499.5,9479.9,492,658.9,1533.1,10660.6,-4.6,438,8817.8,7549.1,1.6,333.4,4450.1,294.6,755.3,746.3,762.6,294.7,784,744.8,710,756.6,879.1,510.5,247.4,487.7,751.6,1501350.6,1547929.5,1546593,1549005,1506018.4,1441309.8,1534566.4,1423523.8,1547068.4,1625372.9,1539986,1497485.3,1544709.9,1540952.9
D3,2:06:13,#3,8836,5513,3004,2509,8764,3,2394,29,1727,6,3457,2460,2841,4153,100.00%,62.39%,34.00%,28.40%,99.19%,0.03%,27.09%,0.33%,19.55%,0.07%,39.12%,27.84%,32.15%,47.00%,100.00%,62.39%,54.49%,45.51%,99.19%,0.07%,57.65%,0.70%,41.58%,0.07%,39.45%,28.07%,32.42%,75.33%,30706.7,45008.9,197.7,98660.9,30826.2,456,175.6,100.3,39516,843.5,180.7,29,94846.7,16534.7,18802.5,28374.5,50368.6,2041.3,18832.6,392.1,45004.1,162.9,941.2,914.5,46327.4,45.6,1681.7,26335.5,35706.1,52130.5,41731.4,64581.3,35774.9,34838.5,38324.1,30716.5,40358.1,70001.5,38706.5,3453.6,60122.1,39114.3,28074.5,37987.7,29531.7,48112,28129.9,23372.1,27072.3,20600.7,27913.6,42406.4,30060.4,5977.5,44932.2,27374.3,6989.1,10387.8,18408.3,784.9,7001.7,351.6,16456.7,20.6,366.8,565.7,17177.6,48.8,653.4,9639.4,618.5,832.5,778.8,896.7,619.2,767.9,762,750.1,769.2,982.7,697.9,281.5,815.2,764.9,1482023.9,1506249.3,1503115.3,1510001.6,1486283.8,375513.3,1510766.3,1724937.8,1523981.6,845344.5,1496340.4,1447045.1,1509376.5,1516937.3
D4,8:43:55,#5,31831,25414,17492,7922,31499,2,12998,75,3677,13,19422,2886,9178,16752,100.00%,79.84%,54.95%,24.89%,98.96%,0.01%,40.83%,0.24%,11.55%,0.04%,61.02%,9.07%,28.83%,52.63%,100.00%,79.84%,68.83%,31.17%,98.96%,0.01%,77.59%,0.45%,21.95%,0.04%,61.66%,9.16%,29.14%,65.92%,64450.8,78879.5,135.9,252747.5,64535.5,526.4,121,83.2,88561.3,91675.1,146.5,28.3,221037.7,19533.2,68820.8,83395,112401.4,19348.1,68933.9,26.5,93262.8,242.1,2575.7,171765.7,109469.4,48.6,4670,72929.8,32254,35980.1,25464.7,59198.6,32312.4,40951.8,24388.1,23126.5,33613.7,3630692.5,25541.6,5002.8,50131,26409.4,33541.7,32808.8,21391.9,58017.6,33605.2,33931.4,20146.5,20394.1,28576.6,5865687,25479.6,10208.7,49896.5,21999.6,24799.7,29914.5,40329.7,6917.5,24837.8,414.1,33599.9,30.1,962.5,82724.4,39392.9,60.1,1746.3,26281.9,655,771.6,709.7,908.2,655.3,894.3,707.2,701.1,755,1857.1,658.9,303.3,756.9,717.7,1543613.6,1585884,1578895.4,1601315,1549451.9,1270805,1577945.5,1379049.5,1628067.8,1528423.4,1563003.4,1300989.3,1598933.3,1588020
D6,10:00:37,#2,35037,16780,8498,8282,34696,7,6933,42,6816,6,11033,13590,10067,13798,100.00%,47.89%,24.25%,23.64%,99.03%,0.02%,19.79%,0.12%,19.45%,0.02%,31.49%,38.79%,28.73%,39.38%,100.00%,47.89%,50.64%,49.36%,99.03%,0.05%,50.25%,0.30%,49.40%,0.02%,31.80%,39.17%,29.01%,82.23%,11354.7,22552.8,210.5,45477.8,11356.3,466.2,205.1,84.7,35426.4,6726.6,191.6,30.1,38885,17603.6,7244.3,13789.1,26099.7,1157.5,7222.1,469.4,26913.3,300.9,890.7,9650.6,21837.2,39,900.1,13964.1,29453.4,53852.3,50255.5,57543,29439.9,48835.1,50106.7,39609.8,51193.7,68227.6,44338.7,3079.7,48673.4,50611.1,25601.9,39829.5,35708.7,44057.7,25617.9,33663.4,35831.4,30383,38360.4,43908,38453.3,6270.9,37657.6,37063,2785.5,5148.5,9709.9,468.3,2766.4,359.1,9943,11.1,364.2,3761.6,8300.7,48.5,369.5,5176.1,516.2,795.7,789.1,802.6,516.3,766.6,786.8,774.7,786.3,989.1,668.2,285.3,661.3,786.5,1485351.6,1493189.5,1480675.1,1506030.4,1493068.6,1367591.6,1474325.4,1347282,1507402.4,1976024.6,1486466.5,1485815.8,1509807.5,1490224.1
