,x,y
0,0.0,794.8096647945201
1,0.1,794.7877300208559
2,0.2,794.534279700925
3,0.30000000000000004,793.6011484989057
4,0.4,791.3655505822617
5,0.5,787.0758832199044
6,0.6000000000000001,779.9059213377674
7,0.7000000000000001,769.0281986438832
8,0.8,753.7080882378044
9,0.9,733.4107117747727
10,1.0,707.9030238454774
11,1.1,677.3268036228783
12,1.2000000000000002,642.2193608274562
13,1.3,603.469733379376
14,1.4000000000000001,562.2161467711237
15,1.5,519.7079655814263
16,1.6,477.1642817127355
17,1.7000000000000002,435.6582437564917
18,1.8,396.04418803235774
19,1.9000000000000001,358.9301971199576
20,2.0,324.68776270564297
21,2.1,293.4852490376619
22,2.2,265.33208593376236
23,2.3000000000000003,240.12378948014918
24,2.4000000000000004,217.68183179942275
25,2.5,197.78572115838574
26,2.6,180.19692453768272
27,2.7,164.6755184548054
28,2.8000000000000003,150.99096215982985
29,2.9000000000000004,138.92844227975036
30,3.0,128.29206612240236
31,3.1,118.90592794681534
32,3.2,110.61381859991909
33,3.3000000000000003,103.27813012689126
34,3.4000000000000004,96.77833399755957
35,3.5,91.00928246584215
36,3.6,85.879490195031
37,3.7,81.3094894490315
38,3.8000000000000003,77.23030942235374
39,3.9000000000000004,73.58210259528519
40,4.0,70.31292372476588
41,4.1000000000000005,67.37765682909827
42,4.2,64.73707989469484
43,4.3,62.35705436482603
44,4.4,60.207825638944755
45,4.5,58.263421069580474
46,4.6000000000000005,56.50113280579701
47,4.7,54.901073988539515
48,4.800000000000001,53.44579806277463
49,4.9,52.11997222076296
50,5.0,50.91009716689023
51,5.1000000000000005,49.80426646580843
52,5.2,48.791959690370184
53,5.300000000000001,47.86386442378972
54,5.4,47.01172289795705
55,5.5,46.228199676478
56,5.6000000000000005,45.506767327719906
57,5.7,44.84160749092756
58,5.800000000000001,44.2275251278043
59,5.9,43.65987408240221
60,6.0,43.134492352278066
61,6.1000000000000005,42.64764571114461
62,6.2,42.19597852417703
63,6.300000000000001,41.77647076730248
64,6.4,41.38640040597144
65,6.5,41.02331041112812
66,6.6000000000000005,40.684979793789076
67,6.7,40.36939812769653
68,6.800000000000001,40.07474310437311
69,6.9,39.79936072862027
70,7.0,39.541747816800736
71,7.1000000000000005,39.300536506578986
72,7.2,39.07448052638447
73,7.300000000000001,38.86244300673979
74,7.4,38.66338564462535
75,7.5,38.47635905696398
76,7.6000000000000005,38.30049418071805
77,7.7,38.13499459551824
78,7.800000000000001,37.979129660625674
79,7.9,37.83222837173924
80,8.0,37.69367385501242
81,8.1,37.56289842590497
82,8.200000000000001,37.439379149391804
83,8.3,37.322633845775975
84,8.4,37.21221749306961
85,8.5,37.107718982755415
86,8.6,37.008758190841164
87,8.700000000000001,36.914983330572824
88,8.8,36.8260685570658
89,8.9,36.74171179752277
90,9.0,36.66163278369591
91,9.1,36.58557126587494
92,9.200000000000001,36.513285389989285
93,9.3,36.44455022144239
94,9.4,36.37915640108564
95,9.5,36.31690892031758
96,9.600000000000001,36.25762600368888
97,9.700000000000001,36.201138088626806
98,9.8,36.14728689298541
99,9.9,36.095924562095824
100,10.0,36.04691288785074
101,10.100000000000001,36.000122593120906
102,10.200000000000001,35.955432675480786
103,10.3,35.9127298048258
104,10.4,35.87190777000277
105,10.5,35.83286697005683
106,10.600000000000001,35.79551394612798
107,10.700000000000001,35.75976095041529
108,10.8,35.72552554897076
109,10.9,35.692730255393855
110,11.0,35.661302192774045
111,11.100000000000001,35.63117278147745
112,11.200000000000001,35.60227745059696
113,11.3,35.574555371085836
114,11.4,35.547949208776096
115,11.5,35.52240489564552
116,11.600000000000001,35.49787141784436
117,11.700000000000001,35.47430061912547
118,11.8,35.45164701844157
119,11.9,35.42986764058152
120,12.0,35.408921858815965
121,12.100000000000001,35.38877124861134
122,12.200000000000001,35.36937945155186
123,12.3,35.35071204868225
124,12.4,35.332736442550384
125,12.5,35.31542174728923
126,12.600000000000001,35.298738686132275
127,12.700000000000001,35.28265949580683
128,12.8,35.26715783729461
129,12.9,35.25220871249076
130,13.0,35.23778838633022
131,13.100000000000001,35.223874313984595
132,13.200000000000001,35.210445072764415
133,13.3,35.1974802983904
134,13.4,35.184960625323576
135,13.5,35.172867630868176
136,13.600000000000001,35.16118378278355
137,13.700000000000001,35.149892390161185
138,13.8,35.13897755734161
139,13.9,35.128424140663135
140,14.0,35.11821770784972
141,14.100000000000001,35.10834449985971
142,14.200000000000001,35.098791395030396
143,14.3,35.08954587536552
144,14.4,35.08059599482384
145,14.5,35.07193034947724
146,14.600000000000001,35.06353804941646
147,14.700000000000001,35.05540869229097
148,14.8,35.04753233837787
149,14.9,35.03989948708181
150,15.0,35.03250105477512
151,15.100000000000001,35.025328353893336
152,15.200000000000001,35.01837307320748
153,15.3,35.01162725919965
154,15.4,35.00508329847355
155,15.5,34.99873390113629
156,15.600000000000001,34.99257208509199
157,15.700000000000001,34.98659116119185
158,15.8,34.980784719188776
159,15.9,34.97514661444844
160,16.0,34.96967095537152
161,16.1,34.96435209148493
162,16.2,34.95918460216275
163,16.3,34.95416328593969
164,16.400000000000002,34.94928315038294
165,16.5,34.94453940248967
166,16.6,34.939927439580316
167,16.7,34.935442840659
168,16.8,34.931081358214676
169,16.900000000000002,34.926838910437986
