,Time,OD,Sample,All Events ,P1 Events,H2-UR Events,mCherry Events,H2-LL Events,GFP Events,All Events  % Total,P1 % Total,H2-UR % Total,mCherry % Total,H2-LL % Total,GFP % Total,All Events  % Parent,P1 % Parent,H2-UR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,H2-UR Mean FITC-A,mCherry Mean FITC-A,H2-LL Mean FITC-A,GFP Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,H2-UR Mean ECD-A,mCherry Mean ECD-A,H2-LL Mean ECD-A,GFP Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,H2-UR Mean FSC-A,mCherry Mean FSC-A,H2-LL Mean FSC-A,GFP Mean FSC-A,All Events  rCV FSC-A,P1 rCV FSC-A,H2-UR rCV FSC-A,mCherry rCV FSC-A,H2-LL rCV FSC-A,GFP rCV FSC-A,GFP_ratio,mCherry_ratio
#119,7.483611111111145,0.006,#2-1,49805,43340,3,508,1506,41323,100.00%,87.02%,0.01%,1.02%,3.02%,82.97%,100.00%,87.02%,0.01%,1.17%,3.47%,95.35%,12460.8,14147.6,3868.0,247.7,237.4,14826.2,745.6,790.3,8110.4,21304.6,221.8,558.3,57953.5,62961.6,175231.9,62246.3,46561.8,63560.0,39.09%,31.88%,110.74%,38.09%,40.29%,31.29%,0.9878781599668462,0.012121840033153752
#120,7.518333333333317,0.009000000000000001,#2-2,47605,42664,10,15388,1745,25521,100.00%,89.62%,0.02%,32.32%,3.67%,53.61%,100.00%,89.62%,0.02%,36.07%,4.09%,59.82%,7773.8,8570.2,4334.4,200.0,200.7,14191.0,5626.0,6203.6,9337.6,16134.4,191.4,625.6,58928.7,61032.4,80154.8,57724.1,48536.7,63874.1,37.83%,32.45%,32.81%,31.40%,34.67%,32.03%,0.6238398164563562,0.3761601835436438
#121,7.538055555555559,0.006999999999999999,#3-1,55772,49142,5,4940,1777,42420,100.00%,88.11%,0.01%,8.86%,3.19%,76.06%,100.00%,88.11%,0.01%,10.05%,3.62%,86.32%,11421.5,12808.4,5168.5,194.3,237.5,14804.8,1876.8,2094.1,12350.1,15892.8,240.1,563.6,63026.4,62825.5,282665.3,58855.5,48758.4,63851.2,38.73%,32.37%,80.26%,31.75%,36.67%,31.99%,0.8957144339524749,0.10428556604752515
#122,7.576666666666654,0.009000000000000001,#3-2,88973,77844,20,49521,4963,23340,100.00%,87.49%,0.02%,55.66%,5.58%,26.23%,100.00%,87.49%,0.03%,63.62%,6.38%,29.98%,3804.1,4279.3,5109.1,170.9,209.1,13860.9,7331.8,8251.0,12884.5,12636.0,308.2,632.1,51881.7,53462.6,73649.4,52454.3,42977.6,57814.1,42.07%,34.97%,32.78%,34.12%,40.47%,34.77%,0.3202991452991453,0.6797008547008547
#123,7.597500000000025,0.008,#4-1,80334,72017,8,15934,2461,53614,100.00%,89.65%,0.01%,19.83%,3.06%,66.74%,100.00%,89.65%,0.01%,22.13%,3.42%,74.45%,9865.3,10874.5,4514.5,175.3,236.6,14543.5,2943.1,3217.1,10373.9,12629.1,273.1,554.0,59699.3,60939.8,168523.5,57309.1,52819.4,62375.5,37.99%,32.63%,49.48%,32.33%,36.21%,32.42%,0.7708635328225306,0.22913646717746938
#124,7.615555555555545,0.012,#4-2,78572,71479,12,50367,3383,17717,100.00%,90.97%,0.02%,64.10%,4.31%,22.55%,100.00%,90.97%,0.02%,70.46%,4.73%,24.79%,3385.7,3640.7,2048.0,171.0,208.1,14161.3,8209.1,8847.4,4327.8,12295.6,291.5,681.3,55534.9,58497.7,207801.3,57624.3,47970.6,62889.8,36.72%,32.27%,46.39%,31.98%,31.99%,32.26%,0.26026246719160107,0.7397375328083989
#125,7.630277777777792,0.009000000000000001,#5-1,61811,53896,10,15956,2058,35872,100.00%,87.19%,0.02%,25.81%,3.33%,58.03%,100.00%,87.19%,0.02%,29.61%,3.82%,66.56%,8613.7,9736.0,4641.0,162.7,215.9,14541.9,3221.9,3624.7,10478.3,10921.6,290.9,568.3,61050.8,61043.4,126055.2,57832.9,47514.7,63229.5,39.30%,32.40%,35.46%,31.56%,35.99%,31.96%,0.6921077259020484,0.3078922740979516
#126,7.642777777777781,0.013000000000000001,#5-2,84341,76336,10,56926,4223,15177,100.00%,90.51%,0.01%,67.50%,5.01%,17.99%,100.00%,90.51%,0.01%,74.57%,5.53%,19.88%,2777.3,3003.1,2879.6,156.5,201.2,14459.7,7878.3,8565.9,6162.8,11295.7,297.8,628.9,54924.4,57873.2,100173.8,57290.9,47319.1,62966.2,37.30%,32.55%,48.99%,32.17%,33.72%,32.34%,0.2104817363684489,0.7895182636315511
#127,7.901666666666699,0.012,#1-1,41302,34613,0,123,1569,32921,100.00%,83.80%,0.00%,0.30%,3.80%,79.71%,100.00%,83.80%,0.00%,0.36%,4.53%,95.11%,12137.4,14291.5,,378.2,241.9,15013.1,617.6,600.1,,17147.7,260.0,554.5,59736.1,64543.6,,76864.3,49845.2,65198.1,42.06%,32.28%,,51.19%,34.57%,31.91%,0.9962291819419713,0.003770818058028702
#128,7.921111111111145,0.013999999999999999,#1-2,78146,70586,28,2492,2131,65935,100.00%,90.33%,0.04%,3.19%,2.73%,84.37%,100.00%,90.33%,0.04%,3.53%,3.02%,93.41%,12583.4,13716.7,5031.3,354.6,241.9,14660.9,1240.0,1350.2,11910.2,22420.2,226.5,585.7,62423.1,65383.3,101492.3,60482.0,50574.6,66031.9,37.08%,32.35%,41.63%,31.20%,35.59%,32.04%,0.9635857231277078,0.03641427687229215
#129,7.942222222222256,0.013999999999999999,#2-1,83399,75268,2,727,2721,71818,100.00%,90.25%,0.00%,0.87%,3.26%,86.11%,100.00%,90.25%,0.00%,0.97%,3.62%,95.42%,12734.8,13916.3,1529.1,249.1,217.3,14574.0,685.7,744.1,3085.9,21420.7,182.8,556.0,59919.1,64078.9,180085.8,62327.9,49411.4,64649.1,36.79%,32.00%,98.00%,31.77%,33.85%,31.72%,0.9899367154269114,0.010063284573088582
#130,7.979166666666686,0.021,#2-2,73139,65869,27,23924,2624,39294,100.00%,90.06%,0.04%,32.71%,3.59%,53.73%,100.00%,90.06%,0.04%,36.32%,3.98%,59.65%,7740.3,8480.9,3761.6,205.5,214.0,14074.7,5613.0,6152.8,8869.5,15879.3,246.2,623.5,58195.9,62097.3,71712.9,58669.2,47884.0,65127.1,38.25%,33.37%,24.13%,32.14%,36.38%,33.06%,0.621548400541836,0.378451599458164
#131,8.03333333333336,0.015,#3-1,69656,62532,10,6606,2570,53346,100.00%,89.77%,0.01%,9.48%,3.69%,76.58%,100.00%,89.77%,0.02%,10.56%,4.11%,85.31%,11329.0,12469.5,3725.4,189.4,241.7,14580.9,1972.6,2146.1,8496.5,15577.0,255.2,572.9,61750.4,65110.3,153209.3,60219.8,51717.5,66344.6,37.47%,32.47%,63.30%,31.49%,32.88%,32.21%,0.8898508396787316,0.11014916032126842
#132,8.05444444444447,0.019,#3-2,108345,100098,46,63668,3967,32417,100.00%,92.39%,0.04%,58.76%,3.66%,29.92%,100.00%,92.39%,0.05%,63.61%,3.96%,32.39%,4413.7,4708.0,4205.9,176.5,213.0,14158.8,7575.8,8107.6,9510.9,12390.7,273.4,652.1,57410.8,59906.3,89658.1,58583.6,47631.9,63963.9,35.06%,31.86%,47.10%,31.24%,32.35%,32.11%,0.3373958333333334,0.6626041666666667
#133,8.097222222222229,0.018000000000000002,#4-1,109094,98661,12,21789,4390,72470,100.00%,90.44%,0.01%,19.97%,4.02%,66.43%,100.00%,90.44%,0.01%,22.08%,4.45%,73.45%,9520.4,10410.9,6651.4,166.2,209.6,14109.7,2941.2,3174.9,15204.8,12444.8,221.9,564.7,58972.8,60905.4,172594.8,57709.5,46933.2,62694.2,36.29%,31.83%,48.35%,30.84%,34.44%,31.59%,0.7688684182979169,0.23113158170208314
#134,8.119722222222208,0.027999999999999997,#4-2,107923,100404,34,70809,4394,25167,100.00%,93.03%,0.03%,65.61%,4.07%,23.32%,100.00%,93.03%,0.03%,70.52%,4.38%,25.07%,3331.2,3525.4,5047.4,160.8,202.4,13569.8,8217.1,8725.7,12078.9,12096.9,282.3,710.2,56623.8,57903.4,83524.9,57066.1,46983.7,62131.0,35.73%,32.71%,35.49%,32.17%,31.95%,32.93%,0.2622659273982634,0.7377340726017366
#135,8.134444444444455,0.021,#5-1,110754,100048,10,30503,4675,64860,100.00%,90.33%,0.01%,27.54%,4.22%,58.56%,100.00%,90.33%,0.01%,30.49%,4.67%,64.83%,8581.8,9353.4,3648.1,155.3,212.8,14338.8,3352.1,3634.7,9088.9,10652.5,242.7,578.0,58888.7,61695.2,335782.0,58291.1,48292.8,64220.0,37.59%,32.84%,92.42%,31.67%,33.09%,32.90%,0.6801300881242132,0.31986991187578684
#136,8.1516666666667,0.032,#5-2,109770,100484,18,74305,5707,20454,100.00%,91.54%,0.02%,67.69%,5.20%,18.63%,100.00%,91.54%,0.02%,73.95%,5.68%,20.36%,2681.8,2889.4,8322.5,143.5,190.6,13612.6,7407.2,7997.5,20310.6,10611.9,255.9,648.9,52571.2,56099.3,102753.0,55562.7,45724.2,60902.4,35.94%,32.25%,27.47%,31.85%,31.01%,32.80%,0.21588378750927792,0.784116212490722
#137,8.387222222222192,0.026000000000000002,#1-1,110743,100196,6,298,3803,96089,100.00%,90.48%,0.01%,0.27%,3.43%,86.77%,100.00%,90.48%,0.01%,0.30%,3.80%,95.90%,12425.3,13547.9,3273.4,399.5,241.2,14115.9,528.1,565.5,6971.6,18430.0,241.0,522.5,58222.6,62109.0,236874.5,69195.4,48970.8,62596.0,36.83%,32.22%,76.55%,33.81%,32.89%,32.07%,0.9968814968814969,0.0031185031185031464
#138,8.407222222222288,0.03,#1-2,109359,100330,25,2818,3505,93982,100.00%,91.74%,0.02%,2.58%,3.21%,85.94%,100.00%,91.74%,0.02%,2.81%,3.49%,93.67%,12022.9,12919.3,5051.8,309.8,239.7,13772.3,1037.8,1115.3,11608.1,21064.2,256.1,546.4,57753.9,62360.6,120985.9,57401.6,49809.4,62961.8,36.33%,32.44%,59.08%,32.17%,32.08%,32.24%,0.9708747927031509,0.029125207296849087
#139,8.425277777777808,0.03,#2-1,110734,100386,9,1034,4015,95328,100.00%,90.66%,0.01%,0.93%,3.63%,86.09%,100.00%,90.66%,0.01%,1.03%,4.00%,94.96%,12433.2,13533.4,1890.7,234.8,251.1,14238.1,698.3,729.8,4093.9,20045.0,279.8,538.9,59048.9,63428.9,322908.0,62271.1,50592.2,63957.6,38.26%,33.69%,22.19%,32.89%,32.80%,33.49%,0.9892697155953746,0.010730284404625423
#140,8.442499999999995,0.044000000000000004,#2-2,108643,100396,62,34253,3741,62340,100.00%,92.41%,0.06%,31.53%,3.44%,57.38%,100.00%,92.41%,0.06%,34.12%,3.73%,62.09%,7561.8,8076.7,4099.6,201.2,228.4,12878.8,5170.3,5532.6,9756.8,15044.2,294.7,616.5,54007.0,57699.7,84452.4,55141.1,47077.7,59716.3,36.45%,33.05%,46.79%,32.52%,31.77%,33.00%,0.6453591102795968,0.3546408897204032
#141,8.458333333333314,0.031,#3-1,109483,100371,18,9477,3731,87145,100.00%,91.68%,0.02%,8.66%,3.41%,79.60%,100.00%,91.68%,0.02%,9.44%,3.72%,86.82%,11131.7,11983.7,6764.7,174.2,238.1,13771.9,1767.2,1903.6,16607.5,14955.5,279.0,550.8,57462.8,61847.5,110806.8,57391.6,48986.8,62872.6,36.53%,32.65%,68.65%,31.38%,32.89%,32.57%,0.9019322667774776,0.09806773322252238
#142,8.47861111111115,0.038,#3-2,107432,100002,43,62972,4166,32821,100.00%,93.08%,0.04%,58.62%,3.88%,30.55%,100.00%,93.08%,0.04%,62.97%,4.17%,32.82%,4176.8,4431.9,4013.6,173.5,213.6,13138.3,7415.3,7870.8,9272.1,12129.5,286.5,660.9,53664.8,56839.3,75901.6,55599.5,46267.5,60535.0,35.32%,32.28%,36.46%,31.79%,31.26%,32.59%,0.3426244910742249,0.6573755089257751
#143,8.495000000000005,0.035,#4-1,108174,100345,30,21979,3079,75257,100.00%,92.76%,0.03%,20.32%,2.85%,69.57%,100.00%,92.76%,0.03%,21.90%,3.07%,75.00%,9801.8,10430.9,6815.2,165.5,227.3,13847.8,2903.6,3085.4,15976.8,12102.5,266.2,562.2,57584.1,60810.2,116795.2,57477.5,47838.6,62291.9,35.67%,32.45%,34.19%,31.86%,32.87%,32.26%,0.7739938080495357,0.22600619195046434
#144,8.51472222222219,0.052000000000000005,#4-2,86135,79110,29,54777,3251,21053,100.00%,91.84%,0.03%,63.59%,3.77%,24.44%,100.00%,91.84%,0.04%,69.24%,4.11%,26.61%,3431.7,3686.9,3372.9,168.4,222.9,13376.7,7895.0,8505.4,7487.1,12000.7,297.0,680.0,54516.5,57772.3,81268.3,56879.8,47101.1,61710.0,35.20%,31.60%,53.37%,31.09%,29.71%,32.23%,0.2776212832550861,0.7223787167449138
#145,8.531388888888898,0.04,#5-1,109749,100465,14,29400,4722,66329,100.00%,91.54%,0.01%,26.79%,4.30%,60.44%,100.00%,91.54%,0.01%,29.26%,4.70%,66.02%,8666.6,9360.2,5767.1,146.8,212.6,14095.9,3202.6,3463.2,13827.3,10481.5,233.7,580.0,57263.9,61473.9,114943.9,57822.5,48138.3,64030.5,36.00%,32.12%,43.62%,30.95%,32.13%,32.25%,0.6929051217464315,0.3070948782535685
#146,8.546944444444478,0.057999999999999996,#5-2,107967,100417,16,74962,4169,21270,100.00%,93.01%,0.01%,69.43%,3.86%,19.70%,100.00%,93.01%,0.02%,74.65%,4.15%,21.18%,2810.3,2981.6,5871.5,145.1,210.6,13519.6,7813.3,8220.7,14338.0,10810.9,321.2,635.8,53760.2,56857.8,146089.6,56214.4,46231.6,61140.8,35.05%,31.94%,41.99%,31.55%,30.97%,32.36%,0.22101638317854533,0.7789836168214547
#147,8.786388888888894,0.05,#1-1,106963,100490,9,382,5048,95051,100.00%,93.95%,0.01%,0.36%,4.72%,88.86%,100.00%,93.95%,0.01%,0.38%,5.02%,94.59%,11817.7,12445.8,2579.4,445.5,253.5,13142.4,828.5,734.7,5639.0,20379.1,358.8,675.3,55327.5,57688.0,245147.4,65151.4,46637.3,58227.1,34.96%,32.48%,118.63%,37.81%,30.67%,32.46%,0.9959987364430872,0.004001263556912771
#148,8.805000000000007,0.059000000000000004,#1-2,110491,100448,31,2875,5081,92461,100.00%,90.91%,0.03%,2.60%,4.60%,83.68%,100.00%,90.91%,0.03%,2.86%,5.06%,92.05%,11357.5,12319.3,5085.8,350.6,266.1,13356.3,1404.7,1405.9,12370.7,26077.9,362.2,692.5,55282.9,59869.2,163707.4,56238.3,48333.8,60581.1,41.63%,36.56%,75.71%,37.92%,32.79%,36.49%,0.969866189021178,0.03013381097882195
#149,8.824166666666656,0.057999999999999996,#2-1,111133,100354,6,1078,4432,94838,100.00%,90.30%,0.01%,0.97%,3.99%,85.34%,100.00%,90.30%,0.01%,1.07%,4.42%,94.50%,11322.9,12351.9,6103.9,276.3,262.0,13054.6,883.5,904.8,15951.3,23774.3,322.5,671.2,53762.9,58175.0,305701.2,59802.3,48247.5,58604.8,38.39%,33.58%,75.91%,35.49%,31.91%,33.54%,0.9888040179972795,0.01119598200272054
#150,8.843333333333305,0.085,#2-2,108762,100427,119,33656,4286,62366,100.00%,92.34%,0.11%,30.94%,3.94%,57.34%,100.00%,92.34%,0.12%,33.51%,4.27%,62.10%,7039.4,7520.6,6231.8,199.0,239.5,11974.6,6347.6,6671.9,14738.1,18349.3,380.3,787.2,51076.0,54502.1,84919.3,52053.7,46272.5,56330.9,35.93%,32.59%,45.69%,31.90%,28.67%,32.95%,0.6495136491998745,0.35048635080012547
#151,8.860833333333346,0.059000000000000004,#3-1,110098,100297,26,9666,3856,86749,100.00%,91.10%,0.02%,8.78%,3.50%,78.79%,100.00%,91.10%,0.03%,9.64%,3.84%,86.49%,10266.6,11131.8,5902.0,184.2,264.3,12836.3,2399.6,2482.6,14358.7,19263.7,389.3,702.3,54545.0,58113.4,178419.9,54684.0,49072.3,58861.3,36.36%,32.15%,51.09%,32.10%,27.91%,32.20%,0.8997191303443254,0.10028086965567462
#152,8.878888888888923,0.079,#3-2,110775,100528,65,62397,5454,32612,100.00%,90.75%,0.06%,56.33%,4.92%,29.44%,100.00%,90.75%,0.06%,62.07%,5.43%,32.44%,3786.2,4113.0,4071.6,160.8,202.5,12328.7,9185.9,9930.3,9190.5,15529.1,305.7,829.0,50307.6,54272.5,79301.3,53195.5,45795.2,57700.9,36.46%,32.23%,37.25%,31.86%,28.46%,32.81%,0.34324410115331705,0.656755898846683
#153,8.8969444444445,0.068,#4-1,48481,37588,9,8518,1649,27412,100.00%,77.53%,0.02%,17.57%,3.40%,56.54%,100.00%,77.53%,0.02%,22.66%,4.39%,72.93%,7832.3,9919.9,4022.2,176.6,265.2,13530.3,3354.9,4113.2,8775.0,15806.1,389.1,702.3,46775.8,58717.8,279423.8,55319.8,49183.6,60274.7,52.77%,33.98%,70.15%,33.50%,29.18%,34.01%,0.762945914844649,0.23705408515535098
#154,8.915833333333353,0.10300000000000001,#4-2,115345,100505,41,68573,5219,26672,100.00%,87.13%,0.04%,59.45%,4.52%,23.12%,100.00%,87.13%,0.04%,68.23%,5.19%,26.54%,2985.5,3365.3,5663.5,148.1,211.4,12250.1,9323.2,10541.3,12995.3,15102.0,345.0,807.5,46775.4,52427.7,81599.4,51686.5,44449.3,55849.8,40.71%,33.49%,52.44%,33.34%,30.81%,33.47%,0.2800464281945763,0.7199535718054237
#155,8.932222222222208,0.077,#5-1,112730,100450,32,29971,4691,65756,100.00%,89.11%,0.03%,26.59%,4.16%,58.33%,100.00%,89.11%,0.03%,29.84%,4.67%,65.46%,7875.0,8698.1,8287.6,136.8,233.4,13204.3,4210.1,4612.3,19950.9,13755.3,350.6,741.5,51828.2,56703.9,111265.6,53764.0,46714.7,58730.0,40.28%,34.49%,29.97%,33.89%,31.74%,34.63%,0.6868835257082896,0.3131164742917104
#156,8.949722222222192,0.11199999999999999,#5-2,109627,100609,12,74900,5452,20245,100.00%,91.77%,0.01%,68.32%,4.97%,18.47%,100.00%,91.77%,0.01%,74.45%,5.42%,20.12%,2525.1,2705.6,4253.7,120.2,191.3,12946.8,7906.2,8469.6,9622.8,11175.0,314.0,656.1,48608.6,51763.1,88590.9,51186.5,44155.0,55923.5,36.77%,33.10%,55.25%,32.89%,31.28%,32.83%,0.2127524584963519,0.7872475415036481
#157,9.198333333333323,0.099,#1-1,108916,100288,8,257,3616,96407,100.00%,92.08%,0.01%,0.24%,3.32%,88.52%,100.00%,92.08%,0.01%,0.26%,3.61%,96.13%,11628.3,12450.0,4740.3,492.9,239.0,12940.6,635.8,673.3,10676.3,19378.1,340.6,635.1,52748.0,56523.9,181368.6,59506.9,48269.3,56815.2,37.43%,33.72%,93.68%,38.48%,30.07%,33.76%,0.9973026247536051,0.0026973752463949063
#158,9.23527777777781,0.11900000000000001,#1-2,86781,74652,25,2056,3159,69412,100.00%,86.02%,0.03%,2.37%,3.64%,79.99%,100.00%,86.02%,0.03%,2.75%,4.23%,92.98%,10604.7,12122.4,4482.0,295.4,238.6,13016.3,1222.2,1366.6,10365.1,25770.9,346.3,686.9,50912.1,58175.4,98225.7,54589.8,48690.5,58698.8,42.07%,33.88%,42.59%,33.64%,29.10%,33.93%,0.9712733730283089,0.02872662697169115
#159,9.263333333333321,0.122,#2-1,111700,100701,8,908,9812,89973,100.00%,90.15%,0.01%,0.81%,8.78%,80.55%,100.00%,90.15%,0.01%,0.90%,9.74%,89.35%,10444.8,11408.3,6062.2,168.2,184.5,12746.3,767.9,822.4,14178.2,23874.6,250.1,651.0,50237.4,54822.5,186804.9,52797.3,45892.7,55805.0,40.23%,35.19%,76.77%,34.89%,31.70%,35.03%,0.9900277008310249,0.00997229916897513
#160,9.294166666666683,0.18100000000000002,#2-2,113013,98848,94,33727,4129,60898,100.00%,87.47%,0.08%,29.84%,3.65%,53.89%,100.00%,87.47%,0.10%,34.12%,4.18%,61.61%,6644.1,7465.7,4497.9,177.2,210.1,11998.7,6287.1,7059.5,10365.2,19228.4,328.3,771.3,48195.6,54099.3,77356.3,51885.7,46176.3,55826.5,40.52%,33.77%,43.59%,33.24%,30.91%,34.06%,0.6435809046275984,0.3564190953724016
#161,9.329722222222188,0.125,#3-1,112797,100423,18,9434,4004,86967,100.00%,89.03%,0.02%,8.36%,3.55%,77.10%,100.00%,89.03%,0.02%,9.39%,3.99%,86.60%,9785.7,10839.9,9840.4,162.0,222.4,12487.3,2081.6,2295.3,25919.0,18210.2,306.6,655.6,48738.4,53978.3,110330.8,50906.5,46763.3,54632.1,38.78%,33.17%,26.29%,32.58%,28.24%,33.32%,0.9021773101364725,0.09782268986352749
#162,9.348333333333358,0.182,#3-2,109734,100457,62,63767,3361,33267,100.00%,91.55%,0.06%,58.11%,3.06%,30.32%,100.00%,91.55%,0.06%,63.48%,3.35%,33.12%,3778.1,4038.0,6088.4,141.6,210.5,11889.8,9675.7,10206.6,14931.1,15612.4,350.9,831.5,49046.7,52194.6,95445.4,51109.4,45307.0,54890.0,35.77%,32.11%,44.02%,31.92%,28.31%,32.15%,0.34285714285714286,0.6571428571428571
#163,9.383611111111122,0.154,#4-1,110747,100460,25,22722,3476,74237,100.00%,90.71%,0.02%,20.52%,3.14%,67.03%,100.00%,90.71%,0.02%,22.62%,3.46%,73.90%,8659.0,9425.0,7357.5,134.5,219.2,12700.3,3673.3,3947.5,17043.5,15141.1,339.9,685.9,49761.3,53961.3,125481.4,51132.6,46429.0,55155.7,36.99%,32.61%,38.67%,32.52%,29.56%,32.52%,0.7656444260256943,0.23435557397430573
#164,9.41138888888895,0.23,#4-2,111489,100747,35,70047,4483,26182,100.00%,90.36%,0.03%,62.83%,4.02%,23.48%,100.00%,90.36%,0.03%,69.53%,4.45%,25.99%,2900.2,3154.2,5134.2,123.6,202.4,11765.0,9963.3,10815.9,11776.3,15222.0,357.6,817.1,47733.6,51659.5,76993.6,50947.8,44055.4,54831.5,37.62%,33.32%,39.67%,33.08%,29.52%,33.50%,0.27208961474036847,0.7279103852596316
#166,9.450555555555525,0.245,#5-2,107324,98679,22,73731,6681,18245,100.00%,91.94%,0.02%,68.70%,6.23%,17.00%,100.00%,91.94%,0.02%,74.72%,6.77%,18.49%,2234.0,2379.1,6762.0,107.0,159.0,12368.7,7249.3,7712.2,15713.9,10137.2,241.9,638.4,46567.3,49167.1,88086.0,48816.6,42893.0,52834.4,38.66%,35.04%,68.53%,34.99%,32.90%,35.34%,0.19836927368308122,0.8016307263169188
#165,9.473333333333358,0.184,#5-1,110259,100252,5,28620,7556,64071,100.00%,90.92%,0.00%,25.96%,6.85%,58.11%,100.00%,90.92%,0.00%,28.55%,7.54%,63.91%,7573.9,8208.6,8120.6,120.0,175.1,12769.2,3069.0,3321.7,20450.4,10372.9,178.6,541.3,48198.0,51885.8,92254.4,49755.4,43513.5,53821.7,37.18%,33.16%,14.27%,32.70%,29.43%,33.13%,0.6912178239238589,0.3087821760761411
#167,9.561111111111131,0.17800000000000002,#1-1,107459,100197,2,194,5423,94578,100.00%,93.24%,0.00%,0.18%,5.05%,88.01%,100.00%,93.24%,0.00%,0.19%,5.41%,94.39%,11659.7,12305.0,4951.5,378.6,170.3,13025.4,474.7,500.6,12333.1,18805.0,166.2,482.0,50458.5,53326.3,46556.1,63778.3,44565.7,53807.3,36.13%,33.21%,24.09%,39.78%,30.64%,33.20%,0.9979911186297314,0.002008881370268556
#169,9.657777777777824,0.204,#2-1,108459,100548,10,861,6025,93652,100.00%,92.71%,0.01%,0.79%,5.56%,86.35%,100.00%,92.71%,0.01%,0.86%,5.99%,93.14%,11233.1,11946.3,2596.6,189.0,164.4,12813.4,597.6,627.2,5626.7,18876.5,168.7,488.4,48971.5,51904.3,163866.7,50982.4,44428.9,52381.7,36.59%,33.25%,70.13%,35.33%,31.54%,33.16%,0.9908510638297872,0.00914893617021284
#168,9.69083333333333,0.005,#1-2,25780,19035,3,450,1297,17285,100.00%,73.84%,0.01%,1.75%,5.03%,67.05%,100.00%,73.84%,0.02%,2.36%,6.81%,90.81%,8486.6,11304.5,2888.9,282.5,248.8,12422.5,759.6,906.3,6319.4,18354.7,225.1,502.2,41422.2,51890.5,96527.5,51135.0,42854.7,52580.4,56.31%,32.70%,41.61%,34.84%,37.69%,31.97%,0.9746699581410325,0.025330041858967478
#170,9.714444444444496,0.004,#2-2,46162,30029,12,9115,2678,18224,100.00%,65.05%,0.03%,19.75%,5.80%,39.48%,100.00%,65.05%,0.04%,30.35%,8.92%,60.69%,5201.1,7808.4,3221.6,204.0,250.8,12725.4,3561.9,5217.7,7756.9,15818.6,295.6,637.1,46795.4,55587.7,89410.2,53946.3,44493.7,58016.7,81.26%,32.91%,60.15%,31.13%,40.05%,32.49%,0.6666300527240774,0.3333699472759226
#171,9.729166666666686,0.004,#3-1,26632,19120,1,1604,1714,15801,100.00%,71.79%,0.00%,6.02%,6.44%,59.33%,100.00%,71.79%,0.01%,8.39%,8.96%,82.64%,7660.6,10477.2,1529.5,172.9,237.7,12634.5,1211.9,1526.0,3219.6,13085.2,212.1,495.0,42107.8,52445.8,39254.7,49710.1,42717.7,53779.6,58.65%,32.65%,0.00%,33.93%,36.44%,32.07%,0.9078325826650555,0.09216741733494449
#172,9.746388888888873,0.004,#3-2,35625,19554,5,10684,2836,6029,100.00%,54.89%,0.01%,29.99%,7.96%,16.92%,100.00%,54.89%,0.03%,54.64%,14.50%,30.83%,2320.0,4018.3,3863.2,186.2,163.2,12622.7,4122.2,7051.3,8261.5,12478.5,228.5,642.1,37958.7,54888.8,78013.3,52978.5,54045.6,58651.5,115.05%,35.38%,32.24%,32.71%,52.49%,32.13%,0.3607113607113607,0.6392886392886393
#173,9.76916666666665,0.002,#4-1,55289,40182,4,8240,2956,28982,100.00%,72.68%,0.01%,14.90%,5.35%,52.42%,100.00%,72.68%,0.01%,20.51%,7.36%,72.13%,6755.7,9133.5,1851.0,147.9,214.1,12598.9,1961.4,2580.9,3934.1,10736.8,201.0,504.6,44044.3,53726.7,387673.8,51637.4,43808.0,55286.3,57.93%,32.91%,81.51%,32.38%,36.21%,32.16%,0.778605354058722,0.221394645941278
#174,9.795555555555609,0.004,#4-2,42793,29983,4,19812,2307,7860,100.00%,70.07%,0.01%,46.30%,5.39%,18.37%,100.00%,70.07%,0.01%,66.08%,7.69%,26.21%,2522.5,3487.2,2724.4,162.1,208.5,12831.5,5920.5,8149.9,6036.4,12044.4,312.8,635.0,43493.9,54745.5,64928.7,54098.2,45900.0,58968.2,63.27%,32.39%,19.80%,31.58%,37.90%,31.57%,0.2839960992523567,0.7160039007476433
#175,9.815277777777794,0.004,#5-1,73939,63885,7,18567,3346,41965,100.00%,86.40%,0.01%,25.11%,4.53%,56.76%,100.00%,86.40%,0.01%,29.06%,5.24%,65.69%,7461.2,8519.1,4578.5,137.9,224.9,12889.2,2888.4,3272.6,9877.1,10010.6,242.8,531.9,48149.5,53698.9,118221.0,51096.5,45170.4,55519.5,40.15%,32.72%,41.54%,32.12%,36.80%,32.47%,0.6932981530343008,0.30670184696569924
#176,9.83055555555552,0.005,#5-2,44538,35345,2,26491,2088,6764,100.00%,79.36%,0.00%,59.48%,4.69%,15.19%,100.00%,79.36%,0.01%,74.95%,5.91%,19.14%,2121.0,2610.8,6594.9,147.0,238.4,12991.4,6650.8,8203.6,17271.0,10758.4,379.8,610.3,45629.3,54050.8,89907.8,53448.6,45573.6,59015.5,47.00%,32.63%,30.66%,32.01%,38.29%,32.34%,0.2034222552874907,0.7965777447125093
