Experiment Name:,Exp_20201002__down_shift_RDM_Gly_MOPS_gly

Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Median Red-H,V1L Median Red-H,V1R Median Red-H,P1 Median Red-H,H1-UR Median Red-H,H1-UL Median Red-H,H1-LL Median Red-H,H1-LR Median Red-H,H2-UR Median Red-H,H2-UL Median Red-H,H2-LL Median Red-H,H2-LR Median Red-H,P1 AND NOT(H2-LL) Median Red-H
35,2.35,39391.9,52.5,39631.6,39334.7,####,39640.5,80.0,189.1,####,39639.6,86.7,189.1,39639.1,1248.9,-14.0,1276.1,1266.5,####,1276.4,-20.9,5545.0,####,1276.4,-21.5,5545.0,1276.5,1353.7,17.6,1250.2,1240.9,####,1250.4,19.2,32.9,####,1250.4,18.1,32.9,1250.4,60.9,19.6,58.7,58.4,####,58.7,18.8,598.3,####,58.7,18.5,598.3,58.7,56.9,15.8,56.5,56.3,####,56.5,15.6,598.3,####,56.5,15.5,598.3,56.5
36,3.55,12070.2,117.0,12778.5,12700.6,####,12780.6,142.5,####,####,12779.3,128.1,-162.9,12779.0,428.1,19.7,451.6,448.9,####,451.7,18.8,####,####,451.6,17.7,326.2,451.6,562.9,18.1,556.7,553.4,####,556.8,20.0,####,####,556.7,18.5,15.7,556.7,34.3,18.5,33.8,33.7,####,33.8,18.5,####,####,33.8,18.2,78.0,33.8,31.2,15.9,31.2,31.2,####,31.2,15.9,####,####,31.2,15.8,78.0,31.2
37,2.31,40092.0,92.9,37254.8,37120.2,####,37258.9,118.0,449.8,####,37259.3,128.3,72.5,37258.8,1784.5,3.4,1718.7,1712.5,####,1718.9,-9.7,3375.4,####,1718.9,-2.7,4358.9,1718.9,1382.8,19.1,1257.0,1252.5,####,1257.1,20.6,19.6,####,1257.1,20.4,26.1,1257.1,80.4,21.5,77.7,77.5,####,77.7,19.7,302.3,####,77.7,19.8,564.7,77.8,75.7,16.3,75.0,74.9,####,75.0,16.3,302.3,####,75.0,16.3,564.7,75.0
38,5.97,13391.0,88.6,14461.3,14345.3,####,14462.3,97.9,####,4505.1,14461.9,94.7,-53.6,14461.5,449.6,21.3,481.3,477.6,####,481.3,22.3,####,670.8,481.3,21.7,414.4,481.3,632.2,16.6,623.3,618.4,####,623.3,17.1,####,527.0,623.3,16.6,11.9,623.3,35.6,17.7,35.3,35.1,####,35.3,17.8,####,157.6,35.3,17.6,63.8,35.3,32.4,15.4,32.4,32.3,####,32.4,15.5,####,157.6,32.4,15.4,63.8,32.4
39,2.30,53464.3,52.5,58161.5,56654.8,449369.3,58167.6,58.8,447.7,64693.6,58162.6,54.9,84.5,58145.0,2468.6,59.5,2724.0,2654.9,62148.9,2723.8,57.2,2197.0,8601.6,2723.3,54.7,492.3,2723.4,1593.8,15.0,1475.1,1437.2,2152.7,1475.3,15.4,19.3,1886.5,1475.1,14.8,27.3,1474.7,81.7,18.7,84.0,82.3,301.0,84.0,18.7,66.3,267.1,84.0,18.1,69.6,84.0,78.5,16.1,80.5,79.7,301.0,80.5,16.1,84.8,253.7,80.5,16.0,68.1,80.5
40,4.05,18150.0,87.4,18691.2,18586.8,####,18692.5,100.6,-180.8,####,18691.5,99.6,-180.8,18691.3,547.8,7.0,563.3,560.2,####,563.3,-16.9,12890.7,####,563.3,-15.3,12890.7,563.4,834.9,17.8,802.3,797.9,####,802.4,19.2,8.0,####,802.3,17.7,8.0,802.3,38.4,19.8,37.9,37.8,####,37.9,18.2,938.0,####,37.9,18.1,938.0,37.9,35.1,15.6,34.9,34.8,####,34.9,15.5,938.0,####,34.9,15.2,938.0,34.9
41,2.24,86903.2,55.5,94587.4,92871.8,571893.4,94613.1,75.4,753.3,205389.4,94597.9,70.8,49.6,94600.8,3015.6,63.5,3330.5,3271.2,70688.1,3330.1,62.3,2502.5,21756.2,3329.2,64.1,451.0,3330.9,2261.4,13.1,2044.5,2007.6,2685.0,2045.3,13.8,11.3,3258.9,2044.8,13.3,23.8,2044.8,93.9,16.8,90.6,89.2,383.5,90.6,16.8,27.0,364.5,90.6,16.5,68.5,90.6,85.3,15.1,86.0,85.4,383.5,86.1,15.0,27.0,349.5,86.0,14.9,64.6,86.0
42,5.47,22068.8,57.2,22854.5,22716.8,####,22854.5,57.2,####,####,22853.3,52.2,102.2,22852.8,536.2,-36.4,557.5,553.9,####,557.5,-36.4,####,####,557.4,-37.3,199.3,557.4,973.1,16.6,925.2,919.8,####,925.2,16.6,####,####,925.2,15.9,35.6,925.2,39.1,16.4,38.1,38.0,####,38.1,16.4,####,####,38.1,16.2,65.0,38.1,35.1,14.5,34.8,34.7,####,34.8,14.5,####,####,34.8,14.5,65.0,34.8
43,1.89,126622.8,78.7,137924.6,135941.1,####,137963.6,95.7,267.9,78799.3,137976.6,107.3,156.5,137961.7,3876.6,69.4,4284.4,4223.8,####,4285.6,60.0,1939.5,8176.9,4285.3,66.5,923.4,4285.6,3030.7,12.8,2687.7,2649.2,####,2688.5,13.4,6.0,2484.0,2688.6,13.3,22.1,2688.4,103.1,15.5,100.2,99.0,####,100.2,15.5,24.9,307.4,100.2,15.3,69.7,100.2,94.1,13.7,95.2,94.7,####,95.2,13.7,17.7,313.7,95.2,13.6,67.5,95.2
44,2.83,24894.8,83.4,28328.1,28040.7,####,28328.4,82.0,417.2,####,28328.4,84.5,150.7,28326.4,532.6,59.9,596.0,590.6,####,596.0,28.5,3918.8,####,596.0,36.8,3360.2,596.2,868.9,11.2,740.8,733.3,####,740.8,11.3,9.6,####,740.8,11.2,13.6,740.7,33.3,14.0,27.1,27.0,####,27.1,13.3,100.4,####,27.1,13.2,128.2,27.1,25.2,11.5,23.7,23.6,####,23.7,11.4,48.6,####,23.7,11.4,77.2,23.7
45,1.56,188538.4,87.7,219636.3,214846.6,62900.7,219715.3,100.0,464.9,217111.3,219686.5,101.1,76.4,219671.9,5304.8,67.4,6296.9,6161.0,23946.0,6298.9,62.2,1872.9,18899.0,6294.2,68.2,404.5,6297.9,4087.2,13.8,3507.3,3431.1,1071.8,3508.6,14.4,8.5,3843.1,3508.0,13.9,26.2,3507.9,103.6,16.3,111.3,109.2,415.3,111.4,16.2,24.4,378.9,111.3,16.0,65.7,111.3,99.3,14.1,105.0,104.1,415.3,105.0,14.1,25.2,401.3,105.0,14.1,62.9,105.0
46,1.29,14977.6,91.3,18463.5,18395.7,####,18463.5,89.7,237.9,####,18464.2,110.0,####,18464.2,322.2,83.1,408.7,407.5,####,408.7,63.0,1968.5,####,408.7,84.9,####,408.7,418.5,7.4,278.6,277.6,####,278.6,7.4,5.3,####,278.6,7.6,####,278.6,17.4,9.6,10.8,10.8,####,10.8,9.4,22.4,####,10.8,9.6,####,10.8,10.4,7.3,9.2,9.2,####,9.2,7.3,20.3,####,9.2,7.3,####,9.2
47,2.09,224884.0,79.4,262848.0,258169.3,128696.4,262907.7,88.2,811.1,233919.4,262934.0,97.4,125.8,262915.0,5836.0,56.1,7007.9,6884.2,26671.6,7008.7,53.3,3059.5,18981.6,7005.0,64.6,598.4,7009.6,4756.9,10.3,4199.4,4124.8,1885.1,4200.4,10.5,10.9,5004.6,4200.3,10.6,19.6,4200.5,108.6,12.6,120.1,118.2,394.4,120.1,12.5,35.8,410.1,120.0,12.5,60.4,120.1,103.4,11.2,112.2,111.4,394.4,112.3,11.1,36.4,429.5,112.2,11.1,60.4,112.3
48,1.15,7275.5,109.9,9066.6,9036.5,####,9066.9,117.6,453.8,####,9067.1,160.0,####,9067.1,157.2,119.5,201.4,201.1,####,201.4,86.3,2780.3,####,201.4,120.5,####,201.4,213.8,9.2,142.8,142.3,####,142.8,9.6,9.7,####,142.8,9.4,####,142.8,15.6,11.8,8.5,8.5,####,8.5,11.4,43.0,####,8.5,11.6,####,8.5,8.8,9.4,7.6,7.6,####,7.6,9.3,40.1,####,7.6,9.3,####,7.6
49,5.64,379584.4,60.5,747126.9,695411.8,671497.3,748112.6,73.3,393.5,129921.4,747936.9,78.4,409.3,747835.9,9253.2,426.8,17421.7,16245.2,76862.7,17417.0,126.3,23662.1,54834.7,17438.8,152.8,180238.5,17458.5,6771.7,8.1,8870.3,8256.9,5682.0,8883.0,8.5,7.2,1346.8,8880.0,8.3,13.7,8878.8,142.7,14.7,219.0,204.8,665.0,219.0,11.3,273.0,545.3,219.2,11.4,2092.7,219.4,95.3,9.9,207.4,200.5,743.1,207.5,9.9,25.6,545.3,207.5,9.9,2734.2,207.5
50,9.42,41304.3,28.5,41989.6,41865.6,17830.1,41992.2,46.7,123.2,21391.2,41988.6,28.8,-7.1,41986.0,323.1,72.2,327.5,326.7,13685.5,327.4,-18.8,6931.9,9571.0,327.3,-20.2,5128.7,327.7,1581.2,16.6,1558.5,1554.0,432.4,1558.6,18.5,24.2,786.0,1558.5,15.5,13.5,1558.4,25.7,21.7,25.3,25.3,364.9,25.3,16.5,407.9,308.7,25.3,16.2,316.6,25.3,22.7,14.5,22.5,22.5,350.0,22.5,14.4,404.2,291.6,22.5,14.2,342.3,22.5
51,2.13,577096.9,102.5,799062.5,760257.3,862597.9,801630.8,158.9,358.6,662847.8,799033.8,112.1,217.6,798696.1,14884.0,316.8,20799.2,19804.4,94310.0,20794.2,47.2,80772.4,69732.1,20715.0,50.0,90474.4,20803.3,10593.7,12.5,9110.5,8668.6,6342.9,9143.1,14.0,10.2,8166.9,9109.2,12.1,10.1,9106.3,212.9,20.8,245.8,234.9,768.3,246.1,13.9,2043.1,900.5,244.7,13.8,2295.8,246.1,202.9,12.5,230.9,225.6,818.1,231.2,12.4,1819.1,885.7,230.7,12.3,1853.5,230.9
52,2.52,54364.0,38.8,60131.1,58759.8,####,60134.2,39.2,379.9,####,60132.6,39.4,179.7,60116.2,1258.5,162.0,1391.5,1363.4,####,1391.5,32.2,23428.2,####,1391.5,31.6,11247.8,1394.2,2157.2,15.0,2018.6,1972.9,####,2018.7,15.1,24.8,####,2018.6,14.9,25.6,2018.1,66.9,26.0,64.7,63.8,####,64.7,18.8,1303.3,####,64.7,18.5,657.9,64.9,59.0,16.5,59.2,58.5,####,59.2,16.5,1351.5,####,59.2,16.4,79.4,59.2
53,1.96,535613.2,123.1,724756.3,697993.3,871949.7,727859.4,216.3,329.3,4001.3,724272.1,127.8,296.3,724069.4,12415.1,684.2,17016.4,16413.2,90851.6,17043.3,54.2,59383.1,9235.4,17004.8,61.0,92668.9,17024.2,9707.5,12.1,8533.2,8218.5,6389.6,8572.2,14.4,12.8,228.2,8527.6,11.4,15.7,8525.2,188.0,25.2,213.3,206.4,751.9,213.9,13.1,1140.0,589.4,213.2,12.9,1786.0,213.6,178.3,12.1,215.0,209.6,861.4,215.5,11.9,139.1,589.4,214.9,11.7,693.4,214.9
54,2.62,53453.8,44.7,57565.6,56727.4,####,57569.0,47.4,118.8,31145.3,57568.7,47.8,74.5,57547.8,1126.0,507.8,1200.8,1190.7,####,1200.9,41.2,34787.0,3154.6,1200.8,39.4,19262.2,1207.4,2149.4,14.9,1990.0,1961.3,####,1990.2,15.0,13.7,1442.5,1990.2,14.8,19.9,1989.4,62.3,40.3,59.5,59.3,####,59.6,18.7,1630.6,232.4,59.5,18.1,930.9,59.9,52.6,16.1,52.4,52.0,####,52.4,15.9,1258.6,232.4,52.4,15.7,294.0,52.4
55,2.06,535033.8,157.4,706248.5,691141.6,488290.5,708772.3,272.3,550.0,445645.6,706021.6,161.6,419.1,705502.7,12197.9,1417.2,16178.7,15862.9,61779.4,16188.7,48.7,87273.1,51326.2,16115.2,65.8,128834.9,16191.2,9649.3,12.2,8701.0,8515.1,4578.3,8733.0,15.0,15.5,7218.5,8696.4,11.2,14.0,8691.9,215.9,40.6,221.7,217.8,644.1,221.9,12.5,1593.7,894.3,220.6,12.4,2354.9,222.1,190.9,11.4,223.4,220.7,690.0,223.8,11.3,371.7,953.9,223.3,11.0,2029.4,223.4
56,4.15,53407.8,55.3,55710.5,55220.1,####,55713.7,58.9,181.4,9860.5,55711.7,56.4,114.1,55696.2,1101.4,512.4,1156.7,1151.0,####,1156.7,33.8,21664.1,3524.1,1156.6,32.8,15815.1,1160.6,2166.7,15.0,1945.1,1928.1,####,1945.2,15.4,15.8,339.8,1945.1,14.9,19.3,1944.6,60.3,43.0,57.1,57.0,####,57.1,18.6,1118.8,167.1,57.1,18.1,835.5,57.4,50.5,16.0,49.8,49.5,####,49.8,15.9,955.6,167.1,49.8,15.6,727.2,49.8
57,2.54,454251.2,126.3,624453.4,549181.2,670855.1,634667.4,222.3,211.8,131958.8,611853.8,71.9,197.0,609942.4,10417.8,1274.5,14036.6,12497.9,78513.7,14207.2,38.1,58159.4,78030.4,13734.0,29.1,59082.1,13877.6,8185.7,15.9,7604.4,6689.5,4992.7,7730.4,19.0,15.7,2442.1,7451.5,12.7,15.2,7428.3,226.7,61.8,206.9,189.4,759.1,209.3,16.3,2057.2,1511.1,202.7,15.6,2090.0,208.6,150.8,15.0,210.3,183.8,691.2,213.2,14.7,1829.7,1016.8,206.4,14.1,1842.8,207.0
58,3.56,46551.6,62.0,48485.2,48241.8,23782.3,48493.2,86.6,134.8,22102.9,48496.8,119.9,135.6,48471.9,943.3,1806.1,959.1,963.4,24398.3,958.1,15.8,18788.9,25409.8,958.1,21.4,18863.5,967.9,1902.2,16.5,1747.4,1738.7,628.8,1747.7,18.0,17.5,596.2,1747.8,18.7,16.7,1746.9,57.2,120.1,53.4,53.7,935.6,53.4,18.7,1075.6,1027.3,53.4,18.8,1079.9,53.9,46.0,17.5,45.0,44.9,896.6,45.0,16.2,938.7,978.5,45.0,16.2,931.0,45.0
59,2.60,440209.2,159.2,602582.8,513987.0,1178209.3,568140.6,64.8,179.9,56142.9,616590.9,312.7,141.2,611420.6,11987.8,2565.4,15956.2,13986.9,105188.6,14901.7,91.2,57958.7,38552.7,16261.9,55.7,60744.8,16629.3,7866.5,18.8,7277.8,6210.3,7223.3,6871.4,15.7,15.6,1357.4,7446.4,21.0,14.2,7384.3,262.3,113.2,231.9,214.5,848.4,218.3,20.8,2035.2,1248.2,236.1,17.8,2128.0,251.8,185.0,16.6,236.4,202.7,886.1,224.5,18.4,1810.5,943.5,240.6,15.4,1862.5,242.0
60,5.27,42251.1,115.9,44458.6,44291.9,17566.5,44473.1,198.7,129.0,16960.4,44472.0,210.5,112.3,44427.9,824.7,4514.0,852.0,865.8,14805.7,850.6,19.7,18456.8,14544.3,850.5,26.9,18534.8,868.4,1777.9,18.1,1629.8,1623.8,635.6,1630.3,22.5,16.8,648.3,1630.3,21.4,15.5,1628.7,52.5,261.0,48.5,49.3,630.4,48.5,17.9,1014.3,709.7,48.5,18.0,1012.9,49.4,40.9,19.8,39.8,39.8,489.5,39.8,15.5,884.8,527.4,39.8,15.7,885.5,39.9
61,3.18,293852.8,141.5,418006.3,300329.3,549100.1,435428.2,229.1,168.7,229945.9,446276.1,353.6,140.1,436571.9,8260.0,2390.4,10783.4,8419.8,62922.1,11005.0,38.8,52081.8,36875.9,11288.5,53.1,53663.9,12219.8,5289.9,19.5,5454.2,3923.7,4358.9,5683.4,23.2,15.9,6767.4,5814.0,23.6,14.9,5695.0,236.0,128.8,190.5,173.1,807.9,195.2,19.5,2167.3,1261.4,198.7,19.0,2233.8,243.1,42.8,17.5,78.4,38.0,621.2,109.4,16.9,1907.8,1211.0,139.2,16.3,1948.3,162.8
62,5.92,44159.7,149.5,45730.5,45549.1,23516.3,45760.4,365.0,136.0,22010.4,45757.3,361.4,98.1,45661.0,651.3,6726.8,624.1,648.4,15841.6,620.0,-12.5,14130.2,14524.4,619.5,-7.4,14058.3,650.0,1801.7,19.8,1671.0,1664.4,814.8,1672.1,30.1,19.7,791.5,1672.0,27.7,15.8,1668.5,47.7,439.1,42.3,43.8,711.2,42.0,16.5,905.5,772.8,42.0,16.4,895.0,43.9,35.3,36.4,34.2,34.2,600.3,34.2,14.3,788.0,616.0,34.2,14.2,786.5,34.2
