Number,Time,OD600,Sample,Dilution_Factor
1,2020-10-2 9:55:19,0.013,MG,
2,2020-10-2 9:56:39,0.013,NCM,
3,2020-10-2 10:43:02,0.031,MG,
4,2020-10-2 10:45:07,0.045,NCM,
5,2020-10-2 10:55:42,0.04,MG,
6,2020-10-2 10:57:59,0.066,NCM,
7,2020-10-2 11:22:29,0.068,MG,
8,2020-10-2 11:26:42,0.155,NCM,
9,2020-10-2 11:53:14,0.124,MG,
10,2020-10-2 12:01:25,0.0292,NCM,16
11,2020-10-2 12:47:05,0.025,MG,16
12,2020-10-2 12:52:13,0.121,NCM,
13,2020-10-2 13:04:27,0.035,MG,
14,2020-10-2 13:08:48,0.1987,NCM,
15,2020-10-2 13:55:23,0.094,MG,
16,2020-10-2 13:58:43,0.05583,NCM,16
17,2020-10-2 14:18:54,0.135,MG,
18,2020-10-2 14:21:38,0.111,NCM,
19,2020-10-2 14:31:56,0.18,MG,
20,2020-10-2 14:37:34,0.163,NCM,
21,2020-10-2 14:51:34,0.0167,MG,16
22,2020-10-2 14:49:43,0.0155,NCM,16
23,2020-10-2 15:02:58,0.0216,MG,
24,2020-10-2 15:05:10,0.0237,NCM,
25,2020-10-2 15:19:21,0.0297,MG,
26,2020-10-2 15:21:35,0.038,NCM,
27,2020-10-2 15:50:20,0.0443,MG,
28,2020-10-2 15:52:54,0.0825,NCM,
29,2020-10-2 16:40:03,0.078,MG,
30,2020-10-2 16:42:49,0.1496,NCM,
31,2020-10-2 17:07:15,0.0991,MG,
32,2020-10-2 17:09:47,0.187,NCM,
33,2020-10-2 18:00:45,0.131,MG,
34,2020-10-2 18:03:51,0.0207,NCM,16
35,2020-10-2 19:02:13,0.151,MG,
36,2020-10-2 19:06:59,0.0417,NCM,
37,2020-10-2 19:50:37,0.16,MG,
38,2020-10-2 19:55:40,0.0637,NCM,
39,2020-10-2 20:51:51,0.0132,MG,16
40,2020-10-2 20:56:02,0.115,NCM,
41,2020-10-2 21:49:26,0.0178,MG,
42,2020-10-2 21:46:46,0.186,NCM,
43,2020-10-2 22:34:04,0.022,MG,
44,2020-10-2 22:37:12,0.0282,NCM,16
45,2020-10-2 23:44:24,0.027,MG,
46,2020-10-2 23:49:04,0.163,NCM,
47,2020-10-3 0:31:01,0.0324,MG,
48,2020-10-3 0:34:07,0.0379,NCM,16
49,2020-10-3 9:45:53,0.0208,MG,2
50,2020-10-3 9:50:06,0.83,NCM,8.5
# 51,2020-10-3 11:05:32,0.0268,MG,
52,2020-10-3 11:12:44,0.0097,NCM,167.6667
53,2020-10-3 12:44:49,0.0212,MG,
54,2020-10-3 12:48:36,0.0166,NCM,
55,2020-10-3 13:28:15,0.0213,MG,
56,2020-10-3 13:30:30,0.0202,NCM,
57,2020-10-3 15:59:10,0.0219,MG,
58,2020-10-3 16:01:10,0.0454,NCM,
59,2020-10-3 17:40:44,0.0232,MG,
60,2020-10-3 17:43:11,0.0849,NCM,
61,2020-10-3 19:52:12,0.0282,MG,
62,2020-10-3 19:57:22,0.207,NCM,
