Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,P3 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,P3 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,P3 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,P3 Mean FITC-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,P2 Mean FSC-A,P3 Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,V1L Mean SSC-A,V1R Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,P2 Mean SSC-A,P3 Mean SSC-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,V1L Mean FSC-Width,V1R Mean FSC-Width,H1-UR Mean FSC-Width,H1-UL Mean FSC-Width,H1-LL Mean FSC-Width,H1-LR Mean FSC-Width,P2 Mean FSC-Width,P3 Mean FSC-Width,All Events  Mean Time,P1 Mean Time,V1L Mean Time,V1R Mean Time,H1-UR Mean Time,H1-UL Mean Time,H1-LL Mean Time,H1-LR Mean Time,P2 Mean Time,P3 Mean Time,All Events  CV FITC-A,P1 CV FITC-A,V1L CV FITC-A,V1R CV FITC-A,H1-UR CV FITC-A,H1-UL CV FITC-A,H1-LL CV FITC-A,H1-LR CV FITC-A,P2 CV FITC-A,P3 CV FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A,P3 rCV FITC-A
01-Well-A11,1,,200000,176563,1283,175280,0,0,864,119907,192738,120771,100.00%,88.28%,0.64%,87.64%,0.00%,0.00%,0.43%,59.95%,96.37%,60.39%,100.00%,88.28%,0.73%,99.27%,0.00%,0.00%,0.72%,99.28%,96.37%,68.40%,69368.7,70599.6,2724.5,71096.4,####,####,2835.1,64713.4,69637.9,64270.8,11589.5,11633.9,10422.2,11642.8,####,####,10340.3,11153.5,11611.9,11147.7,10495.5,10485.1,9538.7,10492,####,####,9167.4,9569.3,10457.3,9566.4,660.5,669.2,657.2,669.3,####,####,665,662.9,660.8,662.9,204947.6,201970.9,190371,202055.8,####,####,197647.4,202191.9,212355.4,202159.4,55.84%,47.74%,149.00%,46.86%,####,####,144.77%,31.02%,55.97%,32.17%,38.36%,36.57%,119.97%,36.28%,####,####,119.42%,30.48%,38.39%,30.73%
01-Well-A12,1,,200000,180031,1130,178901,0,0,698,123078,198120,123776,100.00%,90.02%,0.57%,89.45%,0.00%,0.00%,0.35%,61.54%,99.06%,61.89%,100.00%,90.02%,0.63%,99.37%,0.00%,0.00%,0.56%,99.44%,99.06%,68.75%,68288.8,70102.5,2725.6,70528,####,####,2874.4,66887,68462,66526.1,11682.6,11898.7,10588,11906.9,####,####,10695.3,11701.2,11686.4,11695.6,9914.6,9690.1,8464.7,9697.9,####,####,8520.5,9440.3,9889.4,9435.1,670.1,677.7,654.4,677.9,####,####,665.5,669.9,670.2,669.9,311772.3,311868.1,268280.1,312143.4,####,####,281643.3,307454.5,314638.7,307308.9,58.43%,47.40%,149.49%,46.64%,####,####,148.79%,32.67%,58.39%,33.54%,37.87%,36.24%,116.48%,36.01%,####,####,112.42%,31.45%,37.82%,31.67%
01-Well-B1,1,,200000,171021,1880,169141,0,0,1355,109432,192466,110787,100.00%,85.51%,0.94%,84.57%,0.00%,0.00%,0.68%,54.72%,96.23%,55.39%,100.00%,85.51%,1.10%,98.90%,0.00%,0.00%,1.22%,98.78%,96.23%,64.78%,118086.4,121934.1,2644.8,123260,####,####,2829,113595.8,118818.6,112241,10758,10985.8,10373.3,10992.6,####,####,10372.6,10701.7,10781.9,10697.7,9352.5,9568.5,8927.9,9575.6,####,####,8547,8928.8,9291.7,8924.2,655.4,667.3,657.3,667.4,####,####,662.2,659.6,655.7,659.7,181551.1,178913.3,166363.9,179052.8,####,####,174238.5,177887.6,188310.1,177843,61.77%,54.45%,145.40%,53.18%,####,####,144.17%,37.89%,61.79%,39.63%,43.54%,42.29%,121.41%,41.76%,####,####,120.43%,35.66%,43.56%,36.16%
01-Well-B2,1,,200000,176917,1623,175294,0,0,1071,118966,195415,120037,100.00%,88.46%,0.81%,87.65%,0.00%,0.00%,0.54%,59.48%,97.71%,60.02%,100.00%,88.46%,0.92%,99.08%,0.00%,0.00%,0.89%,99.11%,97.71%,67.85%,81609.3,83608.5,3739.5,84347.9,####,####,4085,78279.2,81945,77617.2,11617.1,11724.8,10511.4,11736.1,####,####,10588.2,11396.9,11634.9,11389.7,10524.8,10468.1,9573.8,10476.4,####,####,9368.9,9878.7,10509.7,9874.1,669.3,679.5,662.6,679.7,####,####,667.4,669,669.5,668.9,227006.2,224763.9,207492.1,224923.8,####,####,215505.2,223199.2,232140.3,223130.5,62.02%,56.92%,115.60%,55.93%,####,####,112.31%,44.24%,61.99%,45.32%,50.46%,48.75%,127.73%,48.23%,####,####,123.11%,42.93%,50.46%,43.40%
01-Well-B3,1,,200000,178774,893,177881,0,0,435,118540,198590,118975,100.00%,89.39%,0.45%,88.94%,0.00%,0.00%,0.22%,59.27%,99.30%,59.49%,100.00%,89.39%,0.50%,99.50%,0.00%,0.00%,0.37%,99.63%,99.30%,66.55%,149052.7,151611.4,1264.5,152366.2,####,####,1463.5,149198,149337.7,148657.8,12416.4,12074.8,11605.5,12077.2,####,####,10809.8,12060.2,12427.3,12055.6,11101.9,10951.3,11799.8,10947.1,####,####,11374.7,11024.7,11095.2,11026,689.8,700.2,719.5,700.1,####,####,693.1,685.9,689.9,685.9,472828,474520.6,328295.5,475254.7,####,####,365029.9,475838.3,476120.3,475433.1,52.57%,44.41%,199.71%,43.75%,####,####,195.90%,30.60%,52.49%,31.23%,36.80%,34.89%,110.15%,34.69%,####,####,99.24%,30.14%,36.77%,30.27%
01-Well-B4,1,,200000,175654,26272,149382,0,0,16447,96272,194265,112719,100.00%,87.83%,13.14%,74.69%,0.00%,0.00%,8.22%,48.14%,97.13%,56.36%,100.00%,87.83%,14.96%,85.04%,0.00%,0.00%,14.59%,85.41%,97.13%,64.17%,23901.4,24484.3,13016.3,26501.2,####,####,14058.1,25206.6,23988.5,23579.9,11888.5,11990.2,8433,12615.8,####,####,9066,12398.8,11905.4,11912.5,10398.9,10469.4,6963.9,11086,####,####,7947.7,10806.9,10368.5,10389.7,684,694,638.9,703.7,####,####,651.8,684.1,684.2,679.4,233179,231368.2,209806,235160.4,####,####,212096.6,234177.3,239803.9,230955.5,56.62%,47.84%,21.45%,43.48%,####,####,18.91%,30.24%,56.65%,34.49%,35.15%,33.73%,12.66%,29.01%,####,####,11.56%,24.62%,35.17%,29.01%
01-Well-B5,1,,200000,176806,165397,11409,0,0,106600,6994,194968,113594,100.00%,88.40%,82.70%,5.70%,0.00%,0.00%,53.30%,3.50%,97.48%,56.80%,100.00%,88.40%,93.55%,6.45%,0.00%,0.00%,93.84%,6.16%,97.48%,64.25%,4302.2,4420.4,2591.7,30931.7,####,####,2496.1,31289.5,4307,4268.9,11632.3,11771.9,11694.1,12899.3,####,####,11695.1,12032.6,11643.2,11715.9,10403.3,10487.6,10401.6,11733.8,####,####,10360.9,10678.3,10382.2,10380.5,677.2,687.4,685.6,714.1,####,####,676,678.9,677.2,676.2,234801.8,232464.3,232289.8,234994.7,####,####,232897.5,234961.7,240638.4,233024.6,187.39%,180.10%,59.11%,45.35%,####,####,48.33%,42.24%,187.23%,181.49%,47.62%,45.00%,41.93%,32.62%,####,####,36.08%,29.60%,47.73%,38.48%
01-Well-B6,1,,200000,178996,1575,177421,0,0,915,120433,195578,121348,100.00%,89.50%,0.79%,88.71%,0.00%,0.00%,0.46%,60.22%,97.79%,60.67%,100.00%,89.50%,0.88%,99.12%,0.00%,0.00%,0.75%,99.25%,97.79%,67.79%,66278.7,68329.5,2896.9,68910.4,####,####,3257.1,66930.3,66468.8,66450.2,12567.4,11673,10888.9,11680,####,####,10821.8,11662,12600.4,11655.7,13930.3,10659.1,10591.2,10659.7,####,####,10468.5,10611.2,13987.6,10610.1,678.1,688.1,681,688.1,####,####,683.6,677.4,678.3,677.4,259723.3,257981.4,238110.1,258157.8,####,####,232517.7,255197.5,265399.4,255026.5,52.36%,43.65%,142.98%,42.53%,####,####,132.70%,30.47%,52.35%,31.68%,34.95%,33.15%,134.16%,32.82%,####,####,125.27%,28.82%,34.93%,29.11%
01-Well-B7,1,,200000,179819,29926,149893,0,0,19952,101004,196418,120956,100.00%,89.91%,14.96%,74.95%,0.00%,0.00%,9.98%,50.50%,98.21%,60.48%,100.00%,89.91%,16.64%,83.36%,0.00%,0.00%,16.50%,83.50%,98.21%,67.27%,23842,24337.8,12886.9,26623.9,####,####,13888.6,25185.6,23910.3,23322.1,11563.4,11651.6,8159.5,12348.8,####,####,8799.8,12070.1,11579.2,11530.6,10604.1,10651.2,7043.5,11371.4,####,####,7902.7,10908.8,10591.5,10413,676.4,685.7,634.9,695.8,####,####,649.9,680.8,676.5,675.7,258049.3,256138.5,238270.4,259705.8,####,####,244779.7,259001.4,262595.8,256655.5,55.16%,46.72%,21.96%,41.50%,####,####,19.72%,27.57%,55.15%,32.96%,37.23%,35.66%,13.41%,30.05%,####,####,12.53%,25.16%,37.21%,30.41%
01-Well-B8,1,,9561,3226,1398,1828,0,0,581,991,5924,1572,100.00%,33.74%,14.62%,19.12%,0.00%,0.00%,6.08%,10.37%,61.96%,16.44%,100.00%,33.74%,43.34%,56.66%,0.00%,0.00%,36.96%,63.04%,61.96%,48.73%,6520.9,17319.6,5249.3,26550.5,####,####,6166.4,28102.9,5510.8,19995.3,14731.1,13017.6,12508.5,13407,####,####,11648.2,13816.8,16935.4,13015.3,30209.9,10356.5,10068.3,10577,####,####,10517.2,11929.9,35258.8,11407.8,643,747.5,748.4,746.8,####,####,706.7,722.3,636.2,716.5,2217841,2899538.8,2737715.8,3023296.3,####,####,2577405.5,2776043,757956.8,2702628,201.07%,93.59%,109.78%,58.56%,####,####,100.37%,57.60%,240.40%,85.38%,193.64%,68.62%,151.65%,28.26%,####,####,145.22%,26.83%,187.45%,54.72%
