Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A
01-Well-B1,1,,200000,191787,5677,194323,10,3,14281,111353,125647,100.00%,95.89%,2.84%,97.16%,0.00%,0.00%,7.14%,55.68%,62.82%,100.00%,95.89%,2.84%,97.16%,0.01%,0.00%,11.37%,88.62%,62.82%,24897.1,25455.7,1000.6,25595.3,38925,5991.9,10403.5,28090.7,26080.7,42.76%,41.78%,188.39%,41.40%,56.87%,12.82%,16.89%,37.33%,41.99%
01-Well-B2,1,,200000,193648,5818,194182,5,6,2081,103306,105398,100.00%,96.82%,2.91%,97.09%,0.00%,0.00%,1.04%,51.65%,52.70%,100.00%,96.82%,2.91%,97.09%,0.00%,0.01%,1.97%,98.02%,52.70%,23778.9,24265.5,1235.5,24454.3,256887,3173.3,1710.9,25306.6,24850.4,38.87%,37.88%,179.65%,37.59%,108.17%,42.54%,135.41%,37.66%,38.58%
01-Well-B3,1,,200000,192232,5107,194893,3,2,2137,95779,97921,100.00%,96.12%,2.55%,97.45%,0.00%,0.00%,1.07%,47.89%,48.96%,100.00%,96.12%,2.55%,97.45%,0.00%,0.00%,2.18%,97.81%,48.96%,170070.5,174339.5,475,174514.6,25173.8,8977.4,1245.6,180363,176445.8,42.36%,41.19%,166.65%,41.04%,9.67%,68.49%,154.84%,41.41%,42.49%
01-Well-B4,1,,200000,189060,198656,1344,1,5,115067,76,115149,100.00%,94.53%,99.33%,0.67%,0.00%,0.00%,57.53%,0.04%,57.57%,100.00%,94.53%,99.33%,0.67%,0.00%,0.00%,99.93%,0.07%,57.57%,1383.3,1420.7,1251.8,20831.7,27106.7,8073.5,1302.2,97043.2,1365.9,52.93%,51.28%,52.63%,20.59%,0.00%,90.50%,53.94%,100.09%,53.97%
01-Well-B5,1,,200000,193210,6038,193962,3,6,2993,111872,114874,100.00%,96.61%,3.02%,96.98%,0.00%,0.00%,1.50%,55.94%,57.44%,100.00%,96.61%,3.02%,96.98%,0.00%,0.01%,2.61%,97.39%,57.44%,159297.9,163348.9,325,164246.7,84862.9,5513.9,1282.8,169167.4,164782.5,39.57%,38.24%,157.14%,38.03%,48.20%,57.23%,143.83%,37.68%,38.96%
01-Well-B6,1,,200000,189314,2955,197045,3,1,997,59080,60081,100.00%,94.66%,1.48%,98.52%,0.00%,0.00%,0.50%,29.54%,30.04%,100.00%,94.66%,1.48%,98.52%,0.00%,0.00%,1.66%,98.33%,30.04%,37573.6,38503.7,606.9,38128,69454.3,8822,5427.3,40853.6,40266.6,40.04%,39.06%,180.52%,39.38%,70.21%,0.00%,148.58%,40.24%,40.97%
01-Well-B7,1,,200000,193662,4489,195511,7,2,2749,125522,128280,100.00%,96.83%,2.24%,97.76%,0.00%,0.00%,1.37%,62.76%,64.14%,100.00%,96.83%,2.24%,97.76%,0.01%,0.00%,2.14%,97.85%,64.14%,80426.2,82332,446.6,82262.6,73572.6,3952.9,5482.9,85576.9,83858.6,35.97%,34.82%,203.27%,34.96%,47.23%,5.66%,142.06%,34.43%,35.35%
01-Well-B8,2,,200000,192568,154239,45761,4,10,144677,1547,146238,100.00%,96.28%,77.12%,22.88%,0.00%,0.00%,72.34%,0.77%,73.12%,100.00%,96.28%,77.12%,22.88%,0.00%,0.01%,98.93%,1.06%,73.12%,4633.3,4754.3,2268.3,12604.7,39189.8,4124.5,4486.9,29699.1,4754.5,50.68%,49.23%,38.03%,44.42%,42.26%,86.18%,50.03%,13.65%,50.76%
01-Well-B9,1,,200000,193811,5195,194805,6,11,4151,102467,106635,100.00%,96.91%,2.60%,97.40%,0.00%,0.01%,2.08%,51.23%,53.32%,100.00%,96.91%,2.60%,97.40%,0.01%,0.01%,3.89%,96.09%,53.32%,31837.2,32485.2,1193.2,32654.4,1095442.9,5059.1,5397.5,33951.7,32896.9,36.33%,35.30%,194.02%,35.18%,61.95%,70.92%,137.26%,34.62%,36.25%
01-Well-B10,1,,200000,192241,153131,46869,0,2,94422,334,94758,100.00%,96.12%,76.57%,23.43%,0.00%,0.00%,47.21%,0.17%,47.38%,100.00%,96.12%,76.57%,23.43%,0.00%,0.00%,99.65%,0.35%,47.38%,3735.2,3814.5,2816.7,6736.4,####,9346.2,3728.4,29189,3818.3,45.17%,44.05%,35.92%,20.93%,####,48.36%,46.20%,13.10%,46.38%
01-Well-B11,1,,200000,192677,7195,192805,10,5,3679,148506,152200,100.00%,96.34%,3.60%,96.40%,0.00%,0.00%,1.84%,74.25%,76.10%,100.00%,96.34%,3.60%,96.40%,0.01%,0.00%,2.42%,97.57%,76.10%,236865.3,243648.8,478.4,245686.6,2304095.3,5930.1,1101,252834.5,246876.2,38.52%,36.97%,155.74%,36.69%,88.52%,58.01%,131.65%,36.41%,37.58%
01-Well-B12,1,,200000,176857,199889,111,1,2,76098,5,76106,100.00%,88.43%,99.94%,0.06%,0.00%,0.00%,38.05%,0.00%,38.05%,100.00%,88.43%,99.94%,0.06%,0.00%,0.00%,99.99%,0.01%,38.05%,315.4,322.2,294.4,38195.8,396628.3,2876.1,287.2,27352.8,294.3,98.40%,93.03%,98.38%,66.91%,0.00%,55.04%,110.79%,37.66%,110.85%
01-Well-C1,1,,200000,192184,4284,195716,4,1,1467,103892,105364,100.00%,96.09%,2.14%,97.86%,0.00%,0.00%,0.73%,51.95%,52.68%,100.00%,96.09%,2.14%,97.86%,0.00%,0.00%,1.39%,98.60%,52.68%,110888.1,113358.6,462.2,113305.2,33949.2,5893.7,2700.3,119255.7,117628.6,42.79%,41.75%,189.37%,41.69%,29.23%,0.00%,157.57%,42.18%,42.82%
01-Well-C2,1,,200000,192820,5483,194517,5,4,4513,91615,96137,100.00%,96.41%,2.74%,97.26%,0.00%,0.00%,2.26%,45.81%,48.07%,100.00%,96.41%,2.74%,97.26%,0.01%,0.00%,4.69%,95.30%,48.07%,29355.7,30005.2,1079.9,30152.7,31241,6650.1,7045.7,32273.4,31088,38.34%,37.34%,193.01%,37.13%,58.45%,95.45%,116.67%,36.98%,39.01%
01-Well-C3,1,,200000,188227,198909,1091,4,3,102448,132,102587,100.00%,94.11%,99.45%,0.55%,0.00%,0.00%,51.22%,0.07%,51.29%,100.00%,94.11%,99.45%,0.55%,0.00%,0.00%,99.86%,0.13%,51.29%,1205.3,1239.2,1005.3,37659,34575,3025.4,1061.7,72114.5,1154.5,55.98%,53.71%,55.71%,108.09%,26.44%,12.77%,59.57%,83.55%,59.66%
01-Well-C4,1,,200000,194125,3533,196467,1,2,1262,99797,101062,100.00%,97.06%,1.77%,98.23%,0.00%,0.00%,0.63%,49.90%,50.53%,100.00%,97.06%,1.77%,98.23%,0.00%,0.00%,1.25%,98.75%,50.53%,110811.2,112943,490.3,112795.1,33332.5,4228.8,3061.5,117756.2,116320.9,39.87%,38.94%,182.25%,39.00%,0.00%,2.63%,154.94%,39.01%,39.57%
