Experiment Name:,Exp_20201004__down_shift_RDM_Gly_MOPS_gly

Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P1 AND NOT(H2-LL) Mean FSC-A
11,0.54,19267.3,263.3,19613.9,19423.1,####,19598.1,166.8,74.1,####,19617.9,360.3,71.9,19614.6,476.0,460.6,471.9,471.8,####,471.6,60.9,20900.5,####,472.0,67.7,23267.9,475.9,332.4,12.1,315.3,312.3,####,315.0,10.6,6.3,####,315.4,12.5,6.6,315.3,14.7,17.6,13.8,13.9,####,13.8,11.5,347.0,####,13.8,11.1,385.1,13.9,40912.4,35445.8,40963.1,40908.7,####,40964.8,34524.2,44813.3,####,40950.5,36787.8,38424.8,40950.1
12,1.12,5842.8,219.3,6023.0,6001.0,824.8,6024.8,261.1,150.3,####,6027.6,377.9,####,6027.6,143.4,60.2,140.8,140.5,1484.4,140.9,56.2,1605.4,####,140.9,68.2,####,140.9,92.4,6.8,84.5,84.2,15.5,84.5,7.3,1.3,####,84.6,8.1,####,84.6,7.7,6.3,6.8,6.8,26.4,6.8,6.2,10.7,####,6.8,6.1,####,6.8,53874.1,47266.3,47653.0,47651.5,37437.4,47652.8,47212.7,115236.7,####,47643.9,49265.4,####,47643.9
13,1.06,16709.6,219.3,17177.5,17027.4,5262.6,17167.2,139.9,61.8,####,17181.6,365.4,78.6,17178.9,386.6,417.0,318.1,319.0,9492.0,317.9,118.1,4937.3,####,318.1,238.5,10861.3,319.7,311.8,13.0,306.2,303.6,40.8,306.1,11.7,8.0,####,306.3,14.1,9.4,306.3,15.4,25.5,13.2,13.3,70.9,13.2,16.1,174.5,####,13.2,17.9,427.5,13.3,42928.0,28010.3,36304.2,36230.8,123836.4,36304.4,27019.1,29923.6,####,36292.9,29638.0,23062.0,36290.8
14,0.92,5053.0,1051.5,5423.3,5345.6,####,5387.4,175.2,58.5,####,5394.1,402.1,####,5394.1,123.4,65.3,107.0,106.2,####,106.5,70.6,1516.8,####,106.6,73.2,####,106.6,85.5,26.7,86.1,85.1,####,85.7,8.8,3.4,####,85.8,11.2,####,85.8,8.6,9.0,7.2,7.2,####,7.2,10.1,29.4,####,7.2,9.5,####,7.2,49040.5,31273.5,41559.9,41377.1,####,41451.4,32123.9,48424.0,####,41442.4,34721.2,####,41442.4
15,0.60,15151.3,100.7,15659.1,15254.6,####,15652.4,75.9,157.1,####,15656.3,94.1,126.0,15653.1,344.1,186.8,318.0,314.6,####,317.9,57.4,10516.4,####,318.0,72.8,14568.9,321.0,291.1,11.9,295.5,288.1,####,295.4,11.2,10.7,####,295.4,11.3,9.1,295.4,14.4,16.9,13.5,13.6,####,13.5,13.8,274.2,####,13.5,14.1,370.2,13.6,37905.4,24079.1,34142.0,33880.4,####,34142.5,23796.6,30646.9,####,34134.0,24267.3,29796.9,34133.1
16,0.44,5822.5,148.3,5995.1,5973.4,####,6004.8,266.4,####,####,6007.4,353.8,####,6007.4,145.7,59.0,137.3,137.0,####,137.4,61.3,####,####,137.5,61.3,####,137.5,98.6,7.4,95.0,94.7,####,95.2,8.4,####,####,95.2,9.3,####,95.2,8.3,8.0,7.5,7.5,####,7.5,7.4,####,####,7.5,7.2,####,7.5,42991.1,37925.0,41970.2,41955.1,####,41961.1,40870.4,####,####,41956.8,41672.4,####,41956.8
17,0.51,18378.1,105.8,18407.9,18185.4,####,18403.8,81.9,74.7,####,18406.9,105.7,81.8,18404.4,323.0,193.0,315.8,314.3,####,315.7,49.4,9954.3,####,315.8,61.3,11835.4,317.4,338.3,11.3,335.2,331.2,####,335.1,10.8,7.5,####,335.1,11.0,8.8,335.1,13.9,16.8,13.3,13.3,####,13.3,12.9,293.3,####,13.3,13.0,354.9,13.3,37936.2,29001.6,35666.2,35585.2,####,35670.3,28452.1,33792.8,####,35662.5,29335.1,24406.4,35660.9
18,0.82,5844.3,164.4,5893.7,5873.5,####,5900.0,257.0,####,####,5901.8,322.3,####,5901.8,107.8,36.0,107.5,107.2,####,107.6,40.0,####,####,107.6,39.1,####,107.6,117.6,8.7,114.8,114.4,####,114.9,9.9,####,####,115.0,10.6,####,115.0,9.0,8.4,8.7,8.7,####,8.7,8.2,####,####,8.7,8.0,####,8.7,32788.9,31839.0,32971.7,32967.7,####,32969.8,32537.4,####,####,32966.9,33120.5,####,32966.9
19,0.49,21334.8,76.7,19115.3,18986.9,####,19126.2,112.3,123.5,####,19123.5,117.4,126.4,19118.3,256.5,330.6,222.1,222.8,####,220.8,44.7,11451.3,####,220.8,51.3,11782.0,224.0,411.4,10.8,401.6,399.0,####,401.8,11.3,9.7,####,401.8,10.8,9.8,401.7,14.3,27.1,13.6,13.7,####,13.6,13.1,389.2,####,13.6,13.0,400.0,13.7,34221.6,21744.2,30325.4,30267.5,####,30321.3,22779.9,27795.9,####,30314.7,23570.2,28007.1,30314.1
20,1.64,7475.4,102.8,7370.9,7339.8,####,7377.4,183.6,####,####,7377.9,205.8,####,7377.9,62.6,14.2,60.3,60.1,####,60.3,15.6,####,####,60.3,14.9,####,60.3,260.4,12.4,260.0,259.0,####,260.3,15.0,####,####,260.3,14.9,####,260.3,13.6,12.7,13.5,13.5,####,13.5,12.7,####,####,13.5,12.4,####,13.5,17171.3,16131.0,16735.7,16733.1,####,16736.2,16143.0,####,####,16734.3,16522.3,####,16734.3
21,0.63,23941.0,53.5,23176.7,23051.7,####,23186.2,89.5,79.7,####,23192.1,160.7,79.7,23187.1,311.0,561.8,296.8,298.2,####,296.9,29.7,13590.6,####,296.9,30.6,13590.6,299.8,641.2,14.2,639.3,635.9,####,639.5,15.8,11.8,####,639.7,17.3,11.8,639.5,19.7,36.3,19.4,19.5,####,19.4,16.7,513.6,####,19.4,16.4,513.6,19.5,22353.5,15540.7,21303.7,21272.5,####,21305.7,15528.0,17659.0,####,21304.0,16078.7,17659.0,21303.2
22,2.33,10402.1,100.9,10380.1,10331.2,####,10392.9,198.3,####,####,10393.0,208.3,####,10393.0,115.7,12.7,114.8,114.3,####,114.9,16.6,####,####,114.9,17.8,####,114.9,417.1,13.9,416.6,414.7,####,417.1,18.4,####,####,417.1,17.8,####,417.1,17.3,14.1,17.1,17.1,####,17.1,14.5,####,####,17.1,14.3,####,17.1,14282.5,13431.2,14102.2,14099.1,####,14104.4,13213.9,####,####,14103.1,13443.3,####,14103.1
23,0.84,27973.0,73.2,26938.4,26824.3,####,26952.2,128.4,52.0,####,26952.8,164.0,32.4,26946.5,381.0,869.1,362.6,364.8,####,362.7,41.1,13983.7,####,362.7,51.9,15051.1,366.2,756.4,13.6,750.9,747.7,####,751.2,16.1,11.2,####,751.3,15.4,11.1,751.1,21.9,50.1,21.5,21.6,####,21.5,16.0,585.8,####,21.5,15.9,630.6,21.7,22121.4,16368.4,20892.7,20873.5,####,20892.7,16816.8,17496.8,####,20889.6,17568.7,16857.8,20888.6
24,3.50,10530.7,94.3,10608.0,10547.6,####,10621.7,183.1,####,####,10618.2,168.9,####,10618.2,124.0,8.6,124.4,123.7,####,124.5,10.3,####,####,124.5,9.9,####,124.5,457.5,16.7,450.1,447.6,####,450.6,21.7,####,####,450.5,19.3,####,450.5,19.5,16.8,19.1,19.0,####,19.1,17.1,####,####,19.1,16.6,####,19.1,13936.1,12282.0,13993.5,13983.6,####,13997.5,12037.8,####,####,13994.4,12393.2,####,13994.4
25,2.30,39488.4,41.4,39265.0,38977.0,####,39284.7,73.6,77.2,####,39295.0,132.7,77.2,39285.1,526.1,592.7,518.9,519.4,####,519.2,5.8,17082.5,####,519.3,8.2,17082.5,523.5,1150.2,13.8,1103.8,1095.8,####,1104.4,15.5,12.9,####,1104.7,16.6,12.9,1104.4,28.9,47.1,27.7,27.9,####,27.7,16.2,911.0,####,27.7,16.1,911.0,28.0,20597.1,24828.5,20518.8,20550.4,####,20522.7,24347.5,15261.1,####,20520.2,24525.9,15261.1,20518.9
26,2.45,13669.0,87.2,13915.3,13807.4,####,13937.0,164.4,####,####,13943.3,211.8,####,13943.3,281.5,-0.7,286.2,283.9,####,286.6,-0.1,####,####,286.7,2.6,####,286.7,610.3,17.0,606.6,602.0,####,607.5,21.1,####,####,607.8,22.2,####,607.8,27.0,16.9,26.6,26.5,####,26.6,17.0,####,####,26.6,16.9,####,26.6,13929.1,12084.7,13952.8,13938.2,####,13956.5,12018.2,####,####,13955.9,12168.5,####,13955.9
27,1.74,39755.2,54.7,37970.1,37737.1,5061.0,37997.0,102.4,109.0,2450.9,38004.8,143.1,590.3,37994.1,913.4,1299.1,881.9,884.5,15661.0,875.9,-4.3,55746.7,10936.9,876.1,-2.2,52844.9,890.6,1220.5,14.9,1175.1,1168.0,283.6,1175.9,17.1,17.4,465.7,1176.1,18.1,30.9,1175.8,40.6,79.5,39.8,40.0,719.1,39.7,15.7,1831.8,925.2,39.7,15.6,1738.2,40.2,19396.1,18780.1,18719.4,18719.7,14853.9,18719.9,18905.8,13908.9,7395.0,18719.7,18919.0,14268.5,18718.4
28,1.34,14975.0,113.3,15201.5,15069.6,####,15220.7,165.9,####,####,15224.9,193.3,####,15224.9,345.5,13.5,350.8,347.9,####,351.3,14.2,####,####,351.4,15.1,####,351.4,643.8,17.5,637.5,632.0,####,638.2,19.8,####,####,638.4,20.5,####,638.4,28.1,16.6,27.8,27.7,####,27.8,16.6,####,####,27.8,16.5,####,27.8,14183.7,12071.4,14312.6,14293.0,####,14315.5,12078.9,####,####,14314.9,12195.3,####,14314.9
29,1.41,33851.9,52.1,31366.7,31156.2,####,31383.0,86.5,142.5,####,31391.3,145.5,139.7,31385.2,1378.5,1543.8,1303.7,1305.3,####,1300.5,1.4,70167.0,####,1300.8,3.2,73969.9,1314.9,1116.0,15.3,1062.9,1055.9,####,1063.5,17.4,16.3,####,1063.7,18.5,15.7,1063.5,63.7,99.6,61.7,62.0,####,61.7,17.0,2986.3,####,61.7,16.9,3146.6,62.3,18054.2,14466.0,17269.1,17250.3,####,17270.8,14423.0,15107.6,####,17266.8,15065.4,15420.9,17266.4
30,1.88,20070.3,52.9,22006.6,21299.5,####,22024.7,63.7,####,####,22029.0,70.8,####,22029.0,427.2,19.8,457.1,443.0,####,457.4,20.7,####,####,457.5,21.1,####,457.5,904.9,16.4,970.6,939.8,####,971.3,16.8,####,####,971.5,17.1,####,971.5,35.0,19.3,35.7,35.2,####,35.7,19.3,####,####,35.7,19.3,####,35.7,16478.5,11589.7,13480.7,13419.8,####,13482.2,11592.6,####,####,13482.0,11607.8,####,13482.0
31,1.48,42258.8,64.5,42779.2,42477.6,25146.9,42808.8,108.2,127.0,83604.9,42832.1,207.3,791.1,42821.2,1796.1,2524.5,1812.1,1817.1,67386.0,1809.6,4.8,78525.7,29383.4,1810.6,11.4,78709.0,1831.8,1290.2,15.8,1234.6,1226.0,665.8,1235.5,18.6,15.0,1091.2,1236.1,21.3,76.1,1235.8,80.4,135.5,76.6,77.0,2884.5,76.5,17.4,3735.9,410.9,76.5,17.3,3732.7,77.5,19554.5,14454.5,19614.5,19578.0,22941.7,19617.1,14536.8,14916.4,56323.2,19612.5,15461.7,14544.2,19611.5
32,2.41,24591.5,71.9,25194.8,24803.4,####,25205.9,82.8,####,####,25206.4,85.1,####,25206.4,475.7,-1.3,486.9,479.3,####,487.1,-1.1,####,####,487.1,-1.3,####,487.1,1062.4,17.0,1052.4,1036.2,####,1052.8,17.4,####,####,1052.8,17.4,####,1052.8,37.1,17.8,36.5,36.2,####,36.5,17.8,####,####,36.5,17.7,####,36.5,13919.1,11012.2,13915.7,13870.5,####,13916.0,11072.9,####,####,13916.0,11079.9,####,13916.0
33,1.12,60500.9,49.7,57390.8,56712.9,4809.6,57449.2,85.3,508.9,18615.5,57491.0,153.4,1102.1,57473.3,2154.5,1460.8,2060.3,2053.2,70192.8,2046.2,8.4,116180.9,9422.8,2047.6,10.6,109837.7,2080.6,1674.8,14.9,1609.2,1590.3,193.9,1610.8,16.8,27.1,851.8,1611.9,19.8,50.1,1611.5,86.4,87.5,83.2,83.2,3449.0,82.7,16.8,4842.4,662.3,82.7,16.9,4650.2,84.1,21170.8,23214.8,20009.5,20047.4,16591.3,20012.7,22856.6,17072.0,13684.1,20016.4,22426.1,17005.7,20015.4
34,0.73,32527.6,54.6,34917.8,33702.2,####,34934.7,60.0,####,####,34935.8,61.6,628.3,34935.4,765.4,24.3,809.2,781.8,####,809.5,25.6,####,####,809.5,25.3,1368.6,809.5,1294.1,15.5,1359.6,1312.8,####,1360.3,15.7,####,####,1360.3,15.7,82.6,1360.3,42.1,18.0,43.5,42.6,####,43.5,18.1,####,####,43.5,18.0,155.2,43.5,17358.5,13859.2,15262.2,15213.3,####,15262.6,13867.4,####,####,15262.6,13871.4,7058.0,15262.5
35,1.19,89481.3,64.2,90628.5,89366.0,12032.0,90744.9,103.1,486.5,23289.8,90834.6,177.8,1011.3,90812.7,3058.0,1875.5,3086.9,3070.0,246371.7,3078.0,20.4,162314.0,3897.7,3081.0,21.2,166134.8,3119.4,2156.3,11.8,2060.1,2031.5,255.4,2062.7,13.6,23.3,4965.6,2064.6,16.4,33.8,2064.2,98.4,92.7,94.3,94.3,6462.4,94.0,13.4,6698.4,751.4,94.0,13.6,6687.6,95.6,25532.9,37512.9,25397.0,25565.9,30309.5,25403.5,36341.3,18417.0,4223.9,25410.5,35249.6,18957.5,25408.8
36,2.22,37871.2,64.2,40301.7,39185.2,####,40309.9,66.9,####,####,40311.6,69.5,####,40311.6,772.7,5.6,817.5,795.0,####,817.7,5.7,####,####,817.7,5.7,####,817.7,1489.5,14.7,1500.1,1458.9,####,1500.4,14.8,####,####,1500.5,14.9,####,1500.5,46.5,16.3,46.5,45.7,####,46.5,16.3,####,####,46.5,16.3,####,46.5,16110.6,13167.3,15505.6,15440.7,####,15504.8,13212.0,####,####,15504.1,13240.5,####,15504.1
37,0.77,175403.8,70.4,180484.0,176284.3,10128.4,180979.0,114.5,492.5,####,181197.6,171.9,1101.6,181137.9,4754.1,2303.7,4849.9,4790.7,61138.1,4764.5,11.5,458888.0,####,4770.2,15.5,462813.0,4922.3,3299.1,13.1,3145.2,3072.3,250.5,3153.8,15.1,16.2,####,3157.5,17.0,32.4,3156.5,116.1,89.0,109.3,108.8,2104.0,107.9,14.2,10199.0,####,108.0,14.2,10337.8,111.4,35378.0,28291.8,35627.8,35457.0,52266.6,35671.9,27300.0,33137.8,####,35690.3,27046.9,31134.6,35688.8
38,1.77,37668.3,53.8,40206.3,38629.7,####,40212.6,55.2,####,####,40213.9,57.1,####,40213.9,758.4,7.3,808.5,777.1,####,808.7,7.5,####,####,808.7,8.0,####,808.7,1464.9,14.4,1511.8,1453.0,####,1512.1,14.4,####,####,1512.1,14.5,####,1512.1,46.4,16.4,47.1,45.9,####,47.1,16.4,####,####,47.1,16.4,####,47.1,16310.8,13147.6,15427.6,15338.1,####,15427.6,13157.1,####,####,15427.5,13160.6,####,15427.5
39,0.64,263100.8,82.2,281021.3,276467.4,190330.3,281754.0,140.0,689.3,183619.0,281976.8,191.9,4705.6,281919.0,6637.9,1447.5,7137.1,7044.9,97516.8,7033.3,33.0,690156.9,71383.1,7038.8,35.9,796117.6,7183.2,4366.9,12.5,4067.1,4001.4,2068.0,4077.7,14.4,17.9,1965.5,4080.9,15.8,95.8,4080.0,115.7,54.6,117.1,116.0,1545.6,115.7,13.9,10708.5,1064.3,115.8,13.9,12408.2,118.1,46562.1,27352.8,45339.7,45048.1,65983.9,45382.4,27192.5,51663.2,62808.9,45402.1,27103.2,36706.8,45402.2
40,1.64,35875.3,53.9,38359.2,36817.4,####,38370.8,56.8,####,####,38371.5,58.7,####,38371.5,747.5,14.9,792.8,761.5,####,793.0,14.7,####,####,793.0,14.8,####,793.0,1421.0,14.8,1459.3,1401.2,####,1459.8,15.0,####,####,1459.8,15.0,####,1459.8,46.1,17.2,46.8,45.6,####,46.8,17.2,####,####,46.8,17.2,####,46.8,15635.9,12792.6,14995.2,14906.6,####,14995.3,12806.7,####,####,14994.9,12817.9,####,14994.9
41,0.86,315731.1,103.2,287260.1,284943.8,97243.5,287627.4,148.4,506.9,171945.9,287764.9,220.8,571.1,287685.5,6900.3,4337.4,6284.9,6269.2,48489.5,6069.1,56.6,859374.2,50165.0,6071.3,64.7,988000.6,6329.0,5088.7,11.1,4566.4,4529.7,1749.4,4572.2,12.3,12.6,3391.6,4574.4,13.8,13.4,4573.1,132.9,121.2,121.3,121.3,998.8,118.2,12.4,13727.3,1116.3,118.2,12.3,15781.8,122.3,46812.7,24589.0,43386.9,43235.3,35525.8,43407.2,24232.7,47788.8,37263.8,43411.4,24877.1,46772.0,43412.1
42,1.05,363074.3,104.8,545830.8,506120.9,1101.3,548972.1,128.4,230.7,637712.9,549410.7,144.4,358.6,549272.1,7669.2,200.9,11438.9,10621.1,2762.8,11395.0,84.8,287598.0,90655.2,11393.3,95.5,429107.5,11518.8,5562.6,5.4,6433.5,5965.7,5.9,6470.5,5.5,9.7,4764.2,6476.0,5.8,12.3,6474.0,116.0,10.1,145.1,135.3,16.5,143.8,6.7,5700.9,780.3,143.8,6.9,8516.6,146.2,54096.9,107467.1,62200.0,65493.8,130345.1,61733.7,110194.8,44832.9,115549.3,61739.8,109494.7,40234.2,61741.3
