,Number,Time,OD600,Sample,Dilution_Factor,Time_h,Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P1 AND NOT(H2-LL) Mean FSC-A,FCS,Growth Rate,Time_interp,Generation,Red Translation Efficiency,Green Translation Efficiency,Accumulated OD
32,33,2020-10-04 17:03:03,0.207,MG,,9.038333333333334,33,1.12,60500.9,49.7,57390.8,56712.9,4809.6,57449.2,85.3,508.9,18615.5,57491.0,153.4,1102.1,57473.3,2154.5,1460.8,2060.3,2053.2,70192.8,2046.2,8.4,116180.9,9422.8,2047.6,10.6,109837.7,2080.6,1674.8,14.9,1609.2,1590.3,193.9,1610.8,16.8,27.1,851.8,1611.9,19.8,50.1,1611.5,86.4,87.5,83.2,83.2,3449.0,82.7,16.8,4842.4,662.3,82.7,16.9,4650.2,84.1,21170.8,23214.8,20009.5,20047.4,16591.3,20012.7,22856.6,17072.0,13684.1,20016.4,22426.1,17005.7,20015.4,True,0.23462615736344047,8.643611111111111,8.145050332995643,27.381093854551484,812.4498941942286,76.43076924096
33,34,2020-10-04 17:08:09,0.0358,NCM,7.24137931,9.123333333333333,34,0.73,32527.6,54.6,34917.8,33702.2,,34934.7,60.0,,,34935.8,61.6,628.3,34935.4,765.4,24.3,809.2,781.8,,809.5,25.6,,,809.5,25.3,1368.6,809.5,1294.1,15.5,1359.6,1312.8,,1360.3,15.7,,,1360.3,15.7,82.6,1360.3,42.1,18.0,43.5,42.6,,43.5,18.1,,,43.5,18.0,155.2,43.5,17358.5,13859.2,15262.2,15213.3,,15262.6,13867.4,,,15262.6,13871.4,7058.0,15262.5,True,0.43169066293963243,8.707222222222223,12.030279291871118,25.907924271192996,899.1319921964255,535.408045173797
34,35,2020-10-04 17:57:31,0.0894,MG,2.915492958,9.946111111111112,35,1.19,89481.3,64.2,90628.5,89366.0,12032.0,90744.9,103.1,486.5,23289.8,90834.6,177.8,1011.3,90812.7,3058.0,1875.5,3086.9,3070.0,246371.7,3078.0,20.4,162314.0,3897.7,3081.0,21.2,166134.8,3119.4,2156.3,11.8,2060.1,2031.5,255.4,2062.7,13.6,23.3,4965.6,2064.6,16.4,33.8,2064.2,98.4,92.7,94.3,94.3,6462.4,94.0,13.4,6698.4,751.4,94.0,13.6,6687.6,95.6,25532.9,37512.9,25397.0,25565.9,30309.5,25403.5,36341.3,18417.0,4223.9,25410.5,35249.6,18957.5,25408.8,True,0.2538515602234988,9.492222222222223,8.477506139912368,35.61154521050862,969.5782913161787,96.23817986952099
35,36,2020-10-04 18:00:29,0.0504,NCM,,9.995555555555555,36,2.22,37871.2,64.2,40301.7,39185.2,,40309.9,66.9,,,40311.6,69.5,,40311.6,772.7,5.6,817.5,795.0,,817.7,5.7,,,817.7,5.7,,817.7,1489.5,14.7,1500.1,1458.9,,1500.4,14.8,,,1500.5,14.9,,1500.5,46.5,16.3,46.5,45.7,,46.5,16.3,,,46.5,16.3,,46.5,16110.6,13167.3,15505.6,15440.7,,15504.8,13212.0,,,15504.1,13240.5,,15504.1,True,0.39215153312560613,9.559444444444445,12.523743438106779,21.222881385915713,726.7672220813994,753.7588121999822
36,37,2020-10-04 19:37:00,0.1306,MG,,11.604166666666666,37,0.77,175403.8,70.4,180484.0,176284.3,10128.4,180979.0,114.5,492.5,,181197.6,171.9,1101.6,181137.9,4754.1,2303.7,4849.9,4790.7,61138.1,4764.5,11.5,458888.0,,4770.2,15.5,462813.0,4922.3,3299.1,13.1,3145.2,3072.3,250.5,3153.8,15.1,16.2,,3157.5,17.0,32.4,3156.5,116.1,89.0,109.3,108.8,2104.0,107.9,14.2,10199.0,,108.0,14.2,10337.8,111.4,35378.0,28291.8,35627.8,35457.0,52266.6,35671.9,27300.0,33137.8,,35690.3,27046.9,31134.6,35688.8,True,0.22859218039643253,10.77513888888889,9.02431430027548,33.50202331385633,1270.9325376347945,140.5895558272868
37,38,2020-10-04 19:39:22,0.0961,NCM,,11.643611111111111,38,1.77,37668.3,53.8,40206.3,38629.7,,40212.6,55.2,,,40213.9,57.1,,40213.9,758.4,7.3,808.5,777.1,,808.7,7.5,,,808.7,8.0,,808.7,1464.9,14.4,1511.8,1453.0,,1512.1,14.4,,,1512.1,14.5,,1512.1,46.4,16.4,47.1,45.9,,47.1,16.4,,,47.1,16.4,,47.1,16310.8,13147.6,15427.6,15338.1,,15427.6,13157.1,,,15427.5,13160.6,,15427.5,True,0.39161188390967955,10.819583333333334,13.454856135380613,19.03036983959596,607.584604247713,1437.2266240559186
38,39,2020-10-04 20:50:11,0.17,MG,,12.823888888888888,39,0.64,263100.8,82.2,281021.3,276467.4,190330.3,281754.0,140.0,689.3,183619.0,281976.8,191.9,4705.6,281919.0,6637.9,1447.5,7137.1,7044.9,97516.8,7033.3,33.0,690156.9,71383.1,7038.8,35.9,796117.6,7183.2,4366.9,12.5,4067.1,4001.4,2068.0,4077.7,14.4,17.9,1965.5,4080.9,15.8,95.8,4080.0,115.7,54.6,117.1,116.0,1545.6,115.7,13.9,10708.5,1064.3,115.8,13.9,12408.2,118.1,46562.1,27352.8,45339.7,45048.1,65983.9,45382.4,27192.5,51663.2,62808.9,45402.1,27103.2,36706.8,45402.2,True,0.21616333244102792,12.214027777777778,9.404694149754114,30.41750714341164,1548.128720791032,183.0032503111697
39,40,2020-10-04 20:53:09,0.156,NCM,,12.873333333333333,40,1.64,35875.3,53.9,38359.2,36817.4,,38370.8,56.8,,,38371.5,58.7,,38371.5,747.5,14.9,792.8,761.5,,793.0,14.7,,,793.0,14.8,,793.0,1421.0,14.8,1459.3,1401.2,,1459.8,15.0,,,1459.8,15.0,,1459.8,46.1,17.2,46.8,45.6,,46.8,17.2,,,46.8,17.2,,46.8,15635.9,12792.6,14995.2,14906.6,,14995.3,12806.7,,,14994.9,12817.9,,14994.9,True,0.3939643299263254,12.258472222222222,14.153793828356472,18.426894510386884,547.3693376797537,2333.0629901428024
40,41,2020-10-04 21:28:18,0.1888,MG,,13.459166666666667,41,0.86,315731.1,103.2,287260.1,284943.8,97243.5,287627.4,148.4,506.9,171945.9,287764.9,220.8,571.1,287685.5,6900.3,4337.4,6284.9,6269.2,48489.5,6069.1,56.6,859374.2,50165.0,6071.3,64.7,988000.6,6329.0,5088.7,11.1,4566.4,4529.7,1749.4,4572.2,12.3,12.6,3391.6,4574.4,13.8,13.4,4573.1,132.9,121.2,121.3,121.3,998.8,118.2,12.4,13727.3,1116.3,118.2,12.3,15781.8,122.3,46812.7,24589.0,43386.9,43235.3,35525.8,43407.2,24232.7,47788.8,37263.8,43411.4,24877.1,46772.0,43412.1,True,0.16510858766073291,13.141527777777778,9.55601816809089,26.475526443141153,1491.9416570599158,203.2412568161696
41,42,2020-10-04 23:18:25,0.0196,MG,11.0,15.294444444444444,42,1.05,363074.3,104.8,545830.8,506120.9,1101.3,548972.1,128.4,230.7,637712.9,549410.7,144.4,358.6,549272.1,7669.2,200.9,11438.9,10621.1,2762.8,11395.0,84.8,287598.0,90655.2,11393.3,95.5,429107.5,11518.8,5562.6,5.4,6433.5,5965.7,5.9,6470.5,5.5,9.7,4764.2,6476.0,5.8,12.3,6474.0,116.0,10.1,145.1,135.3,16.5,143.8,6.7,5700.9,780.3,143.8,6.9,8516.6,146.2,54096.9,107467.1,62200.0,65493.8,130345.1,61733.7,110194.8,44832.9,115549.3,61739.8,109494.7,40234.2,61741.3,True,0.07232506541007871,14.376805555555556,9.747516581481555,22.76801260369405,1437.8224331568317,232.09118098287163
