,Number,Time,OD600,Sample,Dilution_Factor,Time_h,Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P1 AND NOT(H2-LL) Mean FSC-A,FCS,Growth Rate,Time_interp,Generation,Red Translation Efficiency,Green Translation Efficiency,Accumulated OD
10,11,2020-10-04 09:27:16,0.053,MG,,1.4419444444444445,11,0.54,19267.3,263.3,19613.9,19423.1,,19598.1,166.8,74.1,,19617.9,360.3,71.9,19614.6,476.0,460.6,471.9,471.8,,471.6,60.9,20900.5,,472.0,67.7,23267.9,475.9,332.4,12.1,315.3,312.3,,315.0,10.6,6.3,,315.4,12.5,6.6,315.3,14.7,17.6,13.8,13.9,,13.8,11.5,347.0,,13.8,11.1,385.1,13.9,40912.4,35445.8,40963.1,40908.7,,40964.8,34524.2,44813.3,,40950.5,36787.8,38424.8,40950.1,True,1.3134888357890142,1.2915277777777778,2.1794838300595165,18.64932071350265,336.0889731944077,1.22307692324
11,12,2020-10-04 09:33:13,0.10400000000000001,NCM,,1.541111111111111,12,1.12,5842.8,219.3,6023.0,6001.0,824.8,6024.8,261.1,150.3,,6027.6,377.9,,6027.6,143.4,60.2,140.8,140.5,1484.4,140.9,56.2,1605.4,,140.9,68.2,,140.9,92.4,6.8,84.5,84.2,15.5,84.5,7.3,1.3,,84.6,8.1,,84.6,7.7,6.3,6.8,6.8,26.4,6.8,6.2,10.7,,6.8,6.1,,6.8,53874.1,47266.3,47653.0,47651.5,37437.4,47652.8,47212.7,115236.7,,47643.9,49265.4,,47643.9,True,1.6777433351491082,1.3670833333333334,3.700439718141092,11.571442662639965,139.67116022079114,1.6640000000000001
12,13,2020-10-04 09:44:41,0.07400000000000001,MG,,1.7322222222222223,13,1.06,16709.6,219.3,17177.5,17027.4,5262.6,17167.2,139.9,61.8,,17181.6,365.4,78.6,17178.9,386.6,417.0,318.1,319.0,9492.0,317.9,118.1,4937.3,,318.1,238.5,10861.3,319.7,311.8,13.0,306.2,303.6,40.8,306.1,11.7,8.0,,306.3,14.1,9.4,306.3,15.4,25.5,13.2,13.3,70.9,13.2,16.1,174.5,,13.2,17.9,427.5,13.3,42928.0,28010.3,36304.2,36230.8,123836.4,36304.4,27019.1,29923.6,,36292.9,29638.0,23062.0,36290.8,True,1.1498406188970074,1.5870833333333334,2.661016741125267,13.614685667999092,327.59409114599987,1.7076923079200002
13,14,2020-10-04 09:49:38,0.0108,NCM,16.0,1.8147222222222221,14,0.92,5053.0,1051.5,5423.3,5345.6,,5387.4,175.2,58.5,,5394.1,402.1,,5394.1,123.4,65.3,107.0,106.2,,106.5,70.6,1516.8,,106.6,73.2,,106.6,85.5,26.7,86.1,85.1,,85.7,8.8,3.4,,85.8,11.2,,85.8,8.6,9.0,7.2,7.2,,7.2,10.1,29.4,,7.2,9.5,,7.2,49040.5,31273.5,41559.9,41377.1,,41451.4,32123.9,48424.0,,41442.4,34721.2,,41442.4,True,1.855713955353195,1.6779166666666667,4.4329594072761065,14.639278277825403,164.3385488196645,2.7648
14,15,2020-10-04 10:23:59,0.01,MG,16.0,2.3872222222222224,15,0.6,15151.3,100.7,15659.1,15254.6,,15652.4,75.9,157.1,,15656.3,94.1,126.0,15653.1,344.1,186.8,318.0,314.6,,317.9,57.4,10516.4,,318.0,72.8,14568.9,321.0,291.1,11.9,295.5,288.1,,295.4,11.2,10.7,,295.4,11.3,9.1,295.4,14.4,16.9,13.5,13.6,,13.5,13.8,274.2,,13.5,14.1,370.2,13.6,37905.4,24079.1,34142.0,33880.4,,34142.5,23796.6,30646.9,,34134.0,24267.3,29796.9,34133.1,True,1.1772652244727588,2.0597222222222222,3.7734914703836795,16.721923408614504,345.12714181944773,3.6923076928
15,16,2020-10-04 10:28:01,0.03,NCM,,2.4544444444444444,16,0.44,5822.5,148.3,5995.1,5973.4,,6004.8,266.4,,,6007.4,353.8,,6007.4,145.7,59.0,137.3,137.0,,137.4,61.3,,,137.5,61.3,,137.5,98.6,7.4,95.0,94.7,,95.2,8.4,,,95.2,9.3,,95.2,8.3,8.0,7.5,7.5,,7.5,7.4,,,7.5,7.2,,7.5,42991.1,37925.0,41970.2,41955.1,,41961.1,40870.4,,,41956.8,41672.4,,41956.8,True,1.59702322671087,2.134583333333333,5.906890595608519,12.786799826313501,167.55188884064262,7.68
16,17,2020-10-04 10:54:47,0.0187,MG,,2.9005555555555556,17,0.51,18378.1,105.8,18407.9,18185.4,,18403.8,81.9,74.7,,18406.9,105.7,81.8,18404.4,323.0,193.0,315.8,314.3,,315.7,49.4,9954.3,,315.8,61.3,11835.4,317.4,338.3,11.3,335.2,331.2,,335.1,10.8,7.5,,335.1,11.0,8.8,335.1,13.9,16.8,13.3,13.3,,13.3,12.9,293.3,,13.3,13.0,354.9,13.3,37936.2,29001.6,35666.2,35585.2,,35670.3,28452.1,33792.8,,35662.5,29335.1,24406.4,35660.9,True,1.2193605796100557,2.6438888888888887,4.6765297404965915,16.05617823182511,471.8658778258411,6.904615385536
17,18,2020-10-04 10:57:17,0.0653,NCM,,2.942222222222222,18,0.82,5844.3,164.4,5893.7,5873.5,,5900.0,257.0,,,5901.8,322.3,,5901.8,107.8,36.0,107.5,107.2,,107.6,40.0,,,107.6,39.1,,107.6,117.6,8.7,114.8,114.4,,114.9,9.9,,,115.0,10.6,,115.0,9.0,8.4,8.7,8.7,,8.7,8.2,,,8.7,8.0,,8.7,32788.9,31839.0,32971.7,32967.7,,32969.8,32537.4,,,32966.9,33120.5,,32966.9,True,1.5945676290619744,2.6983333333333333,7.029011086659068,15.892570513743479,215.5462588840468,16.7168
18,19,2020-10-04 11:37:09,0.0375,MG,,3.6066666666666665,19,0.49,21334.8,76.7,19115.3,18986.9,,19126.2,112.3,123.5,,19123.5,117.4,126.4,19118.3,256.5,330.6,222.1,222.8,,220.8,44.7,11451.3,,220.8,51.3,11782.0,224.0,411.4,10.8,401.6,399.0,,401.8,11.3,9.7,,401.8,10.8,9.8,401.7,14.3,27.1,13.6,13.7,,13.6,13.1,389.2,,13.6,13.0,400.0,13.7,34221.6,21744.2,30325.4,30267.5,,30321.3,22779.9,27795.9,,30314.7,23570.2,28007.1,30314.1,True,0.985421979865054,3.2536111111111112,5.680382065992198,14.174310440645664,470.48292780081255,13.846153848
19,20,2020-10-04 11:39:01,0.126,NCM,,3.637777777777778,20,1.64,7475.4,102.8,7370.9,7339.8,,7377.4,183.6,,,7377.9,205.8,,7377.9,62.6,14.2,60.3,60.1,,60.3,15.6,,,60.3,14.9,,60.3,260.4,12.4,260.0,259.0,,260.3,15.0,,,260.3,14.9,,260.3,13.6,12.7,13.5,13.5,,13.5,12.7,,,13.5,12.4,,13.5,17171.3,16131.0,16735.7,16733.1,,16736.2,16143.0,,,16734.3,16522.3,,16734.3,True,0.9449854370641909,3.29,7.977279923499917,17.95618438435341,400.81682914214474,32.256
