Number,Time,OD600,Sample,Dilution_Factor
125,2020-9-30 0:30:50,0.0666,pECJ3,
126,2020-9-30 0:33:00,0.0686,M5_L5,
127,2020-9-30 0:35:08,0.07,M5_L6,
128,2020-9-30 0:38:16,0.0647,M5,
129,2020-9-30 1:12:16,0.0848,pECJ3,
130,2020-9-30 1:16:18,0.0883,M5_L5,
131,2020-9-30 1:19:00,0.0914,M5_L6,
132,2020-9-30 1:23:08,0.082,M5,
133,2020-9-30 2:02:28,0.102,pECJ3,
134,2020-9-30 2:05:58,0.107,M5_L5,
135,2020-9-30 2:08:43,0.114,M5_L6,
136,2020-9-30 2:11:33,0.099,M5,
137,2020-9-30 2:55:05,0.132,pECJ3,
138,2020-9-30 2:59:06,0.138,M5_L5,
139,2020-9-30 3:02:27,0.152,M5_L6,
140,2020-9-30 3:05:41,0.121,M5,
141,2020-9-30 4:14:08,0.011,pECJ3,16
142,2020-9-30 4:16:18,0.011,M5_L5,16
143,2020-9-30 4:18:22,0.0128,M5_L6,16
144,2020-9-30 4:20:39,0.0095,M5,16
145,2020-9-30 5:28:11,0.013,pECJ3,
146,2020-9-30 5:30:19,0.0138,M5_L5,
147,2020-9-30 5:32:10,0.017,M5_L6,
148,2020-9-30 5:33:38,0.011,M5,
149,2020-9-30 8:25:26,0.017,pECJ3,
150,2020-9-30 8:28:01,0.018,M5_L5,
151,2020-9-30 8:30:13,0.0258,M5_L6,
152,2020-9-30 8:32:20,0.014,M5,
153,2020-9-30 9:57:13,0.0175,pECJ3,
154,2020-9-30 9:59:45,0.0188,M5_L5,
155,2020-9-30 10:02:52,0.03,M5_L6,
156,2020-9-30 10:04:53,0.015,M5,
157,2020-9-30 11:05:38,0.0186,pECJ3,
158,2020-9-30 11:12:05,0.019,M5_L5,
159,2020-9-30 11:14:07,0.032,M5_L6,
160,2020-9-30 11:15:55,0.015,M5,
161,2020-9-30 12:42:44,0.019,pECJ3,
162,2020-9-30 12:44:15,0.019,M5_L5,
163,2020-9-30 12:45:53,0.037,M5_L6,
164,2020-9-30 12:47:27,0.016,M5,
165,2020-9-30 14:04:07,0.02,pECJ3,
166,2020-9-30 14:06:16,0.02,M5_L5,
167,2020-9-30 14:08:01,0.038,M5_L6,
168,2020-9-30 14:10:05,0.0163,M5,
169,2020-9-30 15:25:22,0.02,pECJ3,
170,2020-9-30 15:27:06,0.02,M5_L5,
171,2020-9-30 15:28:27,0.0403,M5_L6,
172,2020-9-30 15:32:49,0.0173,M5,
173,2020-9-30 16:35:33,0.02,pECJ3,
174,2020-9-30 16:37:37,0.019,M5_L5,
175,2020-9-30 16:40:10,0.04,M5_L6,
176,2020-9-30 16:41:48,0.017,M5,
177,2020-9-30 19:56:43,0.021,pECJ3,
178,2020-9-30 19:58:31,0.0197,M5_L5,
179,2020-9-30 20:00:25,0.044,M5_L6,
180,2020-9-30 20:02:41,0.0184,M5,
