Experiment Name:,Exp_20200331_1

Tube Name:,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,GR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P2 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P2 Mean FSC-A
#49-2,,99020,80000,38768,41232,2103,32680,3113,35494,73390,100.00%,80.79%,39.15%,41.64%,2.12%,33.00%,3.14%,35.85%,74.12%,100.00%,80.79%,48.46%,51.54%,2.87%,44.53%,4.24%,48.36%,91.74%,14623.7,16709.7,172.4,32258.8,4836.3,168.5,57.0,28881.7,14184.3,10484.8,12038.3,23392.6,1362.6,9151.2,24595.8,5920.8,810.2,11857.5,41041.1,45682.7,42838.8,48356.7,43451.8,41448.7,34488.4,42405.1,41673.4
#50-1,,109192,80000,39565,40435,2106,33435,3038,34821,73400,100.00%,73.27%,36.23%,37.03%,1.93%,30.62%,2.78%,31.89%,67.22%,100.00%,73.27%,49.46%,50.54%,2.87%,45.55%,4.14%,47.44%,91.75%,13020.9,16387.1,197.1,32228.7,4215.7,192.0,84.0,28811.9,13880.3,9279.5,11676.0,22363.8,1218.1,7752.7,23692.2,4908.1,794.6,11594.7,37997.6,45901.1,43038.4,48702.2,42722.1,41746.3,35627.8,42820.1,42030.4
#50-2,,100035,80000,39665,40335,2091,33433,3195,34566,73285,100.00%,79.97%,39.65%,40.32%,2.09%,33.42%,3.19%,34.55%,73.26%,100.00%,79.97%,49.58%,50.42%,2.85%,45.62%,4.36%,47.17%,91.61%,14156.8,16301.8,182.6,32153.3,4416.7,178.2,69.8,28691.1,13743.0,10414.3,12031.4,22924.9,1318.8,8178.2,24233.4,5194.4,801.7,11893.4,41301.4,45584.7,42644.0,48476.6,43208.9,41235.0,35362.2,42311.8,41543.2
#51-1,,108855,80000,20286,59714,1325,16124,2117,49948,69514,100.00%,73.49%,18.64%,54.86%,1.22%,14.81%,1.94%,45.88%,63.86%,100.00%,73.49%,25.36%,74.64%,1.91%,23.20%,3.05%,71.85%,86.89%,31444.2,37779.8,209.3,50543.3,5756.6,190.3,215.9,40340.2,29146.1,7704.6,9699.4,34352.3,1324.3,11912.5,37840.9,1059.0,814.9,9622.1,44703.1,52076.2,45292.6,54380.6,45147.4,42632.0,37239.2,44114.4,43580.9
#51-2,,100705,80000,20239,59761,1281,16145,2173,50094,69693,100.00%,79.44%,20.10%,59.34%,1.27%,16.03%,2.16%,49.74%,69.21%,100.00%,79.44%,25.30%,74.70%,1.84%,23.17%,3.12%,71.88%,87.12%,33568.0,37433.1,196.0,50044.1,7875.9,179.2,213.8,39900.0,28872.3,8203.1,9617.0,34185.9,1296.3,12025.9,37901.2,1172.6,816.0,9624.3,46567.6,51230.9,44725.7,53433.9,43112.8,42253.7,37502.0,43441.4,42975.0
#52-1,,98606,80000,20346,59654,1349,16396,2090,50204,70039,100.00%,81.13%,20.63%,60.50%,1.37%,16.63%,2.12%,50.91%,71.03%,100.00%,81.13%,25.43%,74.57%,1.93%,23.41%,2.98%,71.68%,87.55%,33748.1,37090.8,199.7,49673.2,6207.5,181.3,233.3,39904.3,28772.4,8520.8,9723.5,34133.2,1398.2,13758.0,37369.9,982.7,805.8,9620.1,46910.1,50729.9,44026.4,53016.3,43717.3,41589.9,38135.6,43190.5,42675.1
#52-2,,98148,80000,20116,59884,1334,16210,2084,50431,70059,100.00%,81.51%,20.50%,61.01%,1.36%,16.52%,2.12%,51.38%,71.38%,100.00%,81.51%,25.15%,74.85%,1.90%,23.14%,2.97%,71.98%,87.57%,34229.9,37424.9,189.5,49932.9,6254.4,172.9,211.5,40384.0,29235.2,8838.1,9937.5,34964.1,1530.7,12649.7,38345.7,1330.9,819.7,9742.8,47105.1,50752.6,44328.3,52910.6,43766.9,42027.8,37457.5,43350.1,42876.8
#53-1,,155588,133646,46187,87459,5912,37459,4811,74287,122469,100.00%,85.90%,29.69%,56.21%,3.80%,24.08%,3.09%,47.75%,78.71%,100.00%,85.90%,34.56%,65.44%,4.83%,30.59%,3.93%,60.66%,91.64%,18320.5,19880.2,220.2,30262.6,4687.8,208.6,136.5,27284.6,16845.7,7334.9,7976.6,20343.6,1445.6,9295.9,22471.1,3113.6,735.0,7890.0,42002.2,44823.9,40668.2,47018.4,42084.1,39642.5,34741.6,41207.7,40517.3
#53-2,,95579,80000,27513,52487,3522,22474,2488,44552,73036,100.00%,83.70%,28.79%,54.91%,3.68%,23.51%,2.60%,46.61%,76.41%,100.00%,83.70%,34.39%,65.61%,4.82%,30.77%,3.41%,61.00%,91.29%,18408.9,20310.4,217.3,30842.9,4127.1,204.1,115.9,28027.5,17362.6,7402.0,8262.5,21305.2,1425.7,8968.8,23098.4,3675.5,749.1,8122.3,42416.8,46217.9,42416.4,48210.6,42739.8,41035.8,35851.0,42381.9,41762.5
#54-1,,93963,80000,27341,52659,3507,22309,2510,44537,72863,100.00%,85.14%,29.10%,56.04%,3.73%,23.74%,2.67%,47.40%,77.54%,100.00%,85.14%,34.18%,65.82%,4.81%,30.62%,3.44%,61.12%,91.08%,18724.5,20353.0,221.0,30805.7,4420.3,207.6,110.2,27827.0,17289.2,7424.0,8166.4,21225.4,1386.1,8703.4,23134.7,3748.6,749.0,8089.2,43311.9,46640.3,42596.8,48739.8,42911.0,41240.2,36307.8,42623.5,41996.2
#54-2,,93395,80000,27438,52562,3548,22427,2438,44395,72808,100.00%,85.66%,29.38%,56.28%,3.80%,24.01%,2.61%,47.53%,77.96%,100.00%,85.66%,34.30%,65.70%,4.87%,30.80%,3.35%,60.98%,91.01%,19053.6,20550.7,209.2,31169.2,4219.2,195.1,104.2,28234.1,17485.1,7871.4,8616.0,22198.7,1525.7,9177.9,23976.9,4247.1,760.8,8439.0,43682.7,46849.3,43058.7,48828.0,43507.9,41611.6,35897.8,42615.7,42124.9
#55-1,,95006,80000,45152,34848,4393,38059,3244,27329,73025,100.00%,84.21%,47.53%,36.68%,4.62%,40.06%,3.41%,28.77%,76.86%,100.00%,84.21%,56.44%,43.56%,6.02%,52.12%,4.44%,37.42%,91.28%,12476.9,13591.4,207.1,30933.2,3950.5,198.1,73.7,28705.8,11087.1,12138.6,13433.8,22327.1,1910.9,8317.4,23343.4,5190.3,749.9,13177.6,42411.7,45997.1,43328.5,49454.9,42862.5,41710.9,35611.5,42382.5,41760.5
#55-2,,104497,80000,45247,34753,4396,38577,2909,27477,73359,100.00%,76.56%,43.30%,33.26%,4.21%,36.92%,2.78%,26.29%,70.20%,100.00%,76.56%,56.56%,43.44%,5.99%,52.59%,3.97%,37.46%,91.70%,11390.2,13752.8,207.9,31387.8,3636.3,197.7,73.3,29181.2,11254.7,11443.2,13775.5,22953.6,1826.0,8349.4,23857.4,5158.5,771.0,13539.5,39595.2,46239.3,43657.7,49600.4,43273.2,42018.1,35349.5,42773.3,42111.7
#56-1,,97142,80000,45745,34255,4339,38484,3528,27072,73423,100.00%,82.35%,47.09%,35.26%,4.47%,39.62%,3.63%,27.87%,75.58%,100.00%,82.35%,57.18%,42.82%,5.91%,52.41%,4.81%,36.87%,91.78%,11931.8,13374.7,211.3,30953.4,3816.9,204.5,70.2,29087.0,11060.8,11319.6,12936.3,21168.7,1942.5,7735.1,22185.3,5122.6,709.8,12593.2,42745.2,45957.8,43386.7,49391.4,43007.0,41857.0,35466.5,42639.4,41906.4
#56-2,,95778,80000,45071,34929,4562,38210,3286,27581,73639,100.00%,83.53%,47.06%,36.47%,4.76%,39.89%,3.43%,28.80%,76.89%,100.00%,83.53%,56.34%,43.66%,6.20%,51.89%,4.46%,37.45%,92.05%,12211.9,13568.4,198.8,30820.1,3971.9,190.3,67.1,29097.0,11245.9,12392.4,13848.2,23025.0,2006.7,8360.6,24133.1,5341.9,777.7,13569.8,41277.6,45009.8,42443.9,48320.8,42590.7,41052.7,35041.7,42131.0,41283.6
#57-1,,94380,80000,55473,24527,3491,47095,4328,19159,74073,100.00%,84.76%,58.78%,25.99%,3.70%,49.90%,4.59%,20.30%,78.48%,100.00%,84.76%,69.34%,30.66%,4.71%,63.58%,5.84%,25.87%,92.59%,8611.5,9477.5,198.3,30464.4,4169.5,196.1,58.5,28853.7,7787.6,13464.2,14907.4,20654.9,1908.2,7441.3,21517.4,5483.1,691.6,14530.5,41535.8,44420.5,42628.1,48474.3,42915.2,41267.7,34815.9,42120.2,41188.9
#57-2,,94319,80000,55291,24709,3572,47444,3927,19297,74240,100.00%,84.82%,58.62%,26.20%,3.79%,50.30%,4.16%,20.46%,78.71%,100.00%,84.82%,69.11%,30.89%,4.81%,63.91%,5.29%,25.99%,92.80%,8635.6,9375.1,190.8,29926.7,4150.6,187.8,55.8,28830.9,7816.6,14960.5,16375.3,22718.4,2181.5,7732.9,23670.5,5627.0,763.6,15995.1,43799.8,43732.1,42031.5,47537.4,42063.3,40718.3,34449.2,41576.6,40674.5
#58-1,,111552,80000,55560,24440,3536,47687,3265,18964,73452,100.00%,71.72%,49.81%,21.91%,3.17%,42.75%,2.93%,17.00%,65.85%,100.00%,71.72%,69.45%,30.55%,4.81%,64.92%,4.45%,25.82%,91.82%,7334.7,9337.1,216.8,30070.5,3478.9,211.2,67.7,29227.0,7853.5,12089.8,15615.8,21685.2,1818.2,7190.7,22353.7,5185.5,737.1,15279.6,37218.4,45679.6,43976.9,49550.5,43434.0,42251.1,35046.7,43113.9,42210.6
#58-2,,99657,80000,55683,24317,3550,47525,3462,18853,73390,100.00%,80.28%,55.87%,24.40%,3.56%,47.69%,3.47%,18.92%,73.64%,100.00%,80.28%,69.60%,30.40%,4.84%,64.76%,4.72%,25.69%,91.74%,8122.7,9247.8,202.2,29961.3,3876.6,197.1,55.8,29372.3,7863.2,14155.0,16393.6,22632.0,2108.5,7595.4,23403.3,5863.7,757.6,15993.8,40765.3,45493.0,44018.1,48870.4,43429.7,42208.8,35638.6,42784.9,42105.9
#59-1,,94072,80000,37826,42174,3670,31551,3050,34801,73072,100.00%,85.04%,40.21%,44.83%,3.90%,33.54%,3.24%,36.99%,77.68%,100.00%,85.04%,47.28%,52.72%,5.02%,43.18%,4.17%,47.63%,91.34%,14812.0,16195.1,204.1,30537.5,4559.2,196.1,89.4,27729.3,13523.6,10266.9,11235.7,21909.5,1662.3,8551.1,23211.3,4285.5,753.6,10989.5,42606.1,45826.5,42663.7,48663.3,42944.7,41232.2,35002.6,42216.2,41526.8
#59-2,,94547,80000,37668,42332,3758,31457,2995,35064,73274,100.00%,84.61%,39.84%,44.77%,3.97%,33.27%,3.17%,37.09%,77.50%,100.00%,84.61%,47.08%,52.92%,5.13%,42.93%,4.09%,47.85%,91.59%,14865.5,16383.9,204.3,30780.8,4135.2,195.1,91.2,28230.6,13808.8,10320.3,11374.6,22270.9,1678.8,8515.5,23776.8,4574.0,766.9,11198.2,42588.6,45851.2,42942.2,48439.8,42435.2,41542.2,35625.5,42322.8,41719.7
#60-1,,95958,80000,37844,42156,3810,31703,2802,34906,73221,100.00%,83.37%,39.44%,43.93%,3.97%,33.04%,2.92%,36.38%,76.31%,100.00%,83.37%,47.30%,52.70%,5.20%,43.30%,3.83%,47.67%,91.53%,14490.2,15938.0,214.2,30053.5,3999.6,203.0,94.8,27672.5,13491.7,10208.0,11394.8,22340.2,1569.0,8419.4,23692.6,4097.9,770.2,11220.4,41766.9,45228.5,42385.5,47780.7,42259.7,40867.8,34908.6,41970.0,41237.6
#60-2,,96606,80000,37765,42235,3797,31630,2771,34800,72998,100.00%,82.81%,39.09%,43.72%,3.93%,32.74%,2.87%,36.02%,75.56%,100.00%,82.81%,47.21%,52.79%,5.20%,43.33%,3.80%,47.67%,91.25%,14557.8,16179.3,209.8,30458.6,4129.5,199.5,94.8,27945.6,13627.2,10399.9,11580.4,22689.2,1647.2,8647.1,23852.0,4331.5,774.3,11318.4,41795.4,45620.7,42603.4,48318.6,42195.6,41111.4,34684.3,42138.9,41413.7
#61-1,,115082,82135,22170,59965,1025,17525,2076,50358,70984,100.00%,71.37%,19.26%,52.11%,0.89%,15.23%,1.80%,43.76%,61.68%,100.00%,71.37%,26.99%,73.01%,1.44%,24.69%,2.92%,70.94%,86.42%,28557.8,35904.0,216.6,49098.2,9786.5,206.5,212.9,39670.0,28341.5,7475.4,9558.3,32206.1,1185.1,10893.2,35110.8,1274.7,755.0,9398.6,41611.1,47227.8,41745.9,49254.5,42291.7,39543.1,31825.0,40576.3,40090.1
#61-2,,138466,40227,11977,28250,639,8113,1737,22750,33239,100.00%,29.05%,8.65%,20.40%,0.46%,5.86%,1.25%,16.43%,24.01%,100.00%,29.05%,29.77%,70.23%,1.92%,24.41%,5.23%,68.44%,82.63%,13043.4,34899.8,212.7,49605.8,8018.0,199.9,172.0,41074.6,28324.9,3143.4,8535.1,25959.1,1148.0,9641.5,32280.3,1346.5,706.8,8618.5,28549.7,44284.5,40529.4,45876.6,42009.0,37106.4,31784.9,38299.6,37739.2
#62-1,,101967,80000,21158,58842,1050,17931,1655,50581,71217,100.00%,78.46%,20.75%,57.71%,1.03%,17.59%,1.62%,49.61%,69.84%,100.00%,78.46%,26.45%,73.55%,1.47%,25.18%,2.32%,71.02%,89.02%,32122.3,35024.4,207.5,47543.7,10742.4,198.0,259.6,39959.9,28595.3,8351.4,9556.9,33179.1,1063.0,11086.4,35174.4,1776.8,740.5,9586.9,40561.4,43649.4,39232.1,45237.8,39558.9,37775.8,33490.2,38769.2,38408.0
#62-2,,105616,80000,21086,58914,1042,17410,1870,50259,70581,100.00%,75.75%,19.96%,55.78%,0.99%,16.48%,1.77%,47.59%,66.83%,100.00%,75.75%,26.36%,73.64%,1.48%,24.67%,2.65%,71.21%,88.23%,31428.4,35142.8,195.8,47650.7,10961.7,188.0,230.3,39936.5,28652.1,8035.1,9290.1,32145.0,1110.1,11502.5,34711.2,1878.5,730.4,9301.8,42155.6,42837.2,38231.6,44485.6,38832.9,36613.7,32742.1,37945.0,37491.9
#63-1,,113707,80000,28782,51218,2081,23994,2188,43646,71909,100.00%,70.36%,25.31%,45.04%,1.83%,21.10%,1.92%,38.38%,63.24%,100.00%,70.36%,35.98%,64.02%,2.89%,33.37%,3.04%,60.70%,89.89%,16557.6,20337.4,214.9,31645.2,7147.2,217.6,109.1,28790.8,17757.7,6086.8,7573.6,19301.0,983.4,6465.2,20434.3,4721.1,648.2,7542.5,37200.9,41038.9,38380.8,42532.6,39244.9,37192.0,31184.9,38118.0,37630.7
#63-2,,108679,80000,29088,50912,2038,23719,2341,42908,71006,100.00%,73.61%,26.77%,46.85%,1.88%,21.82%,2.15%,39.48%,65.34%,100.00%,73.61%,36.36%,63.64%,2.87%,33.40%,3.30%,60.43%,88.76%,16910.5,20228.0,205.6,31667.5,7079.8,209.0,90.3,28863.1,17717.6,6246.3,7597.8,19126.8,1010.8,6876.1,20455.5,4773.6,649.7,7580.3,37696.1,40255.8,37534.2,41810.8,37979.4,36562.5,30000.9,37642.6,37039.5
#64-1,,102558,80000,29352,50648,2121,24037,2407,42830,71395,100.00%,78.00%,28.62%,49.38%,2.07%,23.44%,2.35%,41.76%,69.61%,100.00%,78.00%,36.69%,63.31%,2.97%,33.67%,3.37%,59.99%,89.24%,17358.7,19451.6,205.9,30605.0,7320.8,210.9,95.6,28306.5,17272.8,6795.5,7828.3,19591.4,1011.3,6959.7,21068.5,4574.3,666.1,7853.8,38993.8,39849.0,37134.0,41422.4,38672.1,36593.5,29810.7,37532.8,36990.1
#64-2,,78655,60000,22178,37822,1511,17771,2098,31981,53361,100.00%,76.28%,28.20%,48.09%,1.92%,22.59%,2.67%,40.66%,67.84%,100.00%,76.28%,36.96%,63.04%,2.83%,33.30%,3.93%,59.93%,88.93%,17031.2,19535.5,202.7,30871.9,7372.7,210.1,92.2,28385.3,17294.6,6226.4,7048.2,17500.6,919.1,6890.3,19003.5,4299.2,591.5,7047.4,39072.7,39665.4,36847.5,41317.8,38444.4,36373.8,29674.0,37502.0,36845.2
#65-1,,79169,60000,36140,23860,1451,29784,2710,19435,53380,100.00%,75.79%,45.65%,30.14%,1.83%,37.62%,3.42%,24.55%,67.43%,100.00%,75.79%,60.23%,39.77%,2.72%,55.80%,5.08%,36.41%,88.97%,11344.5,12757.8,202.2,31775.3,7877.1,208.8,69.3,29194.4,10963.5,10623.9,12589.3,20104.2,1206.7,7019.2,21270.8,4978.0,671.1,12556.2,39747.0,39671.3,37863.1,42410.2,39335.2,36927.4,30497.8,38049.5,37075.0
#65-2,,80072,60000,36045,23955,1435,29155,2774,19394,52758,100.00%,74.93%,45.02%,29.92%,1.79%,36.41%,3.46%,24.22%,65.89%,100.00%,74.93%,60.08%,39.93%,2.72%,55.26%,5.26%,36.76%,87.93%,10994.1,13007.2,199.1,32279.6,7574.5,205.2,69.6,29358.1,11115.2,10376.9,12463.9,19987.0,1144.0,5992.4,21224.3,5067.1,682.1,12409.1,41640.3,40795.7,38871.7,43690.7,39619.4,37080.6,31000.4,38295.2,37276.4
#66-1,,81640,60000,36486,23514,1370,29925,2409,18808,52512,100.00%,73.49%,44.69%,28.80%,1.68%,36.65%,2.95%,23.04%,64.32%,100.00%,73.49%,60.81%,39.19%,2.61%,56.99%,4.59%,35.82%,87.52%,10977.2,12823.2,206.6,32400.1,7491.9,211.5,52.4,29509.3,10887.6,10348.5,12515.5,19816.8,1186.4,6878.9,20712.4,5606.0,655.5,12474.8,39288.9,41165.3,39182.0,44242.8,40132.4,37234.6,30694.0,38415.1,37432.9
#66-2,,119782,60000,39320,20680,1270,26071,6730,16514,50585,100.00%,50.09%,32.83%,17.26%,1.06%,21.77%,5.62%,13.79%,42.23%,100.00%,50.09%,65.53%,34.47%,2.51%,51.54%,13.30%,32.65%,84.31%,6803.8,11175.1,199.5,32043.6,7567.4,206.9,116.5,29707.9,10010.6,6654.7,10797.6,15781.8,1320.9,5932.6,20021.4,2189.0,649.5,10971.0,45127.4,40656.4,38848.4,44094.1,40089.5,37042.5,28711.7,38384.1,36448.6
#67-1,,74694,60000,43525,16475,1075,36851,2521,13524,53971,100.00%,80.33%,58.27%,22.06%,1.44%,49.34%,3.38%,18.11%,72.26%,100.00%,80.33%,72.54%,27.46%,1.99%,68.28%,4.67%,25.06%,89.95%,8177.5,9053.0,196.8,32450.0,8217.3,200.5,29.9,29918.8,7799.0,14524.1,16652.5,22407.1,1449.5,6926.7,22892.9,6600.0,720.4,16257.9,37335.2,41105.6,39919.6,44238.7,41040.1,38504.4,30722.8,39100.2,38340.7
#67-2,,73965,60000,43542,16458,996,36510,2841,13480,53827,100.00%,81.12%,58.87%,22.25%,1.35%,49.36%,3.84%,18.22%,72.77%,100.00%,81.12%,72.57%,27.43%,1.85%,67.83%,5.28%,25.04%,89.71%,8398.5,9315.0,183.0,33475.0,7896.2,187.4,33.8,30592.6,7936.4,14800.8,16824.3,22666.0,1369.0,7148.0,23379.2,6736.2,733.5,16529.2,37779.4,41028.8,39629.5,44730.9,40079.3,38144.1,31229.4,39235.6,38088.3
#68-1,,78015,60000,43654,16346,1076,36868,2485,13266,53695,100.00%,76.91%,55.96%,20.95%,1.38%,47.26%,3.19%,17.00%,68.83%,100.00%,76.91%,72.76%,27.24%,2.00%,68.66%,4.63%,24.71%,89.49%,7783.4,9059.8,200.0,32721.0,8034.9,202.1,44.5,29881.6,7684.4,13859.3,16473.6,22122.0,1388.8,8935.8,22650.4,5998.6,721.3,16187.1,36294.1,40946.6,39523.0,44748.5,40971.7,38078.1,30270.7,39132.5,38035.2
#68-2,,74753,60000,43630,16370,1046,36974,2569,13522,54111,100.00%,80.26%,58.37%,21.90%,1.40%,49.46%,3.44%,18.09%,72.39%,100.00%,80.26%,72.72%,27.28%,1.93%,68.33%,4.75%,24.99%,90.18%,8268.8,9011.6,193.7,32513.5,8969.6,197.3,39.3,29884.1,7777.9,14607.5,16737.9,22394.3,1662.1,7007.1,22865.1,6340.4,720.6,16240.3,36982.7,40591.6,39285.9,44071.8,41152.5,37895.4,30377.4,38869.9,37844.9
#69-1,,74899,60000,30192,29808,1348,25255,2094,25050,53747,100.00%,80.11%,40.31%,39.80%,1.80%,33.72%,2.80%,33.45%,71.76%,100.00%,80.11%,50.32%,49.68%,2.51%,46.99%,3.90%,46.61%,89.58%,14413.9,16128.3,203.5,32258.2,7516.3,206.2,74.0,29141.9,13870.5,9817.2,11225.4,21164.4,1158.3,5826.7,22181.7,5252.5,709.7,11104.5,39356.1,41798.9,39293.8,44336.4,39875.1,38027.7,31042.0,39151.6,38325.7
#69-2,,74873,60000,30154,29846,1424,24948,2014,24849,53235,100.00%,80.14%,40.27%,39.86%,1.90%,33.32%,2.69%,33.19%,71.10%,100.00%,80.14%,50.26%,49.74%,2.67%,46.86%,3.78%,46.68%,88.73%,14827.5,16454.9,195.4,32882.1,7926.1,198.0,72.7,29678.0,14160.6,10050.9,11472.0,21705.4,1132.9,6450.6,22521.5,5534.5,724.0,11274.3,38312.1,41832.0,39451.4,44237.2,40368.8,38005.4,30899.5,39107.5,38314.2
#70-1,,75754,60000,30550,29450,1406,25288,1891,24498,53083,100.00%,79.20%,40.33%,38.88%,1.86%,33.38%,2.50%,32.34%,70.07%,100.00%,79.20%,50.92%,49.08%,2.65%,47.64%,3.56%,46.15%,88.47%,14111.5,15872.2,204.0,32125.6,7797.4,204.3,77.5,29191.2,13778.5,10206.7,11835.0,21996.1,1294.4,6485.6,22809.1,5530.8,733.1,11573.1,39848.0,42497.1,40173.7,44907.3,39653.0,38137.7,31169.0,39519.7,38567.4
#70-2,,76551,60000,30313,29687,1456,25123,2055,24751,53385,100.00%,78.38%,39.60%,38.78%,1.90%,32.82%,2.68%,32.33%,69.74%,100.00%,78.38%,50.52%,49.48%,2.73%,47.06%,3.85%,46.36%,88.98%,13873.7,15905.3,196.2,31945.7,8053.4,198.9,83.8,29179.3,13845.0,9933.3,11596.9,21823.9,1154.2,6110.9,22899.0,5425.0,734.4,11492.2,38978.2,41370.5,39137.0,43651.2,39382.5,37531.6,30812.9,38711.3,37870.4
#71-1,,77430,60000,15620,44380,1219,12544,1306,37189,52258,100.00%,77.49%,20.17%,57.32%,1.57%,16.20%,1.69%,48.03%,67.49%,100.00%,77.49%,26.03%,73.97%,2.33%,24.00%,2.50%,71.16%,87.10%,31651.5,35017.8,227.0,47262.8,11290.3,216.6,226.6,39834.8,28669.1,7867.7,9199.2,31888.2,1213.6,11769.6,34386.3,1623.1,714.9,9077.9,44046.0,45388.1,40503.0,47107.5,41329.2,38615.9,31593.0,39842.7,39376.7
#71-2,,76536,60000,15424,44576,1238,12435,1321,37519,52513,100.00%,78.39%,20.15%,58.24%,1.62%,16.25%,1.73%,49.02%,68.61%,100.00%,78.39%,25.71%,74.29%,2.36%,23.68%,2.52%,71.45%,87.52%,31677.8,34977.5,220.2,47004.0,11625.9,209.3,233.6,39730.5,28715.8,7868.4,9285.8,32726.6,1175.0,10327.2,35545.5,1466.4,730.9,9219.7,40950.6,44023.6,39688.8,45523.5,40251.8,37697.6,32913.6,38743.9,38385.0
#72-1,,81327,60000,15683,44317,1194,12530,1362,36813,51899,100.00%,73.78%,19.28%,54.49%,1.47%,15.41%,1.67%,45.27%,63.82%,100.00%,73.78%,26.14%,73.86%,2.30%,24.14%,2.62%,70.93%,86.50%,30308.1,35144.2,225.9,47501.1,10518.2,215.7,231.3,39485.5,28308.0,7619.3,9537.8,32887.4,1274.8,11282.2,35575.9,1150.1,741.6,9404.8,39716.8,44912.5,39750.9,46739.1,40499.9,37799.8,31910.9,39202.9,38702.6
#73-1,,75878,60000,20731,39269,2562,17059,1555,32417,53593,100.00%,79.07%,27.32%,51.75%,3.38%,22.48%,2.05%,42.72%,70.63%,100.00%,79.07%,34.55%,65.45%,4.78%,31.83%,2.90%,60.49%,89.32%,18108.8,20415.0,220.5,31076.1,7204.5,219.5,124.1,28754.1,17810.5,6944.9,8052.3,21081.9,1173.7,5885.9,22503.9,4251.0,695.6,7988.6,38466.4,42212.6,39346.1,43725.9,39738.2,38039.0,31801.2,39113.6,38589.3
#73-2,,76769,60000,21227,38773,2622,17230,1765,32130,53747,100.00%,78.16%,27.65%,50.51%,3.42%,22.44%,2.30%,41.85%,70.01%,100.00%,78.16%,35.38%,64.62%,4.88%,32.06%,3.28%,59.78%,89.58%,17579.2,20303.7,217.7,31300.2,7422.4,214.8,122.0,28966.3,17751.1,6910.4,8138.7,20732.7,1243.9,6092.2,22421.9,3665.2,700.1,8024.0,38510.0,41835.4,38744.2,43527.8,38863.2,37479.6,30480.9,38782.7,38096.3
#72-2,,77384,60000,15958,44042,1200,12843,1466,36869,52378,100.00%,77.54%,20.62%,56.91%,1.55%,16.60%,1.89%,47.64%,67.69%,100.00%,77.54%,26.60%,73.40%,2.29%,24.52%,2.80%,70.39%,87.30%,30873.5,34425.6,224.1,46818.1,10530.7,213.4,253.8,39439.7,28062.4,8316.7,9717.8,33146.7,1228.7,10187.7,36061.4,1202.0,741.0,9630.8,41505.8,44597.1,39714.1,46366.4,39871.1,37968.3,32013.6,39096.7,38639.5
#74-1,,78435,60000,20923,39077,2598,17457,1547,32585,54187,100.00%,76.50%,26.68%,49.82%,3.31%,22.26%,1.97%,41.54%,69.09%,100.00%,76.50%,34.87%,65.13%,4.79%,32.22%,2.85%,60.13%,90.31%,17164.1,20302.5,225.4,31052.3,7225.9,223.2,131.5,28760.6,17717.1,6664.7,8049.1,20808.2,1217.5,6188.5,22217.3,3777.3,687.9,7975.8,36140.6,41275.8,38142.0,42953.7,39218.0,37396.8,29925.9,38574.5,37979.0
#74-2,,77297,60000,21248,38752,2651,17606,1629,32349,54235,100.00%,77.62%,27.49%,50.13%,3.43%,22.78%,2.11%,41.85%,70.16%,100.00%,77.62%,35.41%,64.59%,4.89%,32.46%,3.00%,59.65%,90.39%,16995.8,19805.9,222.0,30543.8,7164.0,221.1,147.6,28642.3,17510.3,6812.6,8115.8,20792.3,1165.1,5893.2,22212.8,3694.4,684.2,8017.9,36461.3,40867.4,38178.8,42341.6,38506.9,37113.2,30395.6,38301.4,37688.3
#75-1,,67389,60000,35352,24648,2619,29498,2829,19658,54604,100.00%,89.04%,52.46%,36.58%,3.89%,43.77%,4.20%,29.17%,81.03%,100.00%,89.04%,58.92%,41.08%,4.80%,54.02%,5.18%,36.00%,91.01%,11908.2,12283.4,166.2,29662.8,8072.7,166.9,71.5,27993.9,10559.2,13823.5,14561.2,23620.5,1567.6,6050.3,24925.0,5380.8,772.5,14312.0,41475.0,42386.6,40131.8,45620.6,41685.0,38812.4,32221.5,40451.8,39198.9
