Experiment Name:,Exp_20200331_1

Tube Name:,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,GR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P2 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P2 Mean FSC-A
3,0 aTc,100000,87811,46357,41454,396,39396,3831,35986,79609,100.00%,87.81%,46.36%,41.45%,0.40%,39.40%,3.83%,35.99%,79.61%,100.00%,87.81%,52.79%,47.21%,0.50%,49.49%,4.81%,45.20%,90.66%,14650.4,13864.4,127.7,29225.8,31904.9,142.8,-74.6,24736.1,11407.4,10568.0,11220.6,20222.3,1154.2,12459.3,20441.8,10752.2,726.5,11023.8,41795.2,43612.1,41362.5,46127.7,48854.0,40767.4,35533.1,41555.8,40912.1
4,0 aTc,100000,86136,57565,28571,304,48905,4432,24698,78339,100.00%,86.14%,57.56%,28.57%,0.30%,48.91%,4.43%,24.70%,78.34%,100.00%,86.14%,66.83%,33.17%,0.39%,62.43%,5.66%,31.53%,90.95%,10831.3,10036.6,133.2,29990.0,29442.2,146.6,-67.9,25783.3,8330.7,13534.8,14805.8,21559.9,1197.7,11398.7,21853.0,10144.1,751.7,14497.4,41772.1,44086.3,42511.2,47259.7,47452.3,41735.1,36794.5,42840.4,41826.3
5,0 aTc,100000,85554,37165,48389,337,31452,3133,42435,77357,100.00%,85.55%,37.17%,48.39%,0.34%,31.45%,3.13%,42.43%,77.36%,100.00%,85.55%,43.44%,56.56%,0.44%,40.66%,4.05%,54.86%,90.42%,17414.2,16398.3,131.7,28891.9,33418.6,146.6,-57.2,24898.8,13861.4,8692.9,9580.5,20702.1,1038.6,13098.4,20992.0,9630.9,766.4,9402.5,43135.2,45260.5,42814.9,47138.9,48457.3,41895.3,38092.3,42862.8,42300.6
1_,,100000,82570,17004,65566,140,13920,1084,53890,69034,100.00%,82.57%,17.00%,65.57%,0.14%,13.92%,1.08%,53.89%,69.03%,100.00%,82.57%,20.59%,79.41%,0.20%,20.16%,1.57%,78.06%,83.61%,38136.9,35527.7,154.5,44701.4,45368.7,156.1,50.0,37013.1,29017.8,5722.9,6144.3,26342.5,906.1,19387.2,26181.7,7440.6,599.4,5903.3,51362.5,50313.8,46740.5,51240.5,50939.0,44355.9,38913.7,43955.6,43971.3
2_,,100000,85118,27255,57863,226,21459,2624,48521,72830,100.00%,85.12%,27.25%,57.86%,0.23%,21.46%,2.62%,48.52%,72.83%,100.00%,85.12%,32.02%,67.98%,0.31%,29.46%,3.60%,66.62%,85.56%,20323.2,19763.6,135.6,29008.9,20453.6,155.2,-69.6,25524.5,17111.7,5330.2,5687.0,15973.7,841.6,12170.2,16136.5,9465.3,552.3,5501.3,46045.7,46657.7,44226.5,47802.9,53247.1,42820.1,37557.4,42698.5,42581.9
3_,,100000,86655,47440,39215,439,37789,4583,32698,75509,100.00%,86.66%,47.44%,39.22%,0.44%,37.79%,4.58%,32.70%,75.51%,100.00%,86.66%,54.75%,45.25%,0.58%,50.05%,6.07%,43.30%,87.14%,14139.1,13994.2,135.1,30760.1,18671.7,153.8,-77.8,27118.7,11924.1,8656.9,9101.9,15649.8,1180.6,16826.0,15680.8,9750.3,548.2,8774.6,43247.2,44480.0,42848.8,46453.5,53004.1,41654.2,35681.7,41228.5,41173.4
4_,,100000,85989,57943,28046,290,46803,5154,23529,75776,100.00%,85.99%,57.94%,28.05%,0.29%,46.80%,5.15%,23.53%,75.78%,100.00%,85.99%,67.38%,32.62%,0.38%,61.76%,6.80%,31.05%,88.12%,11206.3,10672.2,139.2,32433.6,20729.2,155.9,-77.2,28605.3,9052.5,10602.4,11174.0,15964.9,1276.1,14255.7,15860.7,9686.8,547.2,10679.7,43940.1,45303.2,44176.7,47630.5,52778.9,42543.0,37058.2,42096.5,42070.5
5_,,100000,86390,38414,47976,325,30855,3774,40713,75667,100.00%,86.39%,38.41%,47.98%,0.33%,30.86%,3.77%,40.71%,75.67%,100.00%,86.39%,44.47%,55.53%,0.43%,40.78%,4.99%,53.81%,87.59%,17446.8,16972.6,137.1,30452.6,19934.0,156.5,-70.4,27030.8,14690.0,6714.4,7096.2,14748.7,968.9,13574.5,14893.1,9380.7,526.1,6882.3,44332.5,45386.9,43654.7,46773.9,52527.3,42367.9,36832.1,41916.9,41892.7
h2o,,1605,86,84,2,1,22,19,0,42,100.00%,5.36%,5.23%,0.12%,0.06%,1.37%,1.18%,0.00%,2.62%,100.00%,5.36%,97.67%,2.33%,2.38%,52.38%,45.24%,0.00%,48.84%,278.0,261.1,148.7,4981.3,869.1,161.1,37.9,####,122.2,2252.4,3420.5,3284.1,9146.2,8655.9,5253.4,760.8,####,3302.1,66117.8,34616.4,34255.3,49780.6,49959.6,44845.6,34268.5,####,40182.5
#1-1,#1,89664,67625,15881,51744,90,12862,1187,42954,57093,100.00%,75.42%,17.71%,57.71%,0.10%,14.34%,1.32%,47.91%,63.67%,100.00%,75.42%,23.48%,76.52%,0.16%,22.53%,2.08%,75.24%,84.43%,34370.1,32625.1,162.6,42588.3,33187.8,161.9,115.1,36946.4,27887.8,6786.3,7531.6,28962.5,954.1,28870.2,30307.1,4764.8,709.7,7506.1,50531.0,48034.2,44700.6,49057.3,47591.8,42880.6,40094.3,44056.8,43715.1
