,0.190894666666667,0.38972975,0.9680055,1.150488,1.58760375,gene,locus_tag
37,2320.642586630147,5280.087378797556,6667.780533706975,6320.663851595358,8475.523362586497,rpsS,HHKABJCC_00043
38,1795.3797704656888,3724.041236195754,5647.309652957954,5101.393427766698,7536.955279551968,rplB,HHKABJCC_00044
39,2727.9391437691943,5909.488533149284,7267.322826335701,6456.52201393462,10290.299342611663,rplW,HHKABJCC_00045
40,1448.7114550849692,2751.5126834927087,4615.718985493118,4014.0897051056277,9169.308172730622,rplD,HHKABJCC_00046
41,1970.9982171517865,3845.00602472795,6021.343191312032,5070.920674193056,10690.556335412366,rplC,HHKABJCC_00047
42,3852.2543402880847,7612.006292371429,8707.517891926193,7619.713688605959,11631.5718145172,rpsJ,HHKABJCC_00048
62,2329.06501762469,3267.266977145954,4679.095282762326,4225.841162676015,6254.394770322248,rpsG,HHKABJCC_00068
63,1346.5263216680378,1860.3947528629296,2482.2719950631135,2158.1104734874198,4795.008009000229,rpsL,HHKABJCC_00069
364,870.9325940373602,1249.734452712217,2042.6704364767256,1544.7105468279146,2978.332705104369,rpmG,HHKABJCC_00371
365,2499.67437807024,3278.342905971395,5436.663415651872,4711.062048133774,7807.610354392105,rpmB,HHKABJCC_00372
432,733.9792512420512,988.2911142508414,1281.7209338776938,829.6328142283828,2243.19849886827,rpmH,HHKABJCC_00440
648,864.4743755756876,1493.4893884659284,2362.6822308346773,1899.3358638572931,4000.0686497254137,rpmE,HHKABJCC_00671
685,2321.9605228299674,4010.1592659204616,6845.701233332927,6736.9296451211485,9603.281438379485,rplK,HHKABJCC_00716
686,1831.0077886201325,3498.062042924659,5652.393668679286,5473.610155359938,9651.807701339614,rplA,HHKABJCC_00717
687,1993.2388792825263,4026.101538907231,6602.887302947014,6247.126693256125,9072.545114968983,rplJ,HHKABJCC_00718
688,786.6695017018192,2120.4472449368836,3982.764183335074,3445.226087939054,7147.339772329481,rplL,HHKABJCC_00719
904,2573.1979112785266,3950.5310775153257,7017.0697209183145,6359.682596217826,10296.241892746595,rpsF,HHKABJCC_00943
906,2528.296907431569,4746.2411163588,7457.503268156288,6424.020460684969,8123.078691377475,rpsR,HHKABJCC_00945
907,691.4551647159246,1336.4791320523086,2376.9558705112167,1696.9734606495344,4257.960762676439,rplI,HHKABJCC_00946
1128,571.2128822096088,657.673304633356,877.3776330937649,548.8606363346645,1385.1854332899243,rpsT,HHKABJCC_01171
1269,1604.2514314041282,2384.518008843455,3811.4454194093123,3776.0651659552605,7287.257404119606,rpsB,HHKABJCC_01312
2040,2161.7577194088644,3740.2350020623917,5353.475356295259,4598.231817734164,8023.812428407418,rpsA,HHKABJCC_02109
2215,3151.5070774689902,3790.5295285037155,5910.638868396309,4523.537384546653,8678.507212749011,rpmF,HHKABJCC_02286
2611,2845.697734696088,1193.3301583603259,103.22765573091854,19.569556224563584,15.664577030717314,sra,HHKABJCC_02684
2850,4325.213190915447,3164.497408126761,5037.042050372316,4249.408677917563,7347.959356941219,rplT,HHKABJCC_02925
2851,2589.403636154011,2093.980309009626,2707.846854387465,2084.39986022191,4423.858954404266,rpmI,HHKABJCC_02926
3292,330.7234730112701,538.1981610341934,750.985164933843,516.7638855270834,1071.4578680274612,rplY,HHKABJCC_03375
3710,571.7325723030099,1107.3327924939274,2142.6416465077623,1759.0947720276167,5113.51061923612,rplS,HHKABJCC_03805
3713,1984.9010403539594,2484.7062176181607,4195.196630092301,3079.5596392706966,6183.200947378008,rpsP,HHKABJCC_03808
4157,131.18044904122934,321.8735798060503,314.3838759852666,139.81095963517515,273.0997012177944,rpsU,HHKABJCC_04265
4251,2005.3463261877469,2947.91879625415,5292.097142292738,3809.6683930596464,7649.162431456569,rpsO,HHKABJCC_04360
4269,714.2741009479223,954.2558171029615,1849.2052803969632,1389.4296899018493,3170.3409877362033,rpmA,HHKABJCC_04380
4270,1377.1234049608452,1862.8290206947313,3180.21343201063,2580.1673187494716,4690.600321586371,rplU,HHKABJCC_04381
4313,1193.7077941303232,2484.389879257261,4749.382884276762,3643.8999630995063,8488.375816576672,rpsI,HHKABJCC_04424
4314,2081.69065238718,4405.560814832939,6619.497558514502,5958.992092819994,8548.718538072835,rplM,HHKABJCC_04425
