,0.190894666666667,0.38972975,0.9680055,1.150488,1.58760375,gene,locus_tag
15,2251.789754439692,3643.561151138747,5719.662487346568,5248.604615461727,7565.036464811575,rplQ,HHKABJCC_00021
17,3094.5778322214983,3987.9681470668547,5057.713949685134,4581.926917495149,8534.456678383314,rpsD,HHKABJCC_00023
18,4080.3322020603946,5624.8257912998815,9151.264588584258,8503.068248705333,11813.717321219814,rpsK,HHKABJCC_00024
19,4231.761446161941,6325.325407351586,8463.559002714814,6936.274613902218,11054.153009820884,rpsM,HHKABJCC_00025
20,1518.3902448095932,2494.5958964053907,3578.309218076638,3528.31002969128,6350.344503828246,rpmJ,HHKABJCC_00026
22,2403.0789541146924,3803.8133986945545,5835.359770597699,5474.368281030265,9721.001113527016,rplO,HHKABJCC_00028
23,2685.0799577000953,3945.8908747804426,5754.973437917426,4884.018942809105,10403.207623930006,rpmD,HHKABJCC_00029
24,2243.9514706967143,3794.6823597626526,5605.89061990376,5106.942840228081,9170.006779545483,rpsE,HHKABJCC_00030
25,1951.8637636984706,3543.0163362266253,5209.722772048655,4592.365288905423,9723.90750833539,rplR,HHKABJCC_00031
26,2487.6137625915835,4153.047033007304,6164.889575825729,5564.792498676736,9134.031761232774,rplF,HHKABJCC_00032
27,2212.069699648948,3942.9326424031183,6306.937479648761,5245.873580589808,9210.946874750949,rpsH,HHKABJCC_00033
28,4099.4234622204785,5720.400677547037,7914.863402234161,7179.271371121445,10934.643536486008,rpsN,HHKABJCC_00034
29,3366.4543775314637,5195.675928196477,6546.7482008642155,5824.420554429536,8547.020802631552,rplE,HHKABJCC_00035
30,2001.0928014684368,3096.0710114956396,4902.386762096541,3692.2319906491157,8563.537294345602,rplX,HHKABJCC_00036
31,1473.6546289503076,2039.876491839171,2921.259382016575,2657.058067150993,5474.734385224519,rplN,HHKABJCC_00037
32,2047.0794190785384,3869.5389728133973,5452.295123476057,4713.835453370522,7267.105618267111,rpsQ,HHKABJCC_00038
33,2274.9882364340438,5158.068464077067,6875.994755980933,5978.16635502835,9805.520052298969,rpmC,HHKABJCC_00039
34,1480.6830159743697,3028.0142193416377,4380.678435721795,3693.4463317249083,8159.851672424522,rplP,HHKABJCC_00040
35,1528.5265692408864,3087.340008212359,4731.9357102879585,4579.329143478837,8805.35000904728,rpsC,HHKABJCC_00041
36,1711.9182016027705,3737.55866331589,5660.2736399272,4838.737399177382,9146.740882890896,rplV,HHKABJCC_00042
