,Number,Time,OD600,Sample,Dilution_Factor,Time_h,Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Median Red-H,V1L Median Red-H,V1R Median Red-H,P1 Median Red-H,H1-UR Median Red-H,H1-UL Median Red-H,H1-LL Median Red-H,H1-LR Median Red-H,H2-UR Median Red-H,H2-UL Median Red-H,H2-LL Median Red-H,H2-LR Median Red-H,P1 AND NOT(H2-LL) Median Red-H,FCS,Growth Rate,Time_interp,Generation,Red Translation Efficiency,Green Translation Efficiency,Accumulated OD
42,43,2020-10-08 18:22:07,0.0324,M5,,8.94,43,0.99,111782.2,197.6,108968.5,106333.2,2199.0,108749.1,97.1,245.4,,108784.0,118.3,,108784.0,3074.1,35.5,3083.6,3009.7,4541.2,3077.4,30.7,1574.9,,3078.4,34.6,,3078.4,2709.2,22.1,2650.1,2586.4,21.9,2644.9,16.8,10.8,,2645.7,16.8,,2645.7,94.4,17.9,96.0,94.1,53.8,95.8,17.8,50.4,,95.9,17.5,,95.9,91.9,15.4,92.8,91.9,53.8,92.7,15.2,50.4,,92.8,15.0,,92.8,True,0.22667561925931287,8.618055555555555,9.746570858712483,47.02332539122494,1431.7106225534671,27.74678734365938
43,45,2020-10-08 18:25:25,0.0344,CP,,8.995,45,1.23,63803.1,219.7,63088.2,62189.7,205101.4,63007.4,106.5,709.0,205101.4,63020.3,141.4,,63021.9,1993.3,43.6,1995.8,1967.9,67534.9,1992.6,39.4,1570.3,67534.9,1993.0,44.0,,1993.7,1868.1,23.3,1820.4,1794.8,3442.1,1818.2,17.8,15.4,3442.1,1818.6,17.7,,1818.6,73.4,18.7,73.5,72.7,1102.6,73.4,18.8,38.8,1102.6,73.5,18.5,,73.5,70.0,15.8,70.2,69.8,1102.6,70.2,16.0,38.8,1102.6,70.2,15.6,,70.2,True,0.2305994712738859,8.68375,9.676108710034258,31.01818212970098,866.3345856827067,32.3962057814493
44,44,2020-10-08 18:30:46,0.2277,M8,,9.084166666666667,44,1.85,39968.9,143.0,39834.2,39398.3,,39807.3,62.4,237.4,,39818.3,95.5,71.4,39817.5,1966.5,138.1,1988.7,1968.4,,1987.4,31.8,27786.4,,1987.9,35.8,53731.7,1989.0,1326.8,22.8,1277.1,1263.4,,1276.3,17.9,8.4,,1276.7,18.9,11.0,1276.6,81.1,26.0,80.5,79.9,,80.4,20.1,1573.1,,80.5,20.0,3121.7,80.5,76.8,17.2,76.7,76.3,,76.7,17.1,1271.3,,76.7,17.0,3121.7,76.7,True,0.11245306076542376,8.751805555555556,9.576972072042668,31.662083997982883,167.50278615670337,24.898515903573166
45,46,2020-10-08 19:00:17,0.0396,M5,,9.57611111111111,46,0.74,141216.7,208.2,134203.7,130294.3,127823.3,133867.9,107.7,8.6,,133879.0,121.8,,133879.0,3889.4,29.7,3810.9,3700.6,39995.4,3801.1,25.8,2345.2,,3801.7,28.2,,3801.7,3140.5,24.1,3087.9,2998.5,1071.6,3080.3,18.8,16.7,,3080.6,18.2,,3080.6,106.7,18.6,109.4,106.8,347.5,109.2,18.6,152.9,,109.2,18.4,,109.2,104.3,15.9,105.7,104.5,347.5,105.6,15.9,152.9,,105.6,15.6,,105.6,True,0.31546484876146025,9.258055555555556,10.036077475907467,53.41885708388224,1591.8693013228,33.912740086694804
46,48,2020-10-08 19:03:27,0.0411,CP,,9.62888888888889,48,0.93,84279.4,276.1,81255.0,80240.2,,81128.3,125.4,228.0,,81150.4,156.8,,81150.4,2326.1,33.1,2271.2,2243.1,,2267.7,27.0,1593.9,,2268.2,33.2,,2268.2,2231.1,24.2,2180.1,2153.1,,2176.8,16.8,6.8,,2177.4,17.2,,2177.4,83.1,16.1,82.1,81.3,,82.0,15.8,31.2,,82.0,15.8,,82.0,78.7,14.3,78.6,78.1,,78.5,14.0,31.2,,78.5,13.9,,78.5,True,0.28072988853734,9.311944444444444,9.932838539013844,35.31796321374208,1129.91050451206,38.70593190748738
47,47,2020-10-08 19:09:19,0.249,M8,,9.726666666666667,47,1.57,47891.2,156.8,47829.5,47343.2,,47794.4,65.4,1846.2,,47807.7,104.4,1846.2,47807.2,2228.4,126.2,2242.3,2220.7,,2240.6,29.1,91663.6,,2241.2,31.2,91663.6,2242.2,1473.0,21.9,1420.4,1406.1,,1419.4,17.5,75.2,,1419.8,18.0,75.2,1419.7,95.5,25.6,92.8,92.1,,92.7,19.6,5852.7,,92.7,19.3,5852.7,92.8,89.4,17.2,88.8,88.5,,88.8,17.0,5852.7,,88.8,16.9,5852.7,88.8,True,0.13918120372764728,9.405416666666667,9.705983522861489,31.227178015997524,410.6460681223818,27.227626086911364
48,54,2020-10-08 19:40:13,0.2949,M8,,10.241666666666667,54,0.93,62379.8,141.3,62575.0,61607.5,10659.5,62522.1,67.3,250.6,,62526.2,76.4,146.0,62522.2,2798.1,466.9,2833.6,2796.9,9239.2,2831.0,33.1,63022.2,,2831.3,45.4,102894.9,2837.8,1729.3,19.8,1709.2,1683.0,278.7,1707.7,16.0,20.8,,1707.9,16.0,23.2,1707.8,96.8,46.5,96.5,95.7,233.9,96.4,18.6,4089.1,,96.4,18.8,6758.0,96.9,92.3,16.4,92.7,92.1,233.9,92.6,16.3,1887.6,,92.6,16.3,8554.1,92.6,True,0.32851149389616147,9.984166666666667,9.950063602967782,39.18615603132514,1075.7429290642779,32.24669451016129
49,51,2020-10-08 19:43:10,0.0182,M8-2,15.41899441,10.290833333333333,51,1.26,64669.1,119.0,65265.3,64078.0,1146.5,65212.6,62.1,713.8,,65211.8,72.1,837.2,65211.1,3035.3,119.3,3106.1,3051.6,1885.8,3103.6,51.6,37679.1,,3103.5,57.1,108746.1,3104.6,1801.7,19.9,1782.7,1750.6,42.3,1781.3,17.1,30.0,,1781.3,16.6,48.3,1781.3,102.4,23.5,103.4,101.9,75.7,103.3,20.2,1965.1,,103.3,20.0,5797.0,103.4,98.0,16.5,98.9,98.1,75.7,98.9,16.5,69.5,,98.9,16.3,5797.0,98.9,True,,,0.0,,,0.280625698262
50,55,2020-10-08 20:20:19,0.0217,M8-2,,10.91,55,1.47,86270.8,108.1,86066.8,84329.6,19513.2,85999.1,55.9,98.5,,86016.8,70.9,89.7,86014.9,3749.9,209.0,3791.5,3719.1,8108.6,3788.2,30.8,107856.0,,3789.3,37.2,161063.3,3792.7,2129.8,17.0,2061.5,2020.2,194.8,2059.9,14.6,14.2,,2060.4,14.9,18.3,2060.3,110.7,29.8,110.4,108.7,96.4,110.3,17.2,7851.0,,110.3,17.2,11760.1,110.6,104.6,14.7,105.0,104.2,59.9,105.0,14.6,10664.0,,105.0,14.6,11760.1,105.0,True,0.2840764465092826,10.600416666666668,0.253756592245783,42.10890926335655,998.7070475180445,0.33459217869700003
51,58,2020-10-08 20:24:22,0.3521,M8,,10.9775,58,1.56,86739.5,223.4,83675.3,83004.3,10950.6,83609.9,104.8,138.3,10950.6,83627.5,146.2,170.9,83624.9,3229.3,272.5,3122.2,3099.3,18381.0,3119.6,29.7,60781.3,18381.0,3120.3,34.1,90405.1,3122.3,2131.6,21.5,2029.8,2013.7,423.6,2028.3,16.7,11.2,423.6,2028.7,17.0,14.0,2028.6,108.5,27.3,104.2,103.6,1136.1,104.1,17.1,2635.1,1136.1,104.1,16.8,3939.4,104.2,99.9,14.6,99.2,98.9,1136.1,99.2,14.5,2549.2,1136.1,99.2,14.4,3939.4,99.2,True,0.2409226414583596,10.609583333333335,10.205823007769178,34.216229872085066,888.3634046622923,38.50139415743571
52,62,2020-10-08 20:51:39,0.4,M8,,11.432222222222222,62,1.96,112243.3,236.8,106220.7,105132.9,66111.6,106108.7,107.1,664.0,,106140.2,162.8,664.0,106136.8,4309.3,862.1,4164.5,4130.6,33786.9,4159.7,28.2,262657.2,,4161.3,29.8,262657.2,4169.8,2513.3,22.3,2348.8,2324.9,955.0,2346.4,16.7,29.9,,2347.1,17.1,29.9,2347.0,112.5,44.6,110.3,109.6,476.1,110.2,16.8,8768.7,,110.3,16.5,8768.7,110.5,104.9,14.6,104.6,104.1,476.1,104.5,14.3,8732.4,,104.5,14.1,8732.4,104.5,True,0.28049942297441127,11.204861111111112,10.389837780568133,44.014825338972166,1315.7248385033904,43.73915837254838
53,49,2020-10-08 21:25:29,0.0612,M5,,11.99611111111111,49,1.29,288278.9,125.9,312315.1,302413.1,1112.7,311991.7,89.9,,,312469.0,174.6,,312469.0,5565.1,60.4,6100.5,5908.9,2549.9,6094.2,53.6,,,6103.5,61.5,,6103.5,4995.5,11.5,5363.9,5194.1,19.0,5358.4,10.5,,,5366.5,12.6,,5366.5,125.7,12.1,132.6,128.8,45.1,132.4,12.1,,,132.6,12.1,,132.6,117.9,11.1,124.7,122.9,45.1,124.6,11.1,,,124.7,11.1,,124.7,True,0.17988350051977087,10.786111111111111,10.66410869852051,31.819415810159846,1732.8104447067672,52.41059831580105
54,66,2020-10-08 21:35:25,0.0307,M8,15.15151515,12.161666666666667,66,0.9,152650.9,182.2,133044.8,130694.3,878.1,132867.6,97.0,462.1,1452.8,132944.6,138.3,385.3,132938.0,4771.1,976.2,4286.0,4227.5,1529.1,4280.4,46.5,267281.7,1755.2,4282.8,59.0,442030.3,4299.1,2965.4,18.4,2780.8,2731.9,36.4,2777.1,15.0,14.2,103.3,2778.7,15.7,15.6,2778.6,120.1,44.8,115.8,114.5,69.8,115.6,16.6,8118.5,272.4,115.7,16.6,13471.1,116.2,109.1,14.3,109.0,108.2,69.8,109.0,14.2,8628.6,272.4,109.0,14.2,14434.7,109.0,True,0.20686790541781075,11.796944444444446,10.60753850643559,31.307148593039965,1124.032285608254,50.86333946602106
55,52,2020-10-08 21:37:41,0.0704,CP,,12.199444444444444,52,1.32,210148.4,250.4,214844.2,211702.4,,214591.2,171.8,,,214735.6,225.7,,214735.6,4530.0,32.5,4632.4,4565.0,,4627.0,28.9,,,4630.0,33.2,,4630.0,3923.9,19.3,3713.7,3659.7,,3709.4,16.3,,,3711.9,17.1,,3711.9,108.7,14.4,104.0,102.7,,103.9,14.4,,,103.9,14.2,,103.9,97.7,12.7,97.7,97.2,,97.7,12.7,,,97.7,12.6,,97.7,True,0.20936530256997068,10.914166666666667,10.709275573969459,28.526094135680136,1242.6711398390964,66.29921183180322
56,53,2020-10-08 23:03:44,0.073,M5,,13.633611111111112,53,0.83,445568.8,192.6,421840.4,415926.4,1439.9,421557.1,136.3,519.3,105406.6,421827.1,194.4,,421822.7,7670.4,65.5,7273.2,7172.1,2820.5,7268.3,51.5,3999.2,25355.2,7272.6,67.1,,7272.9,7014.9,12.2,6747.3,6652.8,21.8,6742.8,10.9,5.9,2433.5,6747.1,11.9,,6747.0,148.9,11.7,143.5,141.7,56.9,143.5,11.6,47.4,886.5,143.5,11.7,,143.5,130.5,10.4,132.7,131.9,56.9,132.6,10.4,47.4,886.5,132.7,10.4,,132.7,True,0.10767160404892234,12.814861111111112,10.918473509595238,21.565695871651194,1499.316453864634,62.515909755775766
57,56,2020-10-08 23:07:01,0.0878,CP,,13.688333333333333,56,0.94,314931.9,179.8,352589.8,347513.1,,352375.6,135.7,535.2,,352585.6,181.5,,352585.6,5880.9,56.2,6521.7,6428.6,,6517.8,51.5,1863.3,,6521.6,56.4,,6521.6,5245.0,13.2,5070.9,4998.0,,5067.8,12.2,7.1,,5070.8,13.0,,5070.8,123.1,12.5,117.7,116.1,,117.6,12.6,18.7,,117.6,12.5,,117.6,108.2,11.7,109.6,109.0,,109.6,11.7,22.2,,109.6,11.7,,109.6,True,0.14834433860400542,12.943888888888889,11.027921084867518,25.720208870492158,1571.0219869552886,82.68566475614094
58,57,2020-10-08 23:10:20,0.038,M8,,13.743611111111111,57,0.76,268736.8,163.9,306488.9,301567.7,739345.8,306271.3,120.7,525.3,,306464.2,158.1,34849.2,306458.8,6622.6,86.5,7476.8,7358.1,256648.8,7457.5,71.8,1917.7,,7471.1,88.3,259364.7,7476.0,4443.7,12.1,4354.1,4284.3,2214.4,4351.5,10.8,16.6,,4353.7,11.6,662.6,4353.7,138.8,12.4,135.1,133.2,2977.0,134.9,12.1,46.1,,135.0,12.4,7455.6,135.1,124.2,10.8,126.2,125.4,831.5,126.2,10.7,26.1,,126.2,10.7,7455.6,126.2,True,0.13484892335024468,12.95263888888889,10.915299269396359,28.99126033588635,1483.1463583289203,62.957879469342025
59,59,2020-10-08 23:13:22,0.0359,M8-2,,13.794166666666667,59,1.32,249087.8,152.6,267649.2,263593.7,946.6,267491.7,111.7,498.4,,267644.3,155.8,498.4,267639.6,6691.3,1624.2,7119.3,7036.0,1736.1,7115.2,66.1,1333545.4,,7119.2,70.2,1333545.4,7143.0,4480.7,13.1,4322.7,4257.4,60.4,4320.2,11.8,11.9,,4322.7,12.9,11.9,4322.6,157.1,35.7,149.4,147.6,93.2,149.3,13.4,18955.8,,149.4,13.5,18955.8,149.7,138.1,12.1,139.5,138.5,93.2,139.4,11.9,18955.8,,139.5,11.9,18955.8,139.5,True,0.17454783066668106,12.352083333333333,0.9800453936243549,36.94657501286506,1372.3283495376897,0.553541899319
60,61,2020-10-09 01:10:34,0.0933,M5,,15.7475,61,1.1,580222.3,195.6,689694.4,679160.4,282125.4,689356.9,159.0,-0.6,371966.9,689716.7,198.5,,689703.8,8882.3,37.2,10368.2,10210.4,86546.5,10357.6,31.5,1829.1,117941.5,10363.9,38.4,,10368.3,9101.2,11.6,8865.7,8730.4,2638.5,8861.4,11.0,4.1,3305.8,8866.0,11.6,,8865.8,169.5,10.7,161.2,158.9,981.5,161.1,10.7,25.2,1306.1,161.2,10.7,,161.2,143.1,10.0,147.6,146.6,1160.4,147.5,10.0,25.2,1228.6,147.6,10.0,,147.6,True,0.11607074903254475,14.690555555555555,11.272454126679616,26.164051639245667,1918.244702755094,79.90047096183396
61,60,2020-10-09 01:14:47,0.11599999999999999,CP,,15.817777777777778,60,0.75,448740.6,199.9,447207.9,443674.8,18455.2,447045.7,145.8,-29.8,,447201.4,198.2,,447201.4,7693.3,32.9,7510.9,7451.8,13960.3,7508.0,27.1,1517.1,,7510.8,32.7,,7510.8,6900.4,11.5,6659.9,6607.3,257.5,6657.5,10.3,2.9,,6659.8,11.2,,6659.8,140.4,10.5,134.8,133.9,280.2,134.8,10.4,43.2,,134.8,10.5,,134.8,123.4,10.0,126.0,125.6,280.2,125.9,9.7,43.2,,126.0,10.0,,126.0,True,0.13079875889317202,14.753055555555555,11.429753045347095,24.715890040216255,1523.1080686624553,109.24301949558483
62,63,2020-10-09 01:19:21,0.0495,M8,,15.893888888888888,63,0.89,438369.8,205.1,400733.5,398894.1,,400613.5,133.0,570.2,,400733.5,202.7,565.7,400721.5,9067.6,5902.5,8300.7,8289.7,,8298.3,47.2,599191.8,,8300.7,52.8,897983.6,8327.5,6852.9,11.1,5967.2,5939.9,,5965.4,9.5,13.8,,5967.2,11.0,16.6,5967.0,169.3,146.1,149.5,149.5,,149.5,10.5,13886.4,,149.5,10.5,20820.8,150.1,142.1,9.8,139.2,139.0,,139.2,9.7,17965.1,,139.2,9.8,20820.8,139.2,True,0.12295458409168472,14.818750000000001,11.296728376032382,24.62131765207732,1393.1785184469793,82.01092194032712
63,64,2020-10-09 01:24:52,0.0439,M8-2,,15.985833333333334,64,0.81,382435.7,210.1,362465.9,361084.0,,362412.9,169.5,499.0,,362460.6,203.5,499.0,362449.9,9315.0,12511.1,8697.0,8711.6,,8695.7,45.8,1626768.4,,8696.9,44.4,1626768.4,8744.4,6296.0,11.8,5841.1,5818.8,,5840.2,10.8,9.5,,5841.0,11.6,9.5,5840.8,181.9,248.7,168.6,168.9,,168.5,10.6,31083.3,,168.6,10.6,31083.3,169.5,158.6,9.8,156.6,156.4,,156.6,9.6,31083.3,,156.6,9.6,31083.3,156.6,True,0.09179179829059729,14.89,1.2702824893366618,23.75465178605948,1163.467633504324,0.676893854599
64,65,2020-10-09 09:18:40,0.0382,M5,3.1815181519999998,23.8825,65,1.33,630424.6,148.9,880410.1,582432.8,71112.3,857016.7,82.0,235.2,122813.2,909299.4,641.4,1348.0,907200.7,10467.5,134.6,14627.8,9721.7,38184.6,14227.7,39.7,46383.3,25394.0,15059.0,69.6,56178.9,15109.7,9309.7,16.9,11260.8,7454.6,1176.3,10962.8,14.2,15.5,3582.9,11624.1,27.1,36.9,11600.8,165.8,19.1,213.3,147.6,689.5,208.0,16.0,1525.3,809.6,218.4,16.6,1825.6,220.7,146.4,14.5,203.4,144.9,610.7,200.5,14.2,1505.1,718.0,206.6,14.4,1702.7,207.0,True,0.03249832783263669,19.815,11.653865036704424,13.601712436130851,672.6776596774056,104.0795638911445
65,67,2020-10-09 09:22:13,0.0458,CP,3.061728395,23.941666666666666,67,1.05,626727.6,120.0,806695.9,674485.6,99622.4,800026.9,61.8,147.6,541462.9,826037.1,659.9,1279.5,825095.8,12053.6,107.2,15380.6,12877.0,33202.1,15251.4,22.3,52919.2,42805.9,15668.1,44.4,53658.6,15745.3,9075.4,13.8,9169.2,7668.5,859.7,9093.7,12.2,15.3,7932.9,9383.5,24.1,49.4,9377.1,171.1,17.5,192.0,163.4,365.0,190.5,14.2,2187.2,710.7,194.9,14.0,2212.4,196.8,169.2,12.8,190.1,172.9,306.3,189.4,12.9,1530.3,716.5,192.0,12.6,1530.3,192.2,True,0.023347622558646104,19.87972222222222,11.703394050902268,11.54300004105539,523.4804629439511,132.0589519597312
66,68,2020-10-09 09:26:24,0.0572,M8-2,,24.011388888888888,68,0.98,564631.4,129.6,665759.4,582861.1,264650.2,661516.3,68.5,239.9,295607.8,674241.7,466.4,230.5,673967.3,13582.9,605.3,16099.0,14169.4,69854.8,15987.2,19.0,203484.5,94941.6,16297.7,43.1,221129.2,16379.2,8666.9,14.3,8474.2,7420.6,1974.7,8420.6,12.6,16.6,3607.6,8581.6,21.2,16.2,8578.2,216.9,24.1,232.8,206.8,708.3,231.3,14.3,3464.3,1478.9,235.5,14.3,3759.0,236.9,202.2,12.8,223.8,206.3,338.5,223.0,12.9,1845.9,1635.5,225.3,12.7,1886.9,225.3,True,0.03297461172285254,19.99861111111111,1.6520766965796931,15.191810350290819,582.5005214612015,0.881966480252
67,69,2020-10-09 09:33:25,0.0625,M8,,24.128333333333334,69,0.62,684636.1,164.6,819544.6,720362.3,274899.7,811936.1,73.6,288.9,337887.1,819223.7,175.9,288.1,818682.2,14977.9,635.8,17719.0,15651.2,66160.9,17545.8,24.7,124539.4,87291.2,17708.0,30.6,132099.9,17783.7,9420.7,15.0,9042.6,7949.9,2908.8,8959.0,12.7,15.0,4103.9,9039.2,14.5,15.4,9033.2,197.1,27.4,211.5,189.2,698.0,209.5,15.2,2541.0,1059.7,211.4,15.0,2696.4,213.0,188.2,13.7,205.2,192.3,502.1,204.2,13.8,1868.2,1122.5,205.2,13.5,2151.6,205.2,True,0.02831932241950341,20.011111111111113,11.63315604061486,12.843657485143089,587.7760097388283,103.54914386404938
68,70,2020-10-09 11:54:34,0.0407,M5,,26.480833333333333,70,1.41,523897.5,280.3,966968.4,564275.0,179567.9,893910.4,150.8,196.6,245741.6,1007064.6,499.0,187.7,1004447.7,9639.0,439.8,17302.8,10278.2,76889.9,15969.1,80.4,70625.5,132851.1,17963.7,130.5,102902.1,18201.0,7535.4,22.5,11093.2,6481.5,1844.2,10258.8,17.4,13.6,2918.9,11550.6,27.3,12.9,11520.6,140.8,27.7,218.3,138.9,888.5,203.2,17.9,1886.6,1640.8,225.9,19.2,2731.0,232.3,51.9,16.8,211.9,57.3,645.1,200.9,15.8,1436.1,1423.3,217.6,16.8,2219.7,217.9,True,0.024397399680315655,25.18166666666667,11.745321192934924,9.99357939757957,251.21680236142024,110.89105367459638
69,71,2020-10-09 11:59:13,0.0481,CP,,26.558333333333334,71,0.85,603682.9,192.6,773825.6,633021.6,229506.8,759026.6,73.8,140.1,89221.7,810720.2,1167.0,149.2,809246.3,11929.2,591.8,15229.7,12565.5,67524.1,14929.9,35.1,66919.0,93143.8,15947.6,72.2,71759.2,16049.9,8541.5,17.4,8743.7,7155.5,1922.2,8577.3,14.0,12.9,2209.2,9158.0,34.9,14.2,9141.4,159.9,31.9,185.8,157.8,640.8,182.4,16.2,1946.1,900.7,194.1,15.4,2091.7,197.5,158.3,14.3,191.6,164.7,540.4,189.2,14.3,1751.8,900.7,196.8,13.4,1806.3,197.0,True,0.018725383181493912,25.25,11.774083346575367,3.9596748107396276,83.29688236276407,138.69073339002335
70,72,2020-10-09 12:01:39,0.0596,M8-2,,26.59888888888889,72,1.04,593152.9,192.8,704996.1,611039.9,183565.6,695518.7,75.7,138.4,294622.1,713888.7,475.6,239.9,712296.4,14668.9,1184.4,17330.9,15178.5,58081.5,17090.6,22.8,83859.4,66617.1,17539.8,40.0,83842.9,17689.1,9002.4,16.9,8607.8,7462.5,2750.1,8492.4,13.6,13.2,5916.5,8715.6,21.9,15.9,8696.5,253.4,49.2,251.0,224.1,1193.1,247.6,15.2,2496.6,1660.4,253.8,14.7,2497.5,258.8,222.5,13.5,240.7,219.8,834.0,238.7,13.5,1795.0,1483.8,242.4,13.1,1793.5,242.7,True,0.015884705578957235,25.30513888888889,1.7113738802634653,12.402856868517592,182.94088118292302,0.918972066836
71,73,2020-10-09 12:08:33,0.0664,M8,,26.71388888888889,73,0.82,647196.9,463.9,844841.8,802746.8,385341.6,833438.1,113.1,241.0,456493.6,867181.9,2011.1,355.5,866326.5,13018.9,4117.1,16588.6,15966.8,79068.7,16349.3,37.4,229802.4,94904.8,17017.3,90.3,231747.0,17227.4,9061.8,18.8,9203.0,8745.1,2147.9,9079.6,10.7,10.0,3836.1,9445.4,43.8,12.4,9436.0,202.6,79.6,207.7,201.3,684.0,204.9,11.7,3855.1,977.2,212.8,11.2,3900.3,216.4,180.7,11.0,208.1,202.0,490.8,206.5,11.0,2364.0,672.2,211.3,10.3,2364.0,211.4,True,0.023411022675560462,25.421111111111113,11.720483092412335,6.342714103557738,372.0843606512607,110.01061044116607
72,74,2020-10-09 14:53:51,0.0538,M5,,29.468888888888888,74,2.9,252010.1,335.1,828901.1,259581.9,48380.6,632835.7,183.4,160.8,176738.2,979984.5,628.6,600.3,967480.0,4674.4,416.3,14607.5,4856.5,20539.5,11211.0,103.3,57483.7,25173.5,17072.6,171.8,77949.0,17663.0,4113.2,26.8,9798.5,3084.2,1128.4,7492.1,20.6,13.7,4445.3,11555.6,35.3,32.7,11418.9,98.8,31.3,206.3,86.0,590.8,163.8,21.1,1878.8,901.5,234.2,23.0,2549.3,258.3,27.1,19.8,197.5,25.3,292.0,96.2,18.7,1729.8,851.2,227.2,20.2,2208.5,229.4,True,0.09338694329172449,27.97486111111111,12.1478985712253,31.768353009185706,1040.2361396557908,146.58326013988415
73,75,2020-10-09 15:00:23,0.0515,CP,,29.57777777777778,75,1.91,480464.4,237.8,687856.0,511284.1,82915.3,662895.2,92.3,163.7,16225.0,727051.8,866.0,215.6,719890.5,10918.0,1518.2,15010.4,11545.8,40154.0,14436.0,33.1,55215.7,34441.3,15839.5,64.1,56604.2,16238.3,7436.6,22.2,7948.6,5913.2,719.1,7661.9,17.4,15.7,712.7,8398.8,33.3,17.8,8316.3,180.6,75.1,195.1,164.3,798.1,187.9,19.1,2108.2,1209.2,205.0,18.0,2154.9,224.1,119.7,16.4,203.4,126.7,625.0,197.5,16.3,1749.4,931.6,211.0,15.1,1768.8,212.3,True,0.022619932843487674,28.068055555555556,11.872618884875905,13.583913719306231,-75.93716524650476,148.49423637393352
74,76,2020-10-09 15:03:13,0.0617,M8-2,,29.625,76,2.36,470635.8,226.8,650208.8,528688.3,80397.5,634484.8,80.5,144.1,656138.4,669124.1,668.2,362.2,661752.2,12853.2,2953.0,17414.4,14710.7,49386.6,16851.8,35.0,76034.8,52501.7,17232.4,63.8,76078.4,18401.8,8059.7,19.5,7929.6,6450.7,1111.7,7738.7,15.1,13.2,9322.7,8138.4,27.7,18.5,8069.3,229.0,105.5,240.2,215.0,907.4,233.8,17.3,2025.1,851.8,236.5,16.6,2023.2,265.1,176.6,15.3,235.5,193.3,580.2,230.8,14.9,1799.6,827.4,237.9,14.3,1798.4,242.4,True,0.01144318749992079,28.111944444444447,1.7613320389507217,5.07988473096803,-111.36189146989638,0.951351955097
75,77,2020-10-09 15:05:52,0.0688,M8,,29.669166666666666,77,1.07,505620.6,288.9,671686.6,532372.6,129127.5,647480.6,95.6,165.7,13591.8,722564.9,1480.4,197.3,712759.5,11566.6,3382.7,14276.2,12015.9,45668.2,13735.0,37.1,69395.9,42126.7,15332.3,85.9,69892.5,16069.4,7317.8,21.9,7576.7,6009.1,1425.6,7305.1,16.3,14.4,513.9,8146.1,44.3,15.5,8035.8,183.6,124.3,185.4,172.8,919.1,178.7,18.0,2228.9,1568.6,198.1,16.7,2244.2,225.8,86.0,15.9,183.5,90.6,671.9,174.6,15.7,1966.6,1359.6,198.9,14.2,1971.5,201.3,True,0.012014670405571564,28.19152777777778,11.771708415767508,5.837834512422666,-368.9066044673723,113.98689756554556
76,78,2020-10-09 16:46:05,0.0763,M5,,31.339444444444446,78,1.54,131365.3,392.0,539034.1,117545.9,45658.4,332829.3,208.2,190.6,41765.4,723181.4,663.6,155.8,709757.4,3118.9,585.0,11255.2,2905.8,19613.2,7032.9,139.7,71792.2,39327.1,14842.5,219.6,106741.2,16516.0,2150.1,31.1,7137.5,1576.7,1071.4,4426.8,22.9,15.8,2823.7,9546.0,38.6,14.4,9370.2,69.7,36.5,174.4,66.5,598.7,118.7,23.6,2021.0,2019.2,222.1,25.8,2984.6,272.9,26.8,22.8,87.7,26.0,245.5,43.1,21.3,1729.0,1727.8,204.3,23.2,2465.8,209.5,True,0.18678914405132474,30.404166666666665,12.651975455503207,57.788515528422145,839.4884273204217,207.88666819095096
