Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,GR Events,GFP Events,H1-LL Events,mCherry Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,GFP % Total,H1-LL % Total,mCherry % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,GR Mean FITC-A,GFP Mean FITC-A,H1-LL Mean FITC-A,mCherry Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,GR Mean ECD-A,GFP Mean ECD-A,H1-LL Mean ECD-A,mCherry Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,GR Mean FSC-A,GFP Mean FSC-A,H1-LL Mean FSC-A,mCherry Mean FSC-A,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,V2L rCV FSC-A,V2R rCV FSC-A,GR rCV FSC-A,GFP rCV FSC-A,H1-LL rCV FSC-A,mCherry rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,V2L rCV FITC-A,V2R rCV FITC-A,GR rCV FITC-A,GFP rCV FITC-A,H1-LL rCV FITC-A,mCherry rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,V2L rCV ECD-A,V2R rCV ECD-A,GR rCV ECD-A,GFP rCV ECD-A,H1-LL rCV ECD-A,mCherry rCV ECD-A
#76,,100000,68107,7629,75736,8744,66992,117,7498,10134,57987,100.00%,68.11%,7.63%,75.74%,8.74%,66.99%,0.12%,7.50%,10.13%,57.99%,100.00%,89.93%,10.07%,75.74%,11.55%,88.45%,0.15%,9.90%,13.38%,76.56%,6259.1,142.3,33709.7,3523.6,28499.3,263.7,33344.1,33775.3,-47.9,175.9,14578.1,16374.3,884.6,14814.0,658.2,16661.6,13428.6,683.5,13039.4,16954.0,44298.7,43042.8,43941.2,43133.3,43095.3,43138.3,54292.6,43786.6,39827.4,43604.1,43.50%,33.92%,35.05%,34.06%,34.64%,34.01%,44.91%,34.90%,32.16%,34.22%,98.90%,92.60%,50.73%,94.43%,60.31%,92.42%,104.95%,50.22%,112.54%,68.78%,57.00%,42.79%,64.23%,49.89%,74.97%,41.86%,105.06%,63.47%,45.78%,42.15%
#77,0.09,100000,26172,49124,75296,49570,25726,458,48619,3397,22822,100.00%,26.17%,49.12%,75.30%,49.57%,25.73%,0.46%,48.62%,3.40%,22.82%,100.00%,34.76%,65.24%,75.30%,65.83%,34.17%,0.61%,64.57%,4.51%,30.31%,20098.8,168.5,26032.4,17042.4,25651.9,453.2,11651.1,26191.4,-12.2,198.6,6208.3,16811.4,662.0,6275.3,579.4,17250.5,9213.9,577.3,11925.5,17514.2,47950.6,43350.8,44118.9,43851.9,43994.5,43577.1,49948.8,44066.3,39905.2,43860.1,44.52%,34.03%,34.85%,34.55%,34.78%,34.07%,39.37%,34.78%,31.78%,34.11%,144.71%,82.27%,40.25%,124.27%,40.71%,81.97%,80.11%,39.83%,140.95%,65.83%,106.78%,43.75%,64.46%,99.83%,65.36%,42.35%,66.06%,64.06%,58.93%,42.36%
#78,,100000,67629,8169,75798,9115,66683,682,7422,9473,58221,100.00%,67.63%,8.17%,75.80%,9.12%,66.68%,0.68%,7.42%,9.47%,58.22%,100.00%,89.22%,10.78%,75.80%,12.03%,87.97%,0.90%,9.79%,12.50%,76.81%,5946.4,150.7,31006.7,3476.2,26908.2,273.2,8731.2,33311.7,-41.8,183.6,13906.1,15744.7,1064.4,14162.6,703.7,16002.3,5124.9,651.9,12518.7,16258.3,43529.1,42703.1,43454.6,42784.1,42437.8,42831.4,45238.3,43313.1,39356.9,43245.6,43.33%,33.91%,35.65%,34.10%,35.09%,33.96%,35.42%,35.56%,32.35%,33.96%,95.52%,88.15%,55.57%,90.84%,68.27%,88.11%,58.85%,49.63%,116.56%,67.67%,58.78%,42.89%,70.29%,50.80%,79.61%,42.08%,48.42%,65.53%,48.15%,42.37%
#79,0.12,100000,21408,54834,76242,51523,24719,4668,49877,2139,19558,100.00%,21.41%,54.83%,76.24%,51.52%,24.72%,4.67%,49.88%,2.14%,19.56%,100.00%,28.08%,71.92%,76.24%,67.58%,32.42%,6.12%,65.42%,2.81%,25.65%,20796.5,213.9,24441.9,17638.9,25431.9,1395.6,7583.7,26152.4,8.3,255.7,5705.3,17612.6,1088.9,5728.6,618.4,16380.0,6072.0,580.8,12150.5,18072.1,46400.9,41343.8,42206.4,41964.2,42013.5,41861.4,42930.0,42164.9,37462.3,41714.4,43.82%,34.12%,34.65%,34.49%,34.65%,34.20%,33.79%,34.74%,32.36%,34.17%,121.13%,74.82%,44.27%,99.86%,41.31%,81.86%,62.11%,39.80%,218.65%,65.24%,105.36%,41.06%,69.15%,98.82%,66.46%,47.91%,51.29%,64.80%,65.57%,40.64%
#80,,100000,59204,18854,78058,13034,65024,9309,9071,6805,52873,100.00%,59.20%,18.85%,78.06%,13.03%,65.02%,9.31%,9.07%,6.80%,52.87%,100.00%,75.85%,24.15%,78.06%,16.70%,83.30%,11.93%,11.62%,8.72%,67.74%,6910.5,180.4,17924.2,4466.2,22069.1,937.8,7435.7,29544.0,-32.5,220.0,13676.8,17074.1,3101.8,13699.2,1190.1,16206.7,5096.7,841.8,13612.4,17430.8,42210.6,40596.8,41602.8,40839.8,39956.2,41016.9,42063.5,41412.4,37288.6,40983.1,42.17%,33.44%,34.96%,33.83%,34.33%,33.64%,34.09%,35.43%,30.51%,33.59%,101.56%,81.52%,87.42%,97.10%,79.61%,85.02%,56.33%,53.42%,120.35%,66.90%,74.41%,40.42%,113.46%,64.36%,99.58%,45.40%,48.40%,71.27%,46.50%,40.25%
#81,0.24,100000,1743,74081,75824,63627,12197,13185,60827,573,1239,100.00%,1.74%,74.08%,75.82%,63.63%,12.20%,13.19%,60.83%,0.57%,1.24%,100.00%,2.30%,97.70%,75.82%,83.91%,16.09%,17.39%,80.22%,0.76%,1.63%,26798.3,315.3,23656.9,23120.3,24705.5,14851.4,14365.4,25696.1,243.4,415.4,2589.6,28759.4,1877.5,2495.4,843.3,11113.7,7028.1,797.5,1718.0,37977.6,48170.9,40782.7,42460.8,42422.2,41809.0,45621.1,43319.1,42276.3,37999.6,42088.9,44.17%,32.53%,34.60%,34.58%,34.43%,33.62%,33.75%,34.75%,33.05%,33.51%,52.32%,76.90%,44.36%,45.70%,42.83%,58.43%,42.21%,40.73%,96.98%,70.91%,99.17%,127.65%,90.61%,92.85%,77.54%,51.36%,53.37%,74.57%,273.97%,50.50%
#82,,100000,2938,73076,76014,50816,25198,28981,43979,764,2290,100.00%,2.94%,73.08%,76.01%,50.82%,25.20%,28.98%,43.98%,0.76%,2.29%,100.00%,3.87%,96.13%,76.01%,66.85%,33.15%,38.13%,57.86%,1.01%,3.01%,20742.5,321.4,18642.9,17934.8,19291.7,15198.4,14219.6,21602.9,231.9,412.5,4660.4,26213.8,3454.4,4334.0,1718.1,9609.5,6224.9,1660.7,2427.5,32382.0,45801.7,40932.2,42681.4,42613.8,41083.1,45700.6,42885.5,42560.1,38283.4,41648.9,43.90%,33.70%,34.45%,34.40%,33.59%,34.40%,34.55%,34.35%,33.35%,33.05%,50.22%,74.37%,40.99%,43.19%,38.67%,58.10%,40.81%,37.92%,115.94%,70.92%,86.82%,89.58%,76.54%,79.51%,62.49%,46.34%,50.04%,61.29%,283.79%,51.84%
#83,0,100000,27485,51409,78894,51910,26984,159,51228,3223,24284,100.00%,27.49%,51.41%,78.89%,51.91%,26.98%,0.16%,51.23%,3.22%,24.28%,100.00%,34.84%,65.16%,78.89%,65.80%,34.20%,0.20%,64.93%,4.09%,30.78%,17943.0,168.0,23759.8,15540.9,23419.2,385.3,18701.5,23785.0,-12.4,193.3,4912.4,12919.7,522.1,4841.2,481.9,13227.3,12958.1,482.7,8852.1,13449.9,45564.6,40579.8,40935.9,40811.9,40800.2,40834.2,53931.2,40896.5,35663.9,41230.6,44.43%,35.47%,36.42%,36.09%,36.45%,35.50%,32.65%,36.40%,33.53%,35.37%,143.99%,79.05%,40.33%,125.49%,40.94%,78.65%,50.73%,40.27%,135.66%,64.36%,113.69%,47.90%,74.23%,109.02%,75.16%,46.40%,60.01%,74.15%,63.94%,46.51%
#84,,100000,73173,7729,80902,8543,72359,69,7650,9166,64017,100.00%,73.17%,7.73%,80.90%,8.54%,72.36%,0.07%,7.65%,9.17%,64.02%,100.00%,90.45%,9.55%,80.90%,10.56%,89.44%,0.09%,9.46%,11.33%,79.13%,4377.8,154.4,30634.2,3066.3,26869.5,256.0,22997.8,30741.0,-45.6,183.3,13117.6,14394.5,724.3,13088.5,561.8,14567.4,13200.0,604.8,11121.4,14861.8,44136.8,42012.2,41955.0,42006.7,41247.2,42096.4,58082.3,41817.5,37492.9,42658.3,43.13%,36.01%,36.87%,36.10%,36.44%,36.02%,30.02%,36.74%,34.18%,35.97%,89.97%,84.62%,50.25%,86.65%,56.85%,84.55%,82.06%,50.15%,112.66%,66.41%,55.03%,43.45%,68.32%,50.18%,76.70%,42.79%,47.16%,67.91%,45.53%,43.04%
#85,0.06,100000,27724,51525,79249,51987,27262,213,51278,3304,24454,100.00%,27.72%,51.53%,79.25%,51.99%,27.26%,0.21%,51.28%,3.30%,24.45%,100.00%,34.98%,65.02%,79.25%,65.60%,34.40%,0.27%,64.70%,4.17%,30.86%,19972.0,171.6,26313.2,17168.0,25962.7,397.0,17913.9,26364.4,-10.4,198.3,4697.0,12267.0,484.0,4606.1,433.6,12562.8,11972.5,433.9,8426.5,12774.6,47493.6,43024.6,42766.3,42856.7,42603.4,43339.6,58001.1,42705.2,37991.4,43699.8,43.98%,35.19%,36.55%,36.04%,36.50%,35.18%,33.27%,36.47%,33.73%,35.05%,144.49%,78.36%,40.64%,127.36%,41.25%,78.02%,67.81%,40.51%,138.83%,63.75%,120.31%,48.63%,80.82%,115.03%,81.72%,47.17%,53.00%,80.74%,63.85%,47.20%
#86,,100000,71977,7477,79454,8348,71106,75,7380,8597,63402,100.00%,71.98%,7.48%,79.45%,8.35%,71.11%,0.08%,7.38%,8.60%,63.40%,100.00%,90.59%,9.41%,79.45%,10.51%,89.49%,0.09%,9.29%,10.82%,79.80%,4793.0,161.8,32347.1,3190.6,28098.6,266.3,24227.6,32521.0,-41.1,189.8,11273.0,12155.7,603.6,11068.6,483.9,12311.3,8920.0,506.8,9272.0,12544.2,45416.9,42165.2,41921.6,42142.3,40877.6,42290.8,50836.4,41831.2,37800.7,42756.9,42.32%,35.38%,36.32%,35.46%,36.70%,35.33%,40.31%,36.13%,34.26%,35.26%,87.61%,82.03%,49.15%,84.50%,57.55%,81.92%,101.24%,48.64%,119.40%,65.34%,60.67%,47.15%,79.85%,54.54%,89.25%,46.37%,88.25%,79.77%,52.44%,46.31%
#87,0.09,100000,27653,51823,79476,51816,27660,513,51267,3320,24376,100.00%,27.65%,51.82%,79.48%,51.82%,27.66%,0.51%,51.27%,3.32%,24.38%,100.00%,34.79%,65.21%,79.48%,65.20%,34.80%,0.65%,64.51%,4.18%,30.67%,20077.7,168.7,26137.9,17102.1,25903.1,615.1,12824.1,26291.6,-21.0,197.1,5056.5,13378.1,549.3,5012.9,465.8,13531.2,7931.4,470.7,9671.7,13870.2,46655.1,41186.7,41577.2,41441.3,41422.1,41477.4,49682.2,41500.2,36786.6,41778.0,44.28%,35.61%,36.67%,36.31%,36.55%,35.82%,38.73%,36.59%,33.42%,35.59%,144.24%,80.38%,41.19%,128.19%,41.39%,80.41%,88.63%,40.93%,130.62%,64.29%,115.16%,44.96%,75.48%,110.79%,76.01%,44.40%,84.41%,75.08%,55.28%,43.85%
#88,,100000,71285,8441,79726,8774,70952,523,7887,8891,62425,100.00%,71.28%,8.44%,79.73%,8.77%,70.95%,0.52%,7.89%,8.89%,62.42%,100.00%,89.41%,10.59%,79.73%,11.01%,88.99%,0.66%,9.89%,11.15%,78.30%,4737.6,157.7,29441.7,3258.1,27363.1,277.3,9043.2,30903.5,-49.1,187.9,12421.4,13458.7,863.8,12125.3,557.2,13555.8,4918.4,581.4,10754.6,13839.3,46405.2,42799.1,42712.5,42789.9,41887.5,42901.5,43726.6,42675.3,39028.0,43332.4,42.05%,34.96%,36.73%,35.13%,36.64%,34.94%,36.15%,36.72%,34.17%,34.80%,89.26%,83.82%,54.38%,86.87%,59.08%,83.60%,51.58%,49.77%,112.01%,65.67%,54.29%,41.85%,77.10%,49.06%,81.04%,41.55%,45.52%,73.54%,45.39%,41.38%
#89,0.12,100000,21298,57513,78811,54113,24698,3794,53572,2549,18896,100.00%,21.30%,57.51%,78.81%,54.11%,24.70%,3.79%,53.57%,2.55%,18.90%,100.00%,27.02%,72.98%,78.81%,68.66%,31.34%,4.81%,67.98%,3.23%,23.98%,21194.9,188.8,24976.1,18277.5,25614.5,2202.4,9043.9,26168.7,15.7,222.9,4853.8,15434.0,838.1,4782.6,534.1,14090.9,4663.5,553.4,10020.9,16089.8,46646.1,41780.0,41858.9,41837.6,41485.2,42609.6,43427.6,41757.2,37262.6,42363.5,44.12%,35.41%,36.18%,35.99%,36.21%,35.34%,34.89%,36.20%,34.61%,35.10%,106.98%,77.24%,44.77%,91.35%,42.60%,83.69%,52.73%,41.51%,193.38%,63.76%,107.79%,43.05%,75.72%,103.71%,73.41%,52.02%,46.43%,72.38%,73.11%,41.69%
#90,,100000,60889,19935,80824,15165,65659,5709,14081,5458,55576,100.00%,60.89%,19.93%,80.82%,15.16%,65.66%,5.71%,14.08%,5.46%,55.58%,100.00%,75.34%,24.66%,80.82%,18.76%,81.24%,7.06%,17.42%,6.75%,68.76%,6250.9,186.3,19241.0,4886.1,21213.9,1114.9,8535.2,23763.3,-32.2,211.5,11715.4,14893.3,1775.3,11657.8,897.9,14142.9,3669.5,966.8,11207.9,15231.2,42612.2,41313.9,41643.2,41395.1,40042.7,41707.5,42226.2,41444.7,36705.8,41757.7,42.16%,34.93%,35.81%,35.20%,35.04%,35.15%,35.83%,35.64%,32.08%,34.97%,92.81%,72.33%,62.61%,88.13%,60.67%,74.81%,48.72%,51.24%,125.39%,62.17%,80.21%,40.42%,93.21%,68.29%,85.40%,44.55%,40.47%,79.89%,46.47%,39.99%
#91,0.24,100000,1461,75596,77057,62783,14274,8468,67066,532,991,100.00%,1.46%,75.60%,77.06%,62.78%,14.27%,8.47%,67.07%,0.53%,0.99%,100.00%,1.90%,98.10%,77.06%,81.48%,18.52%,10.99%,87.03%,0.69%,1.29%,27431.9,304.8,25050.8,24581.6,25817.7,19145.0,15864.5,26232.5,252.7,408.5,2072.2,23686.9,1542.1,1961.9,692.8,7544.3,6784.3,869.9,1492.0,34913.7,47737.5,40204.2,43101.5,43046.6,42284.1,46400.3,43947.7,42995.8,37464.3,41781.4,45.06%,35.81%,35.51%,35.53%,35.21%,35.49%,35.60%,35.52%,36.01%,34.99%,50.01%,76.09%,42.43%,43.52%,41.85%,50.11%,42.97%,40.49%,103.61%,69.39%,93.81%,141.73%,85.98%,87.59%,72.57%,52.51%,52.25%,76.35%,213.24%,52.55%
#92,,100000,2366,77175,79541,55262,24279,11590,65516,725,1710,100.00%,2.37%,77.17%,79.54%,55.26%,24.28%,11.59%,65.52%,0.72%,1.71%,100.00%,2.97%,97.03%,79.54%,69.48%,30.52%,14.57%,82.37%,0.91%,2.15%,23285.0,280.5,22076.1,21427.7,21709.2,20787.1,15773.6,23212.6,231.8,352.1,2979.1,25508.8,2199.3,2892.6,1117.1,6934.1,6418.2,1444.5,2281.1,34737.7,44745.8,41103.0,42385.3,42347.1,40709.6,46074.3,42400.9,42387.5,39217.7,41762.1,43.42%,35.74%,35.39%,35.39%,34.39%,35.58%,35.01%,35.47%,35.12%,34.80%,46.29%,79.99%,39.27%,40.72%,37.50%,51.24%,42.35%,37.61%,130.61%,64.98%,78.96%,111.00%,71.69%,73.83%,57.53%,45.26%,51.15%,63.24%,275.59%,52.02%
#93,0,100000,28172,48565,76737,48934,27803,150,48395,5639,22553,100.00%,28.17%,48.57%,76.74%,48.93%,27.80%,0.15%,48.39%,5.64%,22.55%,100.00%,36.71%,63.29%,76.74%,63.77%,36.23%,0.20%,63.07%,7.35%,29.39%,19718.3,110.3,27409.2,17387.1,26978.1,506.9,23789.1,27431.1,-41.3,149.6,6824.1,17869.7,756.6,7039.2,697.3,18201.2,16305.9,706.5,13970.2,18833.4,45152.3,40601.2,43802.1,42627.0,43645.4,40834.5,59576.9,43753.4,37944.1,41268.0,47.69%,35.51%,37.43%,36.87%,37.41%,35.69%,30.10%,37.37%,34.25%,35.53%,146.07%,111.81%,41.69%,144.86%,42.22%,111.60%,47.68%,41.64%,112.43%,72.97%,103.56%,45.11%,57.43%,96.99%,58.03%,44.05%,43.08%,57.24%,49.83%,44.08%
#94,,100000,68264,6196,74460,7087,67373,31,6157,11267,57005,100.00%,68.26%,6.20%,74.46%,7.09%,67.37%,0.03%,6.16%,11.27%,57.01%,100.00%,91.68%,8.32%,74.46%,9.52%,90.48%,0.04%,8.27%,15.13%,76.56%,4025.5,122.0,33653.7,2912.3,28852.7,183.6,52193.1,33602.0,-55.1,157.2,15188.3,17147.4,927.0,15797.7,690.8,17386.8,40795.3,724.1,13759.0,17815.1,40505.8,38622.9,41479.0,38860.6,40678.6,38669.3,53994.5,41422.0,35827.8,39175.1,47.77%,35.96%,37.58%,36.10%,37.76%,35.90%,33.38%,37.61%,34.82%,35.90%,106.91%,100.86%,50.08%,101.28%,60.43%,100.73%,113.98%,49.85%,106.26%,71.05%,56.51%,43.91%,59.51%,49.71%,68.14%,43.12%,43.87%,59.36%,45.77%,43.12%
#95,0.06,100000,29917,47710,77627,48211,29416,115,47562,5136,24814,100.00%,29.92%,47.71%,77.63%,48.21%,29.42%,0.12%,47.56%,5.14%,24.81%,100.00%,38.54%,61.46%,77.63%,62.11%,37.89%,0.15%,61.27%,6.62%,31.97%,20855.7,127.2,29284.0,18047.1,28792.0,437.0,19347.2,29327.1,-30.7,162.1,7053.6,18007.4,712.0,7377.6,667.6,18374.8,14248.5,677.7,13699.9,18879.0,44422.0,38996.5,41534.4,40556.3,41415.1,39148.8,51057.9,41511.8,36023.1,39614.5,44.55%,34.25%,35.68%,35.33%,35.66%,34.42%,39.46%,35.66%,32.48%,34.39%,146.34%,99.52%,41.03%,145.67%,41.74%,99.39%,60.90%,40.95%,116.15%,71.00%,108.48%,44.46%,58.57%,102.43%,59.33%,43.40%,76.58%,58.43%,49.33%,43.63%
#96,,100000,75171,6758,81929,7862,74067,52,6696,12727,62454,100.00%,75.17%,6.76%,81.93%,7.86%,74.07%,0.05%,6.70%,12.73%,62.45%,100.00%,91.75%,8.25%,81.93%,9.60%,90.40%,0.06%,8.17%,15.53%,76.23%,4251.0,120.7,34216.0,2933.1,28931.9,173.3,14444.3,34417.8,-53.5,156.4,14740.2,16137.3,740.8,14867.3,650.8,16376.3,10999.1,660.2,13086.8,16756.6,40662.3,38797.2,41544.5,39023.8,40412.2,38876.5,48707.5,41504.3,35916.6,39383.0,42.02%,34.75%,37.49%,35.01%,37.75%,34.70%,43.89%,37.42%,34.37%,34.63%,105.19%,101.17%,49.88%,101.56%,62.09%,100.66%,97.69%,49.52%,106.27%,71.07%,58.58%,46.26%,64.30%,52.63%,74.44%,45.36%,97.38%,64.00%,49.84%,45.60%
#97,0.09,100000,30518,48598,79116,49138,29978,289,48267,5510,25050,100.00%,30.52%,48.60%,79.12%,49.14%,29.98%,0.29%,48.27%,5.51%,25.05%,100.00%,38.57%,61.43%,79.12%,62.11%,37.89%,0.37%,61.01%,6.96%,31.66%,22087.1,124.3,29426.2,18123.4,28880.4,491.2,13272.8,29547.0,-21.3,159.1,7251.2,18135.3,712.6,7433.2,655.7,18542.5,8120.2,666.4,13769.5,19070.1,46031.9,38371.3,41570.5,40336.4,41436.5,38533.3,45604.8,41548.5,35853.5,38926.3,44.75%,35.11%,36.62%,36.18%,36.58%,35.23%,39.46%,36.57%,34.50%,35.30%,146.38%,100.97%,42.06%,145.85%,42.78%,101.23%,64.91%,41.82%,120.19%,70.80%,109.50%,43.56%,60.26%,104.56%,61.20%,42.38%,63.18%,59.91%,50.89%,42.58%
#98,,100000,66278,6535,72813,7527,65286,209,6305,11811,54488,100.00%,66.28%,6.54%,72.81%,7.53%,65.29%,0.21%,6.31%,11.81%,54.49%,100.00%,91.02%,8.98%,72.81%,10.34%,89.66%,0.29%,8.66%,16.22%,74.83%,4451.6,116.1,31840.2,2963.3,26966.9,195.9,12787.9,32571.8,-50.0,152.7,15169.2,17112.4,908.2,15658.0,694.1,17383.3,18369.3,736.5,13818.2,17773.0,41953.5,37519.8,40360.9,37774.8,39183.5,37612.4,42554.1,40324.4,34821.9,38101.6,49.00%,36.75%,38.10%,36.95%,38.62%,36.75%,43.45%,37.82%,36.33%,36.58%,109.13%,104.86%,52.33%,105.09%,67.39%,104.53%,53.78%,50.85%,107.36%,72.05%,60.34%,44.72%,65.80%,51.37%,75.67%,43.82%,50.17%,63.81%,47.67%,43.85%
#99,0.12,100000,23238,54486,77724,53790,23934,1876,52543,3925,19380,100.00%,23.24%,54.49%,77.72%,53.79%,23.93%,1.88%,52.54%,3.93%,19.38%,100.00%,29.90%,70.10%,77.72%,69.21%,30.79%,2.41%,67.60%,5.05%,24.93%,23990.7,142.7,28830.7,20253.5,28700.6,1269.3,10543.5,29518.2,12.1,174.7,5495.1,16812.2,794.6,5583.6,644.4,16684.0,4711.7,652.3,11842.6,17770.0,46873.2,38599.3,41799.1,40842.4,41592.8,39156.1,40909.9,41834.5,36554.0,39014.9,45.42%,35.64%,36.38%,36.34%,36.35%,35.96%,36.07%,36.36%,35.49%,35.63%,131.95%,93.31%,44.72%,103.55%,44.70%,93.75%,49.79%,43.07%,170.13%,70.19%,106.42%,48.87%,69.96%,100.49%,69.99%,50.63%,45.34%,68.29%,78.01%,46.57%
#100,,100000,56814,17624,74438,17949,56489,2415,15161,8577,48285,100.00%,56.81%,17.62%,74.44%,17.95%,56.49%,2.42%,15.16%,8.58%,48.28%,100.00%,76.32%,23.68%,74.44%,24.11%,75.89%,3.24%,20.37%,11.52%,64.87%,7153.5,134.9,23399.6,5643.1,22388.1,322.4,10513.5,25521.3,-40.1,167.4,14756.5,19083.5,1529.4,14927.3,1227.9,19280.2,3981.2,1126.2,15100.1,19777.5,42732.9,38299.1,40890.5,38912.6,40282.1,38477.5,40255.4,41016.2,35534.2,38785.1,47.77%,36.42%,37.37%,36.76%,37.36%,36.53%,37.07%,37.37%,35.96%,36.33%,108.05%,93.99%,51.44%,105.00%,54.83%,93.71%,45.62%,46.55%,114.18%,69.48%,84.28%,41.24%,72.87%,69.48%,74.86%,40.91%,39.81%,65.07%,45.59%,40.72%
#101,0.24,100000,1428,72740,74168,71732,2436,1775,70900,951,542,100.00%,1.43%,72.74%,74.17%,71.73%,2.44%,1.78%,70.90%,0.95%,0.54%,100.00%,1.93%,98.07%,74.17%,96.72%,3.28%,2.39%,95.59%,1.28%,0.73%,33410.5,261.5,30088.6,29514.3,29806.1,20922.0,17206.3,30437.1,315.5,339.8,1476.2,15537.7,1066.5,1345.1,836.8,16311.2,9073.4,862.7,838.6,40027.2,50435.3,40118.5,42990.4,42935.1,42799.0,46944.1,43125.0,42987.1,39442.5,41642.8,49.03%,37.22%,37.28%,37.29%,37.21%,37.28%,37.43%,37.28%,37.56%,36.31%,50.56%,86.80%,41.81%,42.84%,41.97%,117.52%,53.74%,41.25%,107.38%,72.61%,75.79%,202.03%,66.77%,68.17%,66.42%,65.34%,62.66%,65.35%,235.41%,66.25%
#102,,100000,2081,72966,75047,70254,4793,3611,69265,1069,1102,100.00%,2.08%,72.97%,75.05%,70.25%,4.79%,3.61%,69.27%,1.07%,1.10%,100.00%,2.77%,97.23%,75.05%,93.61%,6.39%,4.81%,92.30%,1.42%,1.47%,28719.8,258.6,26918.9,26179.6,26587.1,20207.1,16846.0,27476.9,300.7,332.5,2425.3,23434.9,1567.7,2174.1,1174.6,16824.1,8198.5,1216.3,1835.7,42963.0,47688.3,39597.0,42249.4,42175.8,41948.6,45506.9,41669.7,42285.2,38267.9,40752.6,47.72%,37.58%,36.86%,36.87%,36.70%,38.46%,35.69%,36.91%,35.75%,38.83%,48.71%,86.56%,40.26%,41.78%,39.93%,125.83%,49.84%,39.30%,102.40%,74.85%,69.26%,148.28%,61.36%,63.13%,59.33%,64.41%,57.31%,58.35%,208.66%,52.25%
#103,0,100000,30022,47862,77884,48789,29095,150,47676,6290,23768,100.00%,30.02%,47.86%,77.88%,48.79%,29.10%,0.15%,47.68%,6.29%,23.77%,100.00%,38.55%,61.45%,77.88%,62.64%,37.36%,0.19%,61.21%,8.08%,30.52%,20390.4,110.6,28047.2,17278.5,27439.1,240.3,19993.2,28092.4,-29.1,150.0,7289.7,18218.8,754.8,7486.7,703.4,18861.5,16100.5,704.7,13777.7,19371.3,47048.8,39309.4,42988.5,41570.3,42819.9,39475.0,56365.7,42949.4,36977.2,39926.3,46.05%,34.96%,36.56%,36.19%,36.54%,35.16%,29.99%,36.53%,34.25%,35.19%,146.45%,114.68%,42.29%,145.84%,43.40%,114.68%,56.39%,42.20%,120.20%,74.02%,110.46%,47.63%,59.90%,103.34%,61.28%,45.37%,46.44%,59.72%,56.31%,45.86%
#104,,100000,76499,6348,82847,7792,75055,39,6297,14837,61674,100.00%,76.50%,6.35%,82.85%,7.79%,75.05%,0.04%,6.30%,14.84%,61.67%,100.00%,92.34%,7.66%,82.85%,9.41%,90.59%,0.05%,7.60%,17.91%,74.44%,3731.0,109.7,33810.7,2692.0,27406.8,126.1,24496.0,33929.5,-54.5,149.5,16546.1,18255.3,839.9,16920.9,784.2,18596.2,15608.9,749.3,14836.5,19074.3,41350.7,40080.2,44091.3,40387.6,42703.4,40147.1,53442.6,44035.8,37458.8,40711.4,40.63%,33.93%,36.30%,34.19%,35.99%,33.93%,34.58%,36.18%,32.16%,34.14%,114.21%,112.09%,49.45%,111.44%,68.19%,111.99%,44.96%,49.33%,104.06%,73.25%,56.03%,44.93%,58.67%,50.29%,72.08%,43.90%,47.34%,58.20%,45.99%,44.53%
#105,0.06,100000,32435,48927,81362,49927,31435,132,48767,5996,26467,100.00%,32.43%,48.93%,81.36%,49.93%,31.44%,0.13%,48.77%,6.00%,26.47%,100.00%,39.87%,60.13%,81.36%,61.36%,38.64%,0.16%,59.94%,7.37%,32.53%,21386.6,122.5,30248.3,18238.7,29535.4,296.5,18565.8,30296.3,-25.5,157.9,7856.3,19302.4,749.8,8145.8,699.6,19972.3,16280.1,706.9,14436.4,20386.7,46206.6,40086.2,43495.3,42136.2,43342.2,40220.9,57240.9,43457.3,37469.9,40684.0,42.82%,34.06%,35.33%,35.07%,35.36%,34.02%,29.78%,35.27%,33.24%,34.14%,146.59%,103.96%,41.69%,146.11%,42.77%,104.08%,58.44%,41.61%,122.67%,73.04%,111.34%,44.90%,58.04%,105.09%,59.51%,43.03%,63.38%,57.85%,53.74%,43.79%
