Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,GR Events,GFP Events,H1-LL Events,mCherry Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,GFP % Total,H1-LL % Total,mCherry % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,GR Mean FITC-A,GFP Mean FITC-A,H1-LL Mean FITC-A,mCherry Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,GR Mean ECD-A,GFP Mean ECD-A,H1-LL Mean ECD-A,mCherry Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,GR Mean FSC-A,GFP Mean FSC-A,H1-LL Mean FSC-A,mCherry Mean FSC-A,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,V2L rCV FSC-A,V2R rCV FSC-A,GR rCV FSC-A,GFP rCV FSC-A,H1-LL rCV FSC-A,mCherry rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,V2L rCV FITC-A,V2R rCV FITC-A,GR rCV FITC-A,GFP rCV FITC-A,H1-LL rCV FITC-A,mCherry rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,V2L rCV ECD-A,V2R rCV ECD-A,GR rCV ECD-A,GFP rCV ECD-A,H1-LL rCV ECD-A,mCherry rCV ECD-A
#11,,130207,31419,68581,100000,6937,93063,3370,65239,3430,27961,100.00%,24.13%,52.67%,76.80%,5.33%,71.47%,2.59%,50.10%,2.63%,21.47%,100.00%,31.42%,68.58%,76.80%,6.94%,93.06%,3.37%,65.24%,3.43%,27.96%,29251.2,195.3,30647.6,21079.8,12761.9,21699.8,60505.6,29092.5,35.8,214.1,19492.0,54733.5,3027.1,19272.7,582.0,20666.0,27785.8,2273.3,17558.1,58120.3,61397.5,50204.8,50833.0,50635.6,39847.9,51439.8,54911.3,50624.3,43870.3,50976.8,51.20%,39.99%,41.08%,40.72%,38.98%,40.28%,44.18%,40.85%,40.29%,39.79%,144.39%,75.77%,44.73%,116.89%,39.86%,120.78%,77.13%,43.59%,301.08%,65.29%,95.37%,59.31%,50.69%,82.87%,33.67%,79.83%,88.11%,48.39%,142.97%,57.01%
#12,,121621,83997,16003,100000,5588,94412,2582,13483,11468,72467,100.00%,69.06%,13.16%,82.22%,4.59%,77.63%,2.12%,11.09%,9.43%,59.58%,100.00%,84.00%,16.00%,82.22%,5.59%,94.41%,2.58%,13.48%,11.47%,72.47%,22124.9,185.3,82491.7,13356.8,3019.2,13968.6,113247.9,76228.1,69.4,202.7,35106.8,39785.9,9243.3,34898.1,156.4,36954.4,51553.1,5306.8,14291.3,43071.5,53681.6,48818.1,53983.6,49644.7,44086.7,49973.7,53916.4,54069.6,43486.4,49643.8,45.46%,37.94%,42.54%,38.69%,39.26%,38.69%,41.58%,42.81%,37.04%,37.86%,91.37%,78.86%,92.67%,85.53%,95.33%,84.99%,135.77%,82.80%,578.25%,66.14%,79.57%,56.44%,76.34%,70.68%,299.55%,62.93%,116.75%,68.52%,145.93%,52.82%
#13,0,146012,31602,68398,100000,10431,89569,1709,66691,4533,27067,100.00%,21.64%,46.84%,68.49%,7.14%,61.34%,1.17%,45.68%,3.10%,18.54%,100.00%,31.60%,68.40%,68.49%,10.43%,89.57%,1.71%,66.69%,4.53%,27.07%,26067.6,150.5,27245.2,18682.7,14397.2,19181.8,63251.1,26321.5,12.0,174.2,15220.1,42631.7,2118.3,14921.3,538.0,16596.4,30419.6,1682.4,19176.3,45849.9,54750.5,45916.0,46752.6,46488.2,38568.6,47410.5,51398.5,46639.4,41579.6,46627.8,50.76%,36.37%,36.98%,36.81%,32.38%,36.50%,38.15%,36.89%,35.47%,36.19%,144.33%,92.19%,42.16%,107.44%,35.67%,122.01%,78.55%,41.59%,149.03%,71.85%,93.41%,54.78%,50.05%,80.35%,33.36%,76.81%,92.79%,48.83%,77.47%,53.25%
#14,,101516,71586,11958,83544,5342,78202,1221,10758,12618,58947,100.00%,70.52%,11.78%,82.30%,5.26%,77.03%,1.20%,10.60%,12.43%,58.07%,100.00%,85.69%,14.31%,82.30%,6.39%,93.61%,1.46%,12.88%,15.10%,70.56%,18598.1,143.2,60116.9,8727.5,7268.0,8827.2,97209.3,55791.5,13.7,170.6,27557.7,30434.1,5470.2,26860.9,256.6,28678.3,50352.1,3126.4,14889.8,33268.5,45564.5,41216.6,45607.4,41845.1,36979.9,42177.4,47128.6,45460.2,36563.3,42206.5,48.25%,39.87%,42.94%,40.49%,41.03%,40.36%,44.52%,42.71%,39.15%,39.76%,105.04%,94.38%,81.33%,98.57%,128.27%,97.81%,131.13%,75.74%,213.38%,71.08%,80.66%,55.19%,68.95%,70.12%,204.03%,61.48%,121.62%,64.02%,102.76%,52.04%
#15,0.06,100000,22216,48757,70973,12710,58263,1089,47672,3102,19110,100.00%,22.22%,48.76%,70.97%,12.71%,58.26%,1.09%,47.67%,3.10%,19.11%,100.00%,31.30%,68.70%,70.97%,17.91%,82.09%,1.53%,67.17%,4.37%,26.93%,27456.6,157.1,28173.6,19403.9,17413.0,19838.2,66340.1,27299.3,5.3,182.1,14667.1,40336.8,1926.6,13949.8,585.9,16865.1,30928.4,1578.2,18331.7,43133.2,53626.6,43736.4,44504.3,44264.0,37549.1,45728.8,47866.1,44431.8,39770.1,44369.4,49.34%,35.78%,36.60%,36.32%,32.39%,35.91%,42.13%,36.47%,34.37%,35.61%,141.38%,88.84%,42.82%,107.02%,34.62%,144.85%,83.01%,42.25%,132.36%,69.76%,96.82%,57.42%,54.08%,84.85%,37.25%,80.13%,91.79%,52.95%,76.92%,56.27%
#16,,100000,70454,12406,82860,5262,77598,1243,11194,12748,57675,100.00%,70.45%,12.41%,82.86%,5.26%,77.60%,1.24%,11.19%,12.75%,57.67%,100.00%,85.03%,14.97%,82.86%,6.35%,93.65%,1.50%,13.51%,15.38%,69.61%,18557.1,141.7,71381.7,10807.9,7293.5,11046.2,111067.7,66780.4,11.6,169.9,26987.6,30933.8,6402.6,27260.9,255.4,29092.2,58955.8,3863.4,15129.0,33800.6,45933.7,42072.1,48247.8,42996.7,37905.4,43342.0,50643.3,48018.6,37915.4,42980.3,47.64%,38.60%,44.13%,39.41%,37.33%,39.30%,44.46%,44.08%,37.90%,38.27%,106.05%,96.18%,83.93%,100.51%,124.08%,99.78%,135.16%,78.42%,213.40%,71.82%,82.70%,55.42%,71.39%,70.58%,200.90%,61.98%,122.43%,66.11%,102.46%,52.02%
#17,0.09,100000,21956,48922,70878,12247,58631,1024,47903,3227,18724,100.00%,21.96%,48.92%,70.88%,12.25%,58.63%,1.02%,47.90%,3.23%,18.72%,100.00%,30.98%,69.02%,70.88%,17.28%,82.72%,1.44%,67.59%,4.55%,26.42%,26972.0,142.1,27711.0,19170.9,17296.8,19562.4,60062.6,27016.5,-10.2,168.6,14510.3,41557.0,1887.4,14175.9,591.8,17013.4,35109.6,1571.6,21230.5,44061.9,51040.8,42366.8,43139.6,42900.2,36096.2,44321.5,48890.3,43021.2,38737.7,42980.4,50.45%,36.01%,36.90%,36.61%,31.92%,36.21%,42.11%,36.69%,33.93%,35.99%,138.54%,97.59%,42.87%,105.39%,34.04%,144.53%,74.83%,42.42%,116.14%,73.86%,95.44%,55.46%,53.28%,83.68%,35.43%,79.08%,89.92%,52.31%,61.92%,54.69%
#18,,100000,62310,10183,72493,4604,67889,842,9358,11494,50799,100.00%,62.31%,10.18%,72.49%,4.60%,67.89%,0.84%,9.36%,11.49%,50.80%,100.00%,85.95%,14.05%,72.49%,6.35%,93.65%,1.16%,12.91%,15.86%,70.07%,18119.6,135.0,61264.9,8721.9,8457.4,8739.8,109617.6,56804.9,5.4,164.1,26528.2,30330.6,5243.6,26806.6,267.2,28606.4,55338.4,3120.7,15907.5,33163.1,44684.2,41430.9,45269.6,41970.1,38288.4,42219.8,48632.2,44984.4,38197.3,42158.1,47.89%,35.11%,37.47%,35.49%,33.46%,35.56%,41.29%,37.09%,33.43%,35.31%,110.05%,99.15%,77.85%,102.42%,131.41%,102.23%,134.32%,73.46%,172.90%,72.93%,82.56%,53.98%,67.38%,68.22%,196.18%,59.99%,119.95%,63.21%,86.58%,51.20%
#19,0.12,100000,21913,47170,69083,12153,56930,917,46254,3382,18530,100.00%,21.91%,47.17%,69.08%,12.15%,56.93%,0.92%,46.25%,3.38%,18.53%,100.00%,31.72%,68.28%,69.08%,17.59%,82.41%,1.33%,66.95%,4.90%,26.82%,26724.3,143.2,28300.6,19369.1,17560.3,19755.2,66843.4,27535.7,-8.5,171.4,14182.4,40287.4,1860.5,14049.4,589.0,16922.9,30831.2,1555.1,20260.7,43273.2,49828.3,42159.7,43336.2,42963.1,36242.1,44397.8,48045.2,43245.1,38449.7,42831.4,51.43%,35.61%,36.65%,36.24%,31.20%,35.94%,42.56%,36.48%,33.90%,35.42%,144.71%,96.89%,42.78%,110.55%,33.73%,145.17%,77.77%,42.29%,122.72%,73.08%,97.87%,55.54%,52.80%,83.90%,36.72%,79.56%,94.14%,51.92%,65.78%,54.20%
#20,,100000,63336,10487,73823,4605,69218,904,9601,11795,51523,100.00%,63.34%,10.49%,73.82%,4.61%,69.22%,0.90%,9.60%,11.79%,51.52%,100.00%,85.79%,14.21%,73.82%,6.24%,93.76%,1.22%,13.01%,15.98%,69.79%,19286.5,132.4,62272.7,8959.8,8690.3,8977.7,110120.7,57653.1,-0.8,162.5,26919.1,30246.9,4879.5,26643.3,268.2,28398.0,50598.5,3096.6,16182.2,33005.7,44736.0,41748.9,45728.6,42314.3,38616.7,42560.3,48363.2,45506.4,38589.5,42466.0,47.04%,35.23%,38.47%,35.71%,33.46%,35.70%,41.29%,38.24%,33.16%,35.30%,109.67%,100.41%,78.64%,103.27%,135.48%,103.04%,134.04%,73.97%,162.13%,72.67%,77.95%,53.36%,67.62%,67.61%,192.66%,59.40%,118.72%,63.31%,83.86%,50.65%
#21,0.24,100000,21951,47690,69641,12637,57004,864,46836,3334,18607,100.00%,21.95%,47.69%,69.64%,12.64%,57.00%,0.86%,46.84%,3.33%,18.61%,100.00%,31.52%,68.48%,69.64%,18.15%,81.85%,1.24%,67.25%,4.79%,26.72%,27280.3,150.4,28500.8,19564.7,17591.9,20002.0,67790.1,27770.1,10.3,175.1,14392.0,40196.9,1868.9,13950.0,583.5,16913.1,35583.2,1547.9,18609.1,43328.0,52302.5,43366.3,44445.0,44105.0,37365.0,45599.1,48248.8,44375.1,39112.5,44127.0,50.36%,35.72%,36.71%,36.44%,32.46%,35.97%,41.86%,36.65%,33.53%,35.66%,143.92%,92.93%,42.33%,107.13%,34.97%,144.88%,82.38%,41.88%,142.42%,71.47%,96.47%,55.11%,52.76%,83.35%,37.56%,78.85%,94.11%,51.94%,78.53%,53.92%
#22,,100000,59253,9610,68863,4702,64161,785,8836,10428,48814,100.00%,59.25%,9.61%,68.86%,4.70%,64.16%,0.78%,8.84%,10.43%,48.81%,100.00%,86.04%,13.96%,68.86%,6.83%,93.17%,1.14%,12.83%,15.14%,70.89%,17361.3,144.3,60649.6,8587.9,7840.7,8642.7,109270.7,56255.9,14.9,171.7,24717.0,29677.4,4697.9,26191.5,263.6,28091.6,44395.0,2905.6,15005.0,32503.5,43950.5,42120.1,45714.1,42621.7,38767.7,42904.1,48559.3,45479.7,38489.1,42891.7,51.23%,35.20%,38.63%,35.68%,34.77%,35.60%,41.27%,38.19%,33.34%,35.12%,105.85%,92.46%,78.11%,96.88%,123.97%,95.99%,131.83%,73.65%,253.28%,69.98%,99.14%,53.57%,65.63%,68.12%,191.28%,59.13%,115.74%,60.77%,108.22%,50.44%
#23,0,100000,21917,46271,68188,18418,49770,499,45777,3824,18088,100.00%,21.92%,46.27%,68.19%,18.42%,49.77%,0.50%,45.78%,3.82%,18.09%,100.00%,32.14%,67.86%,68.19%,27.01%,72.99%,0.73%,67.13%,5.61%,26.53%,24694.1,140.3,26586.2,18086.0,18672.9,17868.8,51096.1,26316.1,3.8,169.4,11546.4,33202.8,1450.1,11656.1,566.9,15759.8,56292.6,1236.5,17022.7,35660.0,50840.4,40721.7,42464.2,41904.1,37028.0,43708.6,47175.9,42418.8,36833.3,41528.2,51.92%,36.01%,36.39%,36.38%,33.79%,35.96%,39.04%,36.30%,35.32%,35.72%,145.13%,98.65%,40.83%,105.39%,35.67%,146.09%,69.23%,40.65%,151.73%,72.82%,98.99%,52.84%,54.24%,84.64%,40.57%,82.86%,98.47%,53.72%,78.27%,50.33%
