Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A
#11,,130207,31419,68581,100000,6937,93063,151,68420,1409,30020,100.00%,24.13%,52.67%,76.80%,5.33%,71.47%,0.12%,52.55%,1.08%,23.06%,100.00%,31.42%,68.58%,76.80%,6.94%,93.06%,0.15%,68.42%,1.41%,30.02%,29251.2,195.3,30647.6,21079.8,12761.9,21699.8,28850.7,30655.4,216.4,195.7,19492.0,54733.5,3027.1,19272.7,582.0,20666.0,65300.7,2768.8,361.4,57543.6,61397.5,50204.8,50833.0,50635.6,39847.9,51439.8,69497.8,50793.3,44667.6,50461.5
#12,,121621,83997,16003,100000,5588,94412,82,15915,4992,79011,100.00%,69.06%,13.16%,82.22%,4.59%,77.63%,0.07%,13.09%,4.10%,64.96%,100.00%,84.00%,16.00%,82.22%,5.59%,94.41%,0.08%,15.92%,4.99%,79.01%,22124.9,185.3,82491.7,13356.8,3019.2,13968.6,28546.0,82797.8,258.5,181.2,35106.8,39785.9,9243.3,34898.1,156.4,36954.4,66076.2,7743.2,186.5,42528.7,53681.6,48818.1,53983.6,49644.7,44086.7,49973.7,61343.9,53934.3,44835.8,49072.4
#13,0,146012,31602,68398,100000,10431,89569,64,68319,1172,30445,100.00%,21.64%,46.84%,68.49%,7.14%,61.34%,0.04%,46.79%,0.80%,20.85%,100.00%,31.60%,68.40%,68.49%,10.43%,89.57%,0.06%,68.32%,1.17%,30.45%,26067.6,150.5,27245.2,18682.7,14397.2,19181.8,29682.7,27248.2,239.7,148.6,15220.1,42631.7,2118.3,14921.3,538.0,16596.4,46784.3,1971.3,303.3,44477.3,54750.5,45916.0,46752.6,46488.2,38568.6,47410.5,66704.9,46732.6,42249.0,46060.5
#14,,101516,55607,9107,64714,3813,60901,73,9035,2595,53011,100.00%,54.78%,8.97%,63.75%,3.76%,59.99%,0.07%,8.90%,2.56%,52.22%,100.00%,85.93%,14.07%,63.75%,5.89%,94.11%,0.11%,13.96%,4.01%,81.92%,18598.1,145.1,57027.3,8149.9,7414.2,8196.0,29558.6,57241.6,216.8,141.8,27557.7,30890.9,5346.2,27296.1,255.9,28989.0,54323.9,4468.5,109.2,32480.3,45564.5,42186.9,44785.3,42552.6,39796.1,42725.1,46933.9,44750.1,40449.6,42274.9
#15,0.06,100000,22216,48757,70973,12710,58263,112,48643,698,21520,100.00%,22.22%,48.76%,70.97%,12.71%,58.26%,0.11%,48.64%,0.70%,21.52%,100.00%,31.30%,68.70%,70.97%,17.91%,82.09%,0.16%,68.54%,0.98%,30.32%,27456.6,157.1,28173.6,19403.9,17413.0,19838.2,43858.6,28138.4,232.0,155.2,14667.1,40336.8,1926.6,13949.8,585.9,16865.1,32191.6,1827.7,283.4,41698.4,53626.6,43736.4,44504.3,44264.0,37549.1,45728.8,52138.3,44486.9,41629.0,43804.4
#16,,100000,62450,10426,72876,4441,68435,94,10333,3092,59357,100.00%,62.45%,10.43%,72.88%,4.44%,68.44%,0.09%,10.33%,3.09%,59.36%,100.00%,85.69%,14.31%,72.88%,6.09%,93.91%,0.13%,14.18%,4.24%,81.45%,18557.1,141.7,61674.2,8944.8,7323.7,9050.0,33971.7,61919.6,216.0,137.9,26987.6,30720.8,5335.7,27089.1,251.6,28830.7,32419.9,4630.1,126.0,32394.9,45933.7,42348.0,46103.9,42885.3,38857.4,43146.7,51510.1,46051.6,39775.2,42482.5
#17,0.09,100000,21956,48922,70878,12247,58631,181,48746,508,21443,100.00%,21.96%,48.92%,70.88%,12.25%,58.63%,0.18%,48.75%,0.51%,21.44%,100.00%,30.98%,69.02%,70.88%,17.28%,82.72%,0.26%,68.77%,0.72%,30.25%,26972.0,142.1,27711.0,19170.9,17296.8,19562.4,59243.1,27591.2,225.9,139.8,14510.3,41557.0,1887.4,14175.9,591.8,17013.4,39035.9,1748.1,229.4,42548.4,51040.8,42366.8,43139.6,42900.2,36096.2,44321.5,51758.2,43108.9,39561.5,42430.0
#18,,100000,62310,10183,72493,4604,67889,72,10105,3054,59262,100.00%,62.31%,10.18%,72.49%,4.60%,67.89%,0.07%,10.10%,3.05%,59.26%,100.00%,85.95%,14.05%,72.49%,6.35%,93.65%,0.10%,13.94%,4.21%,81.75%,18119.6,135.0,61264.9,8721.9,8457.4,8739.8,36555.4,61474.6,212.9,131.5,26528.2,30330.6,5243.6,26806.6,267.2,28606.4,31340.4,4419.3,129.6,31993.2,44684.2,41430.9,45269.6,41970.1,38288.4,42219.8,52213.1,45224.9,39182.6,41546.3
#19,0.12,100000,21913,47170,69083,12153,56930,107,47071,628,21277,100.00%,21.91%,47.17%,69.08%,12.15%,56.93%,0.11%,47.07%,0.63%,21.28%,100.00%,31.72%,68.28%,69.08%,17.59%,82.41%,0.15%,68.14%,0.91%,30.80%,26724.3,143.2,28300.6,19369.1,17560.3,19755.2,39330.3,28270.9,226.0,140.3,14182.4,40287.4,1860.5,14049.4,589.0,16922.9,31620.5,1767.1,270.7,41540.0,49828.3,42159.7,43336.2,42963.1,36242.1,44397.8,52428.2,43314.0,39332.1,42246.3
#20,,100000,63336,10487,73823,4605,69218,70,10416,3031,60306,100.00%,63.34%,10.49%,73.82%,4.61%,69.22%,0.07%,10.42%,3.03%,60.31%,100.00%,85.79%,14.21%,73.82%,6.24%,93.76%,0.09%,14.11%,4.11%,81.69%,19286.5,132.4,62272.7,8959.8,8690.3,8977.7,47050.6,62378.9,201.8,129.2,26919.1,30246.9,4879.5,26643.3,268.2,28398.0,35104.3,4439.0,133.7,31801.0,44736.0,41748.9,45728.6,42314.3,38616.7,42560.3,49977.5,45699.4,39313.3,41871.5
#21,0.24,100000,21951,47690,69641,12637,57004,76,47623,816,21126,100.00%,21.95%,47.69%,69.64%,12.64%,57.00%,0.08%,47.62%,0.82%,21.13%,100.00%,31.52%,68.48%,69.64%,18.15%,81.85%,0.11%,68.38%,1.17%,30.34%,27280.3,150.4,28500.8,19564.7,17591.9,20002.0,25281.8,28500.8,218.0,147.3,14392.0,40196.9,1868.9,13950.0,583.5,16913.1,49685.4,1771.4,269.8,41803.3,52302.5,43366.3,44445.0,44105.0,37365.0,45599.1,56902.9,44424.9,39467.3,43517.0
#22,,100000,59253,9610,68863,4702,64161,73,9538,3318,55934,100.00%,59.25%,9.61%,68.86%,4.70%,64.16%,0.07%,9.54%,3.32%,55.93%,100.00%,86.04%,13.96%,68.86%,6.83%,93.17%,0.11%,13.85%,4.82%,81.23%,17361.3,144.3,60649.6,8587.9,7840.7,8642.7,41309.9,60791.0,202.9,140.8,24717.0,29677.4,4697.9,26191.5,263.6,28091.6,47796.3,4206.7,165.3,31456.0,43950.5,42120.1,45714.1,42621.7,38767.7,42904.1,52351.6,45657.5,39404.5,42282.1
#23,0,100000,21917,46271,68188,47162,21026,321,45954,941,20972,100.00%,21.92%,46.27%,68.19%,47.16%,21.03%,0.32%,45.95%,0.94%,20.97%,100.00%,32.14%,67.86%,68.19%,69.16%,30.84%,0.47%,67.39%,1.38%,30.76%,24694.1,140.3,26586.2,18086.0,25169.5,2197.3,106264.8,26027.1,202.1,138.1,11546.4,33202.8,1450.1,11656.1,1215.1,35075.5,26844.5,1223.7,275.5,34793.6,50840.4,40721.7,42464.2,41904.1,42214.1,41208.8,48452.8,42422.3,36007.2,40933.1
#24,,100000,59675,8321,67996,4785,63211,87,8230,2651,57028,100.00%,59.68%,8.32%,68.00%,4.79%,63.21%,0.09%,8.23%,2.65%,57.03%,100.00%,87.76%,12.24%,68.00%,7.04%,92.96%,0.13%,12.10%,3.90%,83.87%,15483.4,134.2,49452.1,6169.5,11673.6,5752.8,130339.8,48618.4,181.6,132.4,23374.1,25941.8,3152.9,23153.0,326.4,24880.9,48989.9,2429.2,158.7,27173.2,44025.7,40895.8,44060.6,41283.1,38117.3,41522.7,52325.3,43969.0,38546.9,41005.8
#25,0.06,100000,22264,47836,70100,48507,21593,304,47530,891,21375,100.00%,22.26%,47.84%,70.10%,48.51%,21.59%,0.30%,47.53%,0.89%,21.38%,100.00%,31.76%,68.24%,70.10%,69.20%,30.80%,0.43%,67.80%,1.27%,30.49%,27138.5,131.7,28188.5,19277.5,26753.1,2484.3,99706.3,27731.9,190.9,129.9,11308.4,31800.5,1399.4,11054.9,1160.8,33281.2,27913.0,1190.2,200.2,33203.0,51617.0,41450.0,43765.3,43030.0,43546.8,41869.0,51759.7,43713.3,39700.2,41525.2
#26,,100000,63142,8798,71940,11792,60148,55,8737,2781,60367,100.00%,63.14%,8.80%,71.94%,11.79%,60.15%,0.05%,8.74%,2.78%,60.37%,100.00%,87.77%,12.23%,71.94%,16.39%,83.61%,0.08%,12.14%,3.87%,83.91%,16639.5,127.3,52863.8,6576.8,28670.0,2245.4,86512.3,52685.8,183.1,125.0,23452.9,26267.7,3136.7,23438.8,1301.2,27778.9,39761.1,2711.9,170.3,27495.8,46118.2,41522.6,45142.5,41965.3,42545.4,41851.6,52644.2,45091.3,38906.3,41644.0
#27,0.09,100000,22190,47770,69960,48198,21762,207,47564,651,21538,100.00%,22.19%,47.77%,69.96%,48.20%,21.76%,0.21%,47.56%,0.65%,21.54%,100.00%,31.72%,68.28%,69.96%,68.89%,31.11%,0.30%,67.99%,0.93%,30.79%,26770.4,145.6,28665.8,19619.7,27394.8,2399.7,97473.2,28365.5,192.9,144.7,11915.4,33244.3,1354.0,11469.0,1176.2,34265.1,29265.1,1225.9,222.3,34258.5,50522.6,41112.6,43087.8,42461.3,42901.1,41487.3,51934.6,43049.7,39378.7,41164.0
#28,,100000,62431,8562,70993,11474,59519,432,8127,2726,59708,100.00%,62.43%,8.56%,70.99%,11.47%,59.52%,0.43%,8.13%,2.73%,59.71%,100.00%,87.94%,12.06%,70.99%,16.16%,83.84%,0.61%,11.45%,3.84%,84.10%,14986.1,133.0,51100.2,6279.8,28109.3,2071.6,204886.7,42943.2,187.3,130.7,22281.9,25314.1,3328.8,22662.5,1270.0,26786.6,29851.1,1521.4,210.8,26513.2,42949.4,39476.2,43200.4,39925.3,40731.6,39769.9,52253.4,42716.7,36866.9,39595.8
#29,0.12,100000,21549,44917,66466,45648,20818,288,44630,942,20606,100.00%,21.55%,44.92%,66.47%,45.65%,20.82%,0.29%,44.63%,0.94%,20.61%,100.00%,32.42%,67.58%,66.47%,68.68%,31.32%,0.43%,67.15%,1.42%,31.00%,25259.9,142.8,28825.5,19526.2,27364.4,2339.3,105530.8,28329.7,206.3,140.2,10859.7,31521.8,1422.2,11180.8,1130.9,33217.5,24400.7,1155.3,255.2,33209.5,48806.0,39750.0,41966.1,41247.6,41723.3,40204.6,48827.7,41919.8,35663.0,39941.2
#30,,100000,66691,9301,75992,12421,63571,57,9233,2886,63816,100.00%,66.69%,9.30%,75.99%,12.42%,63.57%,0.06%,9.23%,2.89%,63.82%,100.00%,87.76%,12.24%,75.99%,16.35%,83.65%,0.08%,12.15%,3.80%,83.98%,16448.9,135.8,52877.4,6591.1,29364.4,2141.5,50018.9,52952.5,176.7,134.8,22240.8,24872.4,3588.3,22267.3,1284.2,26367.2,44598.1,2747.1,165.0,26071.1,44273.4,40404.0,44642.6,40922.8,41910.3,40729.8,52771.0,44588.7,37771.1,40524.3
#31,0.24,100000,23759,49817,73576,50651,22925,782,49176,940,22678,100.00%,23.76%,49.82%,73.58%,50.65%,22.92%,0.78%,49.18%,0.94%,22.68%,100.00%,32.29%,67.71%,73.58%,68.84%,31.16%,1.06%,66.84%,1.28%,30.82%,27406.9,367.3,29870.1,20343.1,28318.2,2722.8,83391.0,28942.5,241.0,355.1,11358.2,30683.4,1345.5,10819.2,1129.3,32228.3,16403.9,1114.7,260.7,32108.1,50986.5,41179.6,43820.1,42967.5,43549.5,41681.6,55323.9,43637.2,38345.5,41280.7
#32,,100000,68650,9216,77866,12556,65310,7562,8939,2923,58442,100.00%,68.65%,9.22%,77.87%,12.56%,65.31%,7.56%,8.94%,2.92%,58.44%,100.00%,88.16%,11.84%,77.87%,16.13%,83.87%,9.71%,11.48%,3.75%,75.05%,16340.9,444.1,52781.6,6638.7,29140.7,2312.6,14742.5,43413.8,165.3,288.9,22598.2,24515.3,2911.5,21958.4,1308.7,25928.3,14352.0,1461.2,267.9,27162.6,44182.9,40040.1,44177.1,40529.8,41163.0,40408.0,42656.6,43479.0,36890.6,39985.5
#33,0,100000,25715,53542,79257,54570,24687,344,53488,939,24486,100.00%,25.71%,53.54%,79.26%,54.57%,24.69%,0.34%,53.49%,0.94%,24.49%,100.00%,32.45%,67.55%,79.26%,68.85%,31.15%,0.43%,67.49%,1.18%,30.89%,24139.6,138.5,25216.1,17079.7,24197.2,1346.5,74115.5,24772.8,115.1,123.8,10443.4,27677.6,1125.8,9740.5,999.3,29062.8,20647.6,1007.9,195.6,29029.3,52362.5,41440.8,43458.0,42803.5,43282.9,41743.9,52131.5,43391.8,38878.6,41538.1
#34,,100000,68754,8792,77546,11537,66009,264,8579,2553,66150,100.00%,68.75%,8.79%,77.55%,11.54%,66.01%,0.26%,8.58%,2.55%,66.15%,100.00%,88.66%,11.34%,77.55%,14.88%,85.12%,0.34%,11.06%,3.29%,85.30%,13262.0,128.4,43652.1,5063.0,27429.2,1153.9,222112.5,37910.9,162.6,125.9,21076.0,23280.6,2087.1,20877.7,1110.7,24332.6,29640.6,1248.9,235.3,24185.1,46626.4,41600.0,44820.4,41965.1,42774.1,41823.7,53273.7,44552.5,38231.8,41728.5
