Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A
#35,0.06,65740,15427,30921,46348,31702,14646,115,30936,599,14698,100.00%,23.47%,47.04%,70.50%,48.22%,22.28%,0.17%,47.06%,0.91%,22.36%,100.00%,33.29%,66.71%,70.50%,68.40%,31.60%,0.25%,66.75%,1.29%,31.71%,24690.7,152.8,28094.6,18794.2,26963.0,1112.3,95872.8,27729.4,144.4,144.4,10054.8,27605.6,1069.4,9902.0,997.4,29176.5,20040.5,998.9,229.6,28956.0,51891.8,41614.2,43916.8,43150.3,43732.4,41890.5,50298.5,43884.2,38729.9,41729.9
#36,,100000,63768,8228,71996,11250,60746,278,8005,2478,61235,100.00%,63.77%,8.23%,72.00%,11.25%,60.75%,0.28%,8.00%,2.48%,61.23%,100.00%,88.57%,11.43%,72.00%,15.63%,84.37%,0.39%,11.12%,3.44%,85.05%,14293.7,140.5,47436.9,5545.7,28603.3,1275.5,214444.8,41323.0,155.0,138.5,20687.3,23178.0,2066.5,20765.3,1203.1,24388.2,26980.4,1222.4,318.7,24119.3,45020.0,41469.1,44775.0,41846.9,42410.1,41742.7,52078.8,44521.7,38185.4,41599.0
#37,0.09,100000,24179,49736,73915,50593,23322,250,49630,745,23290,100.00%,24.18%,49.74%,73.91%,50.59%,23.32%,0.25%,49.63%,0.74%,23.29%,100.00%,32.71%,67.29%,73.91%,68.45%,31.55%,0.34%,67.14%,1.01%,31.51%,26034.2,150.3,28327.4,19110.2,27329.0,1280.9,83526.1,27971.7,120.9,142.6,9858.0,26651.0,1096.3,9455.7,979.0,27844.5,25767.8,979.3,255.2,27637.8,50347.9,41090.7,43244.1,42539.7,43089.0,41347.9,52371.9,43195.1,39647.9,41130.0
#38,,100000,67333,8334,75667,11311,64356,278,8338,2094,64957,100.00%,67.33%,8.33%,75.67%,11.31%,64.36%,0.28%,8.34%,2.09%,64.96%,100.00%,88.99%,11.01%,75.67%,14.95%,85.05%,0.37%,11.02%,2.77%,85.85%,13603.8,144.8,46560.4,5257.1,28429.7,1184.3,204330.7,39749.2,144.8,142.4,21317.6,23342.9,1979.5,20989.9,1199.0,24468.3,25394.4,1182.2,215.1,24183.3,45940.0,41234.8,44387.0,41582.0,42205.8,41472.4,52627.3,44068.6,37703.1,41340.6
#39,0.12,100000,23003,46771,69774,47976,21798,312,46741,964,21757,100.00%,23.00%,46.77%,69.77%,47.98%,21.80%,0.31%,46.74%,0.96%,21.76%,100.00%,32.97%,67.03%,69.77%,68.76%,31.24%,0.45%,66.99%,1.38%,31.18%,25349.9,149.6,28829.9,19374.6,27664.8,1128.6,54503.6,28491.0,127.6,138.8,9679.7,26182.0,1040.0,9328.8,952.5,27764.5,18015.5,952.4,274.9,27600.6,51128.6,41431.7,43955.3,43123.3,43720.0,41810.1,47351.6,43922.2,37118.6,41612.6
#40,,100000,66240,8317,74557,11365,63192,722,8343,2142,63350,100.00%,66.24%,8.32%,74.56%,11.37%,63.19%,0.72%,8.34%,2.14%,63.35%,100.00%,88.84%,11.16%,74.56%,15.24%,84.76%,0.97%,11.19%,2.87%,84.97%,14391.0,161.4,46580.9,5339.6,28854.1,1110.5,72286.3,40269.4,133.4,152.5,21154.8,23213.3,1954.4,20841.8,1185.6,24376.9,15044.9,1162.9,227.4,24196.5,46332.8,41477.0,44702.4,41836.8,42462.6,41724.3,46029.8,44373.9,37928.6,41587.1
#41,0.24,100000,13506,56867,70373,48307,22066,10483,47383,701,11806,100.00%,13.51%,56.87%,70.37%,48.31%,22.07%,10.48%,47.38%,0.70%,11.81%,100.00%,19.19%,80.81%,70.37%,68.64%,31.36%,14.90%,67.33%,1.00%,16.78%,27050.6,335.2,26850.3,21761.5,30322.9,3019.1,5295.3,31070.8,140.1,303.8,9517.3,33233.0,3963.8,9581.1,1015.9,28332.2,17554.3,1015.0,242.5,37436.0,51751.4,43069.3,45998.8,45436.6,46066.2,44058.3,44413.3,46206.1,40988.3,43521.2
#42,,100000,32155,39501,71656,11146,60510,33950,8319,1960,27427,100.00%,32.16%,39.50%,71.66%,11.15%,60.51%,33.95%,8.32%,1.96%,27.43%,100.00%,44.87%,55.13%,71.66%,15.55%,84.45%,47.38%,11.61%,2.74%,38.28%,15369.2,338.2,12709.1,7157.8,29802.2,2986.7,4843.3,40862.0,146.5,300.8,19637.4,28975.1,13142.7,20247.3,1253.8,23745.9,16134.6,1222.7,128.8,32546.3,44609.2,41476.9,43703.3,42704.3,43301.0,42594.3,42880.7,45415.7,38050.3,41996.0
#43,0,100000,24516,52114,76630,52920,23710,212,51987,744,23687,100.00%,24.52%,52.11%,76.63%,52.92%,23.71%,0.21%,51.99%,0.74%,23.69%,100.00%,31.99%,68.01%,76.63%,69.06%,30.94%,0.28%,67.84%,0.97%,30.91%,22124.1,131.8,24596.7,16769.8,23982.2,671.8,57454.2,24423.6,115.8,130.5,8664.6,24161.3,995.4,8406.8,862.0,25246.4,21589.4,861.0,210.6,25107.2,49539.1,41614.3,43845.9,43131.9,43731.9,41792.8,53255.6,43802.8,40500.8,41651.5
#44,,100000,69094,9031,78125,11113,67012,215,8953,1857,67100,100.00%,69.09%,9.03%,78.13%,11.11%,67.01%,0.22%,8.95%,1.86%,67.10%,100.00%,88.44%,11.56%,78.13%,14.22%,85.78%,0.28%,11.46%,2.38%,85.89%,12243.6,126.8,40559.1,4800.7,28243.7,913.0,201705.7,36075.5,132.0,126.0,19535.9,21623.9,2781.5,19445.8,953.8,22512.4,28018.4,1045.2,201.0,22406.0,45425.2,42031.2,45005.3,42375.0,43546.9,42180.7,54139.4,44791.6,39120.4,42105.0
#45,0.06,100000,24429,50552,74981,51402,23579,208,50436,880,23457,100.00%,24.43%,50.55%,74.98%,51.40%,23.58%,0.21%,50.44%,0.88%,23.46%,100.00%,32.58%,67.42%,74.98%,68.55%,31.45%,0.28%,67.27%,1.17%,31.28%,23698.2,127.5,26773.0,18091.8,25964.6,929.3,68819.2,26551.7,128.0,125.9,8587.5,23723.3,986.4,8394.1,849.2,24841.9,27135.1,859.0,165.1,24738.2,50982.3,42260.7,44575.9,43821.6,44426.7,42502.5,54899.1,44531.7,39968.1,42341.2
#46,,100000,70407,8176,78583,10849,67734,163,8170,2189,68061,100.00%,70.41%,8.18%,78.58%,10.85%,67.73%,0.16%,8.17%,2.19%,68.06%,100.00%,89.60%,10.40%,78.58%,13.81%,86.19%,0.21%,10.40%,2.79%,86.61%,11519.3,120.9,38016.3,4063.7,26196.9,518.6,141524.6,35230.1,118.5,120.1,19495.3,20199.7,2048.5,18311.2,914.1,21097.7,27786.3,960.2,228.0,20952.9,44611.8,39397.9,41823.9,39650.3,40226.6,39558.0,46770.5,41746.9,35964.5,39500.1
#47,0.09,100000,25027,50485,75512,51351,24161,219,50398,818,24077,100.00%,25.03%,50.48%,75.51%,51.35%,24.16%,0.22%,50.40%,0.82%,24.08%,100.00%,33.14%,66.86%,75.51%,68.00%,32.00%,0.29%,66.74%,1.08%,31.88%,24495.4,135.9,26625.4,17846.0,25908.7,709.7,45249.2,26476.2,120.4,134.1,8248.3,22219.5,947.8,7997.9,790.8,23315.7,27743.9,794.8,180.6,23161.4,51417.7,41195.1,43448.7,42701.8,43302.8,41424.5,50597.4,43411.1,39105.2,41267.6
#48,,100000,70352,8381,78733,10453,68280,304,8287,1813,68329,100.00%,70.35%,8.38%,78.73%,10.45%,68.28%,0.30%,8.29%,1.81%,68.33%,100.00%,89.36%,10.64%,78.73%,13.28%,86.72%,0.39%,10.53%,2.30%,86.79%,11979.2,129.5,38995.5,4266.7,28074.5,622.0,90893.7,36118.0,123.8,128.3,19599.1,20642.7,2446.1,18705.7,904.9,21430.8,17869.5,967.9,178.8,21352.2,45208.9,40777.2,43336.9,41049.7,41918.2,40916.7,47638.8,43166.6,37500.2,40857.8
#49,0.12,100000,25392,51724,77116,52126,24990,1034,51217,802,24063,100.00%,25.39%,51.72%,77.12%,52.13%,24.99%,1.03%,51.22%,0.80%,24.06%,100.00%,32.93%,67.07%,77.12%,67.59%,32.41%,1.34%,66.42%,1.04%,31.20%,24788.7,180.0,26940.9,18129.3,26355.5,970.6,16275.3,26887.7,113.0,167.7,8686.1,22864.1,1013.5,8208.2,802.4,23655.8,12770.8,809.0,152.3,24029.6,50877.2,40867.4,42959.1,42270.4,42806.7,41151.8,45082.9,42895.5,38528.2,40943.6
#50,,100000,70537,10585,81122,11030,70092,3294,8788,1964,67076,100.00%,70.54%,10.59%,81.12%,11.03%,70.09%,3.29%,8.79%,1.96%,67.08%,100.00%,86.95%,13.05%,81.12%,13.60%,86.40%,4.06%,10.83%,2.42%,82.69%,12424.5,178.7,33294.9,4499.8,28499.6,723.1,10125.2,36456.4,127.9,164.7,19729.3,21032.9,2839.8,18659.0,896.1,21454.2,9990.8,989.0,140.0,21942.0,46444.2,41360.8,43946.1,41698.2,42365.1,41593.2,43252.8,43678.2,37787.6,41476.9
#51,0.24,100000,7628,70132,77760,53000,24760,18702,52444,712,5902,100.00%,7.63%,70.13%,77.76%,53.00%,24.76%,18.70%,52.44%,0.71%,5.90%,100.00%,9.81%,90.19%,77.76%,68.16%,31.84%,24.05%,67.44%,0.92%,7.59%,27075.1,377.9,22238.9,20094.4,27136.1,5021.3,5986.1,27624.1,129.0,301.6,7714.2,34409.2,4415.0,7357.4,805.1,21382.9,15254.2,824.7,120.5,41255.5,53944.2,41890.9,44357.7,44115.7,44488.4,43318.1,43518.8,44566.5,40238.8,42469.9
#52,,100000,17243,64279,81522,11278,70244,56942,9988,1692,12900,100.00%,17.24%,64.28%,81.52%,11.28%,70.24%,56.94%,9.99%,1.69%,12.90%,100.00%,21.15%,78.85%,81.52%,13.83%,86.17%,69.85%,12.25%,2.08%,15.82%,16401.1,414.5,10871.6,8659.8,28965.1,5399.7,6329.9,34145.1,140.1,329.3,16405.1,30719.7,11948.1,15918.5,911.2,18328.0,14106.0,1183.0,86.4,37404.8,47816.9,41763.4,43614.5,43222.9,43247.3,43219.0,43376.8,43925.7,39004.3,42553.0
#53,0,100000,23669,48185,71854,48806,23048,160,48122,705,22867,100.00%,23.67%,48.18%,71.85%,48.81%,23.05%,0.16%,48.12%,0.71%,22.87%,100.00%,32.94%,67.06%,71.85%,67.92%,32.08%,0.22%,66.97%,0.98%,31.82%,20748.6,133.5,24167.1,16250.3,23597.9,691.2,46153.6,24046.6,123.7,131.5,7605.8,21366.4,815.1,7584.7,738.2,22082.8,21055.4,749.9,162.7,22102.8,49727.5,42307.9,43872.4,43357.1,43765.4,42492.5,53218.3,43841.0,40287.0,42364.4
#54,,100000,69996,8657,78653,10026,68627,121,8655,1296,68581,100.00%,70.00%,8.66%,78.65%,10.03%,68.63%,0.12%,8.65%,1.30%,68.58%,100.00%,88.99%,11.01%,78.65%,12.75%,87.25%,0.15%,11.00%,1.65%,87.19%,9187.1,126.1,35557.4,4025.9,28393.2,465.9,131121.0,33740.1,133.4,125.2,17779.1,19748.4,1609.9,17752.0,789.8,20230.1,22192.5,880.7,148.8,20206.0,45152.6,42260.4,44059.8,42458.5,43204.5,42349.5,54645.4,43919.7,39382.4,42310.7
#55,0.06,100000,25308,51304,76612,51985,24627,179,51235,769,24429,100.00%,25.31%,51.30%,76.61%,51.99%,24.63%,0.18%,51.24%,0.77%,24.43%,100.00%,33.03%,66.97%,76.61%,67.85%,32.15%,0.23%,66.88%,1.00%,31.89%,22955.5,134.0,26097.1,17520.5,25520.8,632.8,40727.3,25991.4,119.4,132.2,7541.4,20854.1,791.7,7419.1,719.2,21562.0,19853.2,730.5,156.3,21584.7,50866.6,42304.2,44114.1,43516.2,43999.6,42495.9,53665.3,44081.2,39854.6,42372.3
#56,,100000,69862,8619,78481,10201,68280,156,8619,1461,68245,100.00%,69.86%,8.62%,78.48%,10.20%,68.28%,0.16%,8.62%,1.46%,68.24%,100.00%,89.02%,10.98%,78.48%,13.00%,87.00%,0.20%,10.98%,1.86%,86.96%,9776.8,131.3,38918.9,4391.1,29853.4,587.0,153710.7,36147.3,128.3,130.4,16910.7,18763.2,1323.8,16847.9,751.3,19252.8,28963.7,832.8,167.9,19200.0,45621.8,42369.3,44208.1,42571.3,43165.6,42482.5,52375.8,44065.2,38986.8,42436.9
#57,0.09,100000,25604,51645,77249,52096,25153,335,51452,639,24823,100.00%,25.60%,51.64%,77.25%,52.10%,25.15%,0.33%,51.45%,0.64%,24.82%,100.00%,33.14%,66.86%,77.25%,67.44%,32.56%,0.43%,66.61%,0.83%,32.13%,22948.9,141.0,26246.4,17593.9,25748.3,704.6,27825.0,26165.7,129.7,138.1,7593.4,20369.1,820.9,7300.1,706.6,20956.3,14729.1,715.1,143.1,21033.1,49928.1,41746.1,43482.7,42907.1,43377.1,41933.5,49596.3,43438.3,40240.2,41784.3
#58,,100000,71708,8497,80205,9702,70503,501,8289,1353,70062,100.00%,71.71%,8.50%,80.20%,9.70%,70.50%,0.50%,8.29%,1.35%,70.06%,100.00%,89.41%,10.59%,80.20%,12.10%,87.90%,0.62%,10.33%,1.69%,87.35%,9046.8,142.5,36120.1,3954.0,29592.4,425.8,24090.8,35596.0,139.8,140.1,17329.1,19092.1,2134.2,17295.5,761.3,19570.8,9367.0,861.0,132.7,19628.0,44569.5,41863.8,43895.9,42079.1,42970.2,41956.5,44991.5,43782.2,38871.7,41918.7
#59,0.12,100000,24658,53566,78224,52470,25754,2593,51705,779,23147,100.00%,24.66%,53.57%,78.22%,52.47%,25.75%,2.59%,51.71%,0.78%,23.15%,100.00%,31.52%,68.48%,78.22%,67.08%,32.92%,3.31%,66.10%,1.00%,29.59%,22827.7,197.7,25847.0,17761.8,26058.2,859.1,5161.2,26531.2,131.8,177.7,7246.5,20765.6,1034.9,7254.5,695.6,20617.3,9940.6,706.4,138.8,21820.0,49441.5,41680.7,43355.2,42827.4,43260.2,41945.5,42601.7,43337.4,39523.8,41824.7
#60,,100000,65877,14088,79965,10254,69711,6769,8306,1438,63452,100.00%,65.88%,14.09%,79.97%,10.25%,69.71%,6.77%,8.31%,1.44%,63.45%,100.00%,82.38%,17.62%,79.97%,12.82%,87.18%,8.46%,10.39%,1.80%,79.35%,9829.1,193.7,24369.5,4452.9,28900.6,856.8,7102.8,35668.9,141.8,181.7,16995.9,19582.4,4082.6,16851.7,806.5,19211.8,8465.7,819.0,93.8,20224.8,44393.0,41615.9,43300.5,41912.7,42438.9,41835.3,42557.2,43427.3,39019.2,41711.2
#61,0.24,100000,4128,73896,78024,53712,24312,22291,51753,745,3235,100.00%,4.13%,73.90%,78.02%,53.71%,24.31%,22.29%,51.75%,0.74%,3.23%,100.00%,5.29%,94.71%,78.02%,68.84%,31.16%,28.57%,66.33%,0.95%,4.15%,26465.2,350.5,22111.1,20959.8,26645.2,8399.0,9715.8,27389.2,146.3,373.2,5508.9,31315.2,3824.4,5278.8,721.0,15348.3,11040.3,681.3,72.3,40329.6,50876.5,41321.7,43332.8,43226.4,43130.6,43438.1,43306.3,43324.3,40088.9,41832.6
#62,,100000,8150,72077,80227,10576,69651,63867,9487,1336,5537,100.00%,8.15%,72.08%,80.23%,10.58%,69.65%,63.87%,9.49%,1.34%,5.54%,100.00%,10.16%,89.84%,80.23%,13.18%,86.82%,79.61%,11.83%,1.67%,6.90%,17338.2,361.3,13120.2,11824.1,28386.7,9309.2,9755.1,34137.4,158.8,272.0,11702.8,32245.1,8915.5,11285.5,720.5,12889.7,10390.2,859.4,74.0,42181.0,47039.5,41399.1,43185.3,43003.8,42182.7,43128.5,43180.5,43005.5,39387.0,41836.2
#63,0,100000,24888,49417,74305,49796,24509,244,49245,521,24295,100.00%,24.89%,49.42%,74.30%,49.80%,24.51%,0.24%,49.24%,0.52%,24.30%,100.00%,33.49%,66.51%,74.30%,67.02%,32.98%,0.33%,66.27%,0.70%,32.70%,18942.9,148.6,23551.2,15712.7,23178.2,544.6,25904.2,23506.2,105.1,147.9,6603.9,18490.0,730.3,6678.8,645.8,18936.3,17729.5,650.2,211.7,18926.2,47726.2,42307.5,43786.8,43291.3,43673.0,42515.7,56373.0,43721.4,40692.5,42343.8
#64,,100000,67725,7903,75628,8833,66795,120,7861,759,66888,100.00%,67.73%,7.90%,75.63%,8.83%,66.79%,0.12%,7.86%,0.76%,66.89%,100.00%,89.55%,10.45%,75.63%,11.68%,88.32%,0.16%,10.39%,1.00%,88.44%,6620.4,156.8,31633.8,3446.1,27233.2,300.5,53689.4,30989.7,121.3,156.6,15331.9,17093.0,912.7,15402.2,713.3,17344.7,17032.6,705.6,255.2,17298.4,44134.8,41986.5,43239.4,42117.4,42453.9,42072.9,53917.2,43084.5,38751.6,42020.7
#65,0.06,100000,25539,49867,75406,50185,25221,233,49731,427,25015,100.00%,25.54%,49.87%,75.41%,50.19%,25.22%,0.23%,49.73%,0.43%,25.01%,100.00%,33.87%,66.13%,75.41%,66.55%,33.45%,0.31%,65.95%,0.57%,33.17%,20881.6,160.9,25362.1,16826.8,25041.5,481.0,23640.5,25322.2,122.3,159.3,6595.5,18434.0,689.4,6699.3,620.9,18794.1,16839.9,623.9,225.3,18793.4,48717.8,42670.6,43748.5,43383.4,43647.4,42858.1,56342.7,43687.8,40165.9,42712.5
#66,,100000,67800,7642,75442,8534,66908,187,7566,836,66853,100.00%,67.80%,7.64%,75.44%,8.53%,66.91%,0.19%,7.57%,0.84%,66.85%,100.00%,89.87%,10.13%,75.44%,11.31%,88.69%,0.25%,10.03%,1.11%,88.62%,6847.4,151.8,33731.5,3553.3,28436.8,379.5,62363.9,32538.8,117.3,151.4,15872.8,17411.6,1030.6,15752.2,697.0,17672.5,15670.1,720.5,204.3,17648.1,44462.7,41068.4,42285.8,41191.7,41641.8,41134.3,49807.6,42077.0,38904.1,41096.0
#67,0.09,100000,24390,47609,71999,47745,24254,514,47266,441,23778,100.00%,24.39%,47.61%,72.00%,47.75%,24.25%,0.51%,47.27%,0.44%,23.78%,100.00%,33.88%,66.12%,72.00%,66.31%,33.69%,0.71%,65.65%,0.61%,33.03%,21039.5,169.2,25306.7,16791.2,25053.9,525.8,12347.6,25359.0,116.2,165.6,6671.3,18155.6,747.5,6644.6,611.5,18520.8,11390.2,614.8,172.4,18648.0,49274.6,41095.4,41964.6,41670.2,41857.9,41300.7,46568.7,41904.4,38350.6,41160.2
#68,,100000,69953,8384,78337,8868,69469,806,7732,786,69013,100.00%,69.95%,8.38%,78.34%,8.87%,69.47%,0.81%,7.73%,0.79%,69.01%,100.00%,89.30%,10.70%,78.34%,11.32%,88.68%,1.03%,9.87%,1.00%,88.10%,7005.0,160.5,31943.0,3562.0,28867.2,331.7,13302.1,33268.2,132.4,159.2,15591.1,17335.7,1274.4,15616.7,723.1,17518.0,7319.3,708.0,108.6,17560.6,44066.5,42286.6,43673.5,42435.0,42935.5,42371.1,45375.0,43478.0,39790.9,42313.9
#69,0.12,100000,22191,54283,76474,51521,24953,4469,50327,512,21166,100.00%,22.19%,54.28%,76.47%,51.52%,24.95%,4.47%,50.33%,0.51%,21.17%,100.00%,29.02%,70.98%,76.47%,67.37%,32.63%,5.84%,65.81%,0.67%,27.68%,21205.1,216.6,24426.0,17401.0,25249.9,1195.2,6636.5,25767.0,143.1,199.3,5717.2,17421.1,1057.5,5805.9,593.8,16567.4,7391.7,571.6,119.3,18054.4,46673.8,40529.9,42076.4,41627.6,41934.0,40995.1,42067.1,42057.8,37449.9,40613.0
#70,,100000,61941,17435,79376,10547,68829,10312,7587,809,60668,100.00%,61.94%,17.43%,79.38%,10.55%,68.83%,10.31%,7.59%,0.81%,60.67%,100.00%,78.03%,21.97%,79.38%,13.29%,86.71%,12.99%,9.56%,1.02%,76.43%,7321.8,188.2,18110.8,4124.9,24955.4,933.0,6979.9,32197.5,137.9,182.1,14675.9,17768.7,3993.9,14743.0,1013.0,16847.0,6266.2,677.6,87.0,18138.3,41942.2,40217.2,41396.6,40476.3,40298.1,40503.6,41160.3,41398.1,38507.6,40270.9
#71,0.24,100000,2211,73981,76192,58379,17813,22479,51890,375,1448,100.00%,2.21%,73.98%,76.19%,58.38%,17.81%,22.48%,51.89%,0.37%,1.45%,100.00%,2.90%,97.10%,76.19%,76.62%,23.38%,29.50%,68.10%,0.49%,1.90%,26059.1,324.5,22607.0,21960.4,24899.3,12328.4,13673.7,26313.2,90.1,281.9,3303.4,26926.8,2500.8,3209.6,778.0,11178.5,7088.8,568.5,54.8,38449.4,47713.3,40682.2,41923.9,41887.9,41294.7,43831.7,42638.7,41608.2,38468.4,41138.4
#72,,100000,4609,73465,78074,31462,46612,64302,9105,1072,3595,100.00%,4.61%,73.47%,78.07%,31.46%,46.61%,64.30%,9.10%,1.07%,3.60%,100.00%,5.90%,94.10%,78.07%,40.30%,59.70%,82.36%,11.66%,1.37%,4.60%,18640.5,326.0,16250.7,15310.6,18704.2,13020.1,14291.4,30175.2,160.6,411.1,7004.0,27490.8,5583.4,6876.7,1862.0,10261.5,6192.7,651.2,28.3,36919.9,44559.8,40857.8,43052.5,42922.9,39743.4,45069.0,43319.8,41170.6,37760.1,41801.0
#73,0,100000,24993,47978,72971,48463,24508,193,47831,483,24464,100.00%,24.99%,47.98%,72.97%,48.46%,24.51%,0.19%,47.83%,0.48%,24.46%,100.00%,34.25%,65.75%,72.97%,66.41%,33.59%,0.26%,65.55%,0.66%,33.53%,17730.1,171.9,23491.5,15504.4,23163.2,359.6,23558.9,23469.3,123.3,171.7,6100.1,17084.0,649.4,6278.3,605.6,17495.7,11722.1,604.8,162.2,17448.8,45911.0,42446.2,43286.5,42998.7,43183.1,42634.3,56778.9,43235.1,39198.6,42502.8
#74,,100000,66346,7512,73858,8609,65249,77,7467,814,65500,100.00%,66.35%,7.51%,73.86%,8.61%,65.25%,0.08%,7.47%,0.81%,65.50%,100.00%,89.83%,10.17%,73.86%,11.66%,88.34%,0.10%,10.11%,1.10%,88.68%,5898.2,154.2,31384.2,3330.5,26660.8,252.3,75471.4,30798.4,152.3,153.9,14195.9,16134.4,779.3,14572.6,670.6,16406.9,13217.4,651.8,133.2,16340.7,43514.1,42129.2,42863.4,42203.9,42167.2,42208.7,52327.5,42781.8,39616.4,42158.2
#75,0.06,100000,25431,47950,73381,48572,24809,177,47888,514,24802,100.00%,25.43%,47.95%,73.38%,48.57%,24.81%,0.18%,47.89%,0.51%,24.80%,100.00%,34.66%,65.34%,73.38%,66.19%,33.81%,0.24%,65.26%,0.70%,33.80%,19752.4,161.1,25810.3,16921.3,25402.1,317.3,19251.3,25774.2,145.4,159.1,6154.3,16895.9,624.5,6263.6,589.4,17372.5,10830.5,588.8,122.2,17315.1,47384.1,42931.7,43939.7,43590.4,43845.1,43091.8,54333.6,43903.4,40226.8,42979.1
#76,,100000,68107,7629,75736,8744,66992,129,7626,952,67029,100.00%,68.11%,7.63%,75.74%,8.74%,66.99%,0.13%,7.63%,0.95%,67.03%,100.00%,89.93%,10.07%,75.74%,11.55%,88.45%,0.17%,10.07%,1.26%,88.50%,6259.1,142.3,33709.7,3523.6,28499.3,263.7,46379.8,32948.2,131.8,141.6,14578.1,16374.3,884.6,14814.0,658.2,16661.6,14630.2,669.9,204.7,16631.0,44298.7,43042.8,43941.2,43133.3,43095.3,43138.3,54796.4,43740.8,39281.3,43096.5
#77,0.09,100000,26172,49124,75296,49570,25726,618,48661,606,25411,100.00%,26.17%,49.12%,75.30%,49.57%,25.73%,0.62%,48.66%,0.61%,25.41%,100.00%,34.76%,65.24%,75.30%,65.83%,34.17%,0.82%,64.63%,0.80%,33.75%,20098.8,168.5,26032.4,17042.4,25651.9,453.2,13448.5,26111.8,132.9,165.5,6208.3,16811.4,662.0,6275.3,579.4,17250.5,7669.1,574.0,106.9,17306.3,47950.6,43350.8,44118.9,43851.9,43994.5,43577.1,48830.3,44054.7,41535.6,43397.6
#78,,100000,67629,8169,75798,9115,66683,982,7345,943,66528,100.00%,67.63%,8.17%,75.80%,9.12%,66.68%,0.98%,7.34%,0.94%,66.53%,100.00%,89.22%,10.78%,75.80%,12.03%,87.97%,1.30%,9.69%,1.24%,87.77%,5946.4,150.7,31006.7,3476.2,26908.2,273.2,15118.5,32481.2,146.3,149.3,13906.1,15744.7,1064.4,14162.6,703.7,16002.3,4784.4,601.7,80.2,15997.8,43529.1,42703.1,43454.6,42784.1,42437.8,42831.4,45081.0,43211.3,39255.8,42753.1
#79,0.12,100000,21408,54834,76242,51523,24719,5581,49540,467,20654,100.00%,21.41%,54.83%,76.24%,51.52%,24.72%,5.58%,49.54%,0.47%,20.65%,100.00%,28.08%,71.92%,76.24%,67.58%,32.42%,7.32%,64.98%,0.61%,27.09%,20796.5,213.9,24441.9,17638.9,25431.9,1395.6,8640.7,26086.1,143.7,204.8,5705.3,17612.6,1088.9,5728.6,618.4,16380.0,6012.2,565.2,98.1,18163.8,46400.9,41343.8,42206.4,41964.2,42013.5,41861.4,42764.0,42125.6,38226.7,41445.5
#80,,100000,59204,18854,78058,13034,65024,11450,7515,836,58257,100.00%,59.20%,18.85%,78.06%,13.03%,65.02%,11.45%,7.51%,0.84%,58.26%,100.00%,75.85%,24.15%,78.06%,16.70%,83.30%,14.67%,9.63%,1.07%,74.63%,6910.5,180.4,17924.2,4466.2,22069.1,937.8,9422.5,30628.7,151.6,179.1,13676.8,17074.1,3101.8,13699.2,1190.1,16206.7,4751.6,590.9,61.0,17344.5,42210.6,40596.8,41602.8,40839.8,39956.2,41016.9,41951.6,40924.3,37061.9,40664.6
#81,0.24,100000,1743,74081,75824,63627,12197,22559,51651,386,1228,100.00%,1.74%,74.08%,75.82%,63.63%,12.20%,22.56%,51.65%,0.39%,1.23%,100.00%,2.30%,97.70%,75.82%,83.91%,16.09%,29.75%,68.12%,0.51%,1.62%,26798.3,315.3,23656.9,23120.3,24705.5,14851.4,17470.6,26301.4,136.5,333.1,2589.6,28759.4,1877.5,2495.4,843.3,11113.7,4969.6,529.7,45.4,40491.4,48170.9,40782.7,42460.8,42422.2,41809.0,45621.1,43808.4,41864.4,37760.0,41885.0
#82,,100000,2928,73421,76349,50637,25712,58633,15040,449,2227,100.00%,2.93%,73.42%,76.35%,50.64%,25.71%,58.63%,15.04%,0.45%,2.23%,100.00%,3.84%,96.16%,76.35%,66.32%,33.68%,76.80%,19.70%,0.59%,2.92%,20742.5,323.2,18942.1,18228.1,19561.1,15602.9,17387.7,24697.0,127.9,315.8,4660.4,26691.5,3498.5,4388.0,1726.4,9629.7,4209.9,676.0,20.8,35027.1,45801.7,42035.3,43784.0,43716.9,42042.2,47015.0,44630.7,40446.0,39330.8,42631.6
